,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
PHI,Cmp-Att-Yd-TD-INT,18-32-243-0-0,26-31-333-1-1,22-35-340-3-0,16-25-204-0-1,26-36-239-0-0,15-25-155-2-0,20-30-308-4-0,21-27-243-2-0,17-26-175-2-1,18-25-190-1-0,16-28-153-2-0,30-41-391-3-0,21-31-217-2-0,22-37-315-0-2,24-40-355-2-2,18-32-274-1-1,20-35-229-0-1,16-24-154-2-0,15-25-121-0-0,27-38-304-1-0
PHI,First Downs,27,25,21,25,24,22,20,24,18,18,29,26,27,20,25,11,23,26,25,25
PHI,Fourth Down Conv.,2-3,0-0,2-3,3-5,1-1,1-1,1-1,2-2,0-0,1-2,2-3,3-3,1-1,1-2,2-3,0-2,0-0,0-0,3-3,2-2
PHI,Fumbles-Lost,0-0,1-0,1-0,1-0,1-0,1-0,0-0,2-1,3-3,4-2,2-1,1-0,0-0,1-1,3-2,2-0,0-0,1-0,0-0,2-1
PHI,HomeTeam,False,True,False,True,False,True,True,False,True,False,True,True,False,False,False,True,True,True,True,True
PHI,Net Pass Yards,239,323,328,191,218,132,290,217,170,173,137,386,184,309,355,246,207,148,121,302
PHI,Opp Score,35,7,8,21,17,17,13,17,32,16,33,10,22,20,40,20,16,7,7,38
PHI,Opp_Cmp-Att-Yd-TD-INT,21-37-215-2-1,27-46-221-1-3,25-43-211-0-0,11-23-174-2-1,28-42-250-1-1,18-38-181-1-3,27-40-196-1-1,13-22-154-2-2,17-29-211-0-1,23-32-213-0-0,17-25-253-3-2,16-26-157-1-0,23-32-216-2-0,14-22-152-2-0,27-35-347-3-1,20-24-229-0-1,23-40-168-1-0,15-27-135-0-1,11-18-97-0-0,21-27-182-3-0
PHI,Opp_First Downs,23,20,20,13,23,21,21,20,25,14,19,11,18,15,25,19,18,13,11,21
PHI,Opp_Fourth Down Conv.,1-1,0-0,0-2,0-1,1-1,0-1,4-4,0-0,1-1,0-1,1-1,1-2,2-4,0-1,1-1,1-1,2-3,1-3,0-2,0-0
PHI,Opp_Fumbles-Lost,1-0,1-0,2-1,5-4,0-0,0-0,2-1,0-0,2-1,2-1,0-0,0-0,2-1,4-1,1-0,0-0,0-0,1-0,3-3,1-0
PHI,Opp_Net Pass Yards,205,202,153,148,239,181,158,135,178,185,236,122,181,91,304,184,155,109,83,182
PHI,Opp_Penalties-Yards,7-65,5-25,4-48,4-38,2-15,10-72,9-60,4-24,5-58,8-90,4-35,7-82,5-34,6-30,4-36,3-20,8-66,1-5,11-81,3-14
PHI,Opp_Rush-Yds-TDs,28-181-3,11-62-0,22-87-1,19-71-0,26-124-1,26-134-1,24-144-0,32-168-0,49-152-2,26-99-1,21-106-1,21-87-0,24-123-1,30-157-1,31-115-1,35-129-1,21-129-1,20-118-1,24-81-1,26-158-1
PHI,Opp_Sacked-Yards,1-10,2-19,9-58,4-26,1-11,0-0,6-38,3-19,3-33,4-28,3-17,6-35,7-35,6-61,6-43,7-45,2-13,5-26,3-14,0-0
PHI,Opp_Third Down Conv.,9-14,4-12,6-17,2-7,8-14,4-10,1-12,2-9,12-21,5-15,1-7,4-14,4-13,5-13,8-15,7-16,4-14,5-13,2-8,4-8
PHI,Opp_Time of Possession,28:26,23:46,32:54,20:09,25:21,25:30,34:18,31:47,40:24,30:38,24:26,27:27,27:30,30:07,32:18,37:04,28:34,24:17,22:34,24:13
PHI,Opp_Total Yards,386,264,240,219,363,315,302,303,330,284,342,209,304,248,419,313,284,227,164,340
PHI,Opp_Turnovers,1,3,1,5,1,3,2,2,2,1,2,0,1,1,1,1,0,1,3,0
PHI,PHI Score,38,24,24,29,20,26,35,29,21,17,40,35,48,25,34,10,22,38,31,35
PHI,Penalties-Yards,10-61,8-60,5-52,3-20,3-30,2-10,8-60,4-31,7-75,7-55,3-25,12-80,2-9,2-25,2-10,8-49,4-30,5-25,4-34,6-33
PHI,Rush-Yds-TDs,39-216-4,34-163-2,30-72-0,50-210-4,33-139-2,39-136-1,20-111-1,31-143-2,20-94-1,33-141-1,49-363-3,24-67-2,31-253-4,33-112-3,29-87-1,15-67-0,34-135-1,44-268-3,44-148-4,32-115-3
PHI,Sacked-Yards,1-4,3-10,3-12,2-13,2-21,4-23,3-18,4-26,1-5,3-17,2-16,2-5,4-33,1-6,0-0,6-28,3-22,1-6,1-0,2-2
PHI,Third Down Conv.,10-17,7-13,5-15,4-15,6-13,6-14,7-12,5-10,5-8,5-12,8-15,3-11,6-11,9-16,8-14,3-12,5-14,10-14,5-15,11-18
PHI,Time of Possession,31:34,36:14,27:06,39:51,34:39,34:30,25:42,28:13,19:36,29:22,35:34,32:33,32:30,29:53,27:42,22:56,31:26,35:43,37:26,35:47
PHI,Total Yards,455,486,400,401,357,268,401,360,264,314,500,453,437,421,442,313,342,416,269,417
PHI,Turnovers,0,1,0,1,0,0,0,1,4,2,1,0,0,3,4,1,1,0,0,1
