,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
PHI,Cmp-Att-Yd-TD-INT,22-33-170-1-0,18-23-193-1-1,23-37-277-1-2,25-37-319-2-0,25-38-303-1-1,28-45-280-1-3,23-31-279-2-1,29-38-319-4-0,17-23-207-2-0,14-22-150-0-1,18-31-200-3-1,28-48-314-1-0,19-28-225-0-0,17-31-143-0-2,24-38-301-1-1,19-24-184-3-1,20-36-203-1-2,25-35-250-1-0
PHI,First Downs,17,24,27,23,28,24,26,21,20,16,24,23,17,23,28,17,19,13
PHI,Fourth Down Conv.,0-1,1-1,2-3,2-2,0-1,1-2,4-4,1-1,2-2,0-0,0-0,1-2,1-2,1-1,2-2,1-1,0-1,0-2
PHI,Fumbles-Lost,1-1,1-0,0-0,1-0,0-0,1-1,1-1,2-2,3-0,1-0,1-1,1-0,3-3,0-0,4-1,0-0,2-2,2-0
PHI,HomeTeam,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,False,False
PHI,Net Pass Yards,154,171,271,311,295,268,256,315,183,124,193,287,218,143,295,184,166,234
PHI,Opp Score,20,28,11,31,14,20,17,31,23,17,34,42,33,20,25,35,27,32
PHI,Opp_Cmp-Att-Yd-TD-INT,35-54-316-3-1,31-44-364-4-0,15-25-146-1-1,29-41-290-1-0,21-37-222-2-0,19-33-186-0-0,23-32-216-1-1,39-52-397-4-1,29-44-374-3-0,24-43-177-2-1,29-51-339-2-1,19-27-314-4-0,24-39-271-2-0,22-33-208-1-0,16-32-188-1-1,25-31-232-3-1,25-34-311-1-1,22-36-337-3-0
PHI,Opp_First Downs,24,19,12,26,17,17,12,26,27,23,29,24,24,16,14,32,22,23
PHI,Opp_Fourth Down Conv.,1-4,1-1,0-0,2-2,2-3,0-1,0-2,0-3,3-5,2-3,1-1,1-1,1-1,0-0,3-5,2-2,0-0,1-2
PHI,Opp_Fumbles-Lost,2-1,4-4,2-1,2-0,1-0,0-0,1-0,1-0,2-1,1-1,1-0,1-0,1-1,0-0,1-0,1-0,1-0,0-0
PHI,Opp_Net Pass Yards,306,346,133,258,195,155,199,388,333,168,332,310,256,197,186,228,306,307
PHI,Opp_Penalties-Yards,7-50,2-15,4-20,7-41,5-48,9-68,10-70,7-79,10-83,7-55,11-80,5-47,7-60,5-35,3-13,5-25,3-21,5-25
PHI,Opp_Rush-Yds-TDs,22-76-0,9-28-0,17-41-0,28-107-2,14-54-0,21-89-1,12-45-0,16-84-0,21-73-0,30-168-0,40-173-2,28-146-2,32-138-1,24-100-1,26-106-1,40-221-1,30-109-2,29-119-0
PHI,Opp_Sacked-Yards,2-10,2-18,2-13,5-32,4-27,5-31,4-17,1-9,5-41,1-9,1-7,2-4,3-15,2-11,1-2,1-4,2-5,4-30
PHI,Opp_Third Down Conv.,5-15,6-10,5-10,8-17,6-14,2-11,4-11,7-12,6-15,8-17,13-22,8-11,9-16,6-14,4-14,5-10,6-14,6-14
PHI,Opp_Time of Possession,29:12,20:32,21:05,35:07,22:05,29:16,23:17,31:29,29:42,32:01,40:30,28:21,36:36,27:02,25:22,39:39,32:57,34:03
PHI,Opp_Total Yards,382,374,174,365,249,244,244,472,406,336,505,456,394,297,292,449,415,426
PHI,Opp_Turnovers,2,4,2,0,0,0,1,1,1,2,1,0,1,0,1,1,1,0
PHI,PHI Score,25,34,25,34,23,14,31,38,28,21,37,19,13,17,33,31,10,9
PHI,Penalties-Yards,5-49,7-45,3-20,11-81,3-35,5-46,0-0,3-14,10-98,7-61,4-30,7-47,10-95,5-40,9-65,4-49,2-10,6-54
PHI,Rush-Yds-TDs,25-97-0,48-259-3,40-201-1,27-104-1,39-159-1,22-80-1,34-99-2,22-59-1,33-109-2,27-114-3,32-185-2,18-46-1,23-106-0,38-178-2,35-170-2,23-91-0,24-133-0,15-42-0
PHI,Sacked-Yards,3-16,4-22,1-6,3-8,1-8,2-12,3-23,2-4,3-24,5-26,2-7,3-27,1-7,0-0,1-6,0-0,5-37,3-16
PHI,Third Down Conv.,4-13,6-14,10-16,4-12,13-18,7-14,4-12,8-13,7-14,3-11,4-11,8-15,4-9,9-16,8-15,4-9,5-13,0-9
PHI,Time of Possession,30:48,39:28,38:55,30:55,37:55,30:44,36:43,28:31,30:18,27:59,26:53,31:39,23:24,32:58,34:38,20:21,27:03,25:57
PHI,Total Yards,251,430,472,415,454,348,355,374,292,238,378,333,324,321,465,275,299,276
PHI,Turnovers,1,1,2,0,1,4,2,2,0,1,2,0,3,2,2,1,4,0
