,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19,Game20
Phi,Cmp-Att-Yd-TD-INT,17-35-260-2-1,20-29-241-2-0,29-38-311-0-1,18-30-158-1-0,16-23-168-0-0,10-15-114-1-0,16-20-236-1-0,16-31-169-0-2,15-22-207-2-1,22-32-191-1-1,15-22-179-1-0,11-19-118-1-0,19-34-191-1-1,14-22-128-1-0,15-28-154-1-1,16-29-148-1-2,22-29-138-1-1,20-33-212-0-3,26-44-324-2-0,30-49-278-1-1,21-32-257-3-2
Phi,First Downs,19,22,20,16,14,20,24,14,24,18,24,17,20,10,20,16,10,17,18,22,12
Phi,Fourth Down Conv.,1-1,1-2,1-3,1-2,1-1,3-3,1-1,1-2,1-1,1-2,0-1,1-1,3-5,0-0,3-3,0-0,2-4,1-2,1-2,4-6,0-1
Phi,Fumbles-Lost,1-0,1-0,2-1,3-2,0-0,0-0,0-0,1-1,1-1,1-0,0-0,2-0,0-0,2-1,2-1,2-2,1-0,3-1,3-2,3-3,2-1
Phi,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Phi,Net Pass Yards,251,233,288,114,144,70,236,155,161,171,167,112,184,107,127,141,138,195,291,251,226
Phi,Opp Score,34,21,12,33,20,3,17,28,6,26,20,19,22,27,36,41,20,22,28,55,40
Phi,Opp_Cmp-Att-Yd-TD-INT,20-34-278-2-2,23-30-183-1-1,14-25-142-1-1,30-47-347-2-0,16-25-264-2-0,17-29-105-0-0,26-37-234-1-1,18-24-230-2-0,17-29-66-0-1,18-28-221-0-0,24-36-243-2-0,23-36-237-2-0,14-21-108-2-0,25-32-290-2-0,24-39-258-5-2,13-19-197-3-0,27-41-269-2-0,13-21-131-2-0,15-20-128-0-0,20-28-246-1-0,17-23-221-2-1
Phi,Opp_First Downs,25,22,12,29,19,10,18,21,11,23,23,24,18,26,23,20,21,16,16,28,21
Phi,Opp_Fourth Down Conv.,1-1,2-3,0-1,1-1,2-2,0-0,0-1,0-2,2-2,0-0,3-3,1-2,0-0,1-1,2-3,1-1,1-2,1-1,1-1,1-1,0-1
Phi,Opp_Fumbles-Lost,2-1,0-0,0-0,1-0,1-0,3-0,3-1,1-1,4-4,1-0,4-1,3-0,1-0,2-2,3-3,0-0,1-0,0-0,2-0,0-0,0-0
Phi,Opp_Net Pass Yards,266,179,130,334,256,43,222,210,49,206,198,206,83,270,255,197,252,121,65,230,210
Phi,Opp_Penalties-Yards,7-57,9-53,3-25,3-20,5-40,5-35,1-3,8-67,5-40,4-49,4-38,4-20,7-40,7-54,6-93,4-25,1-0,7-64,3-14,5-30,8-59
Phi,Opp_Rush-Yds-TDs,38-144-2,37-186-1,29-89-0,25-111-2,36-116-0,18-76-0,20-58-1,46-237-2,24-97-0,40-228-3,18-92-1,32-166-0,31-209-1,42-131-1,24-113-0,42-179-1,25-51-0,34-169-0,34-285-3,36-229-7,45-135-1
Phi,Opp_Sacked-Yards,2-12,1-4,1-12,2-13,1-8,8-62,1-12,3-20,3-17,2-15,5-45,3-31,4-25,3-20,1-3,0-0,2-17,2-10,7-63,2-16,2-11
Phi,Opp_Third Down Conv.,4-14,6-13,6-13,6-13,5-14,3-14,10-13,9-17,3-14,9-16,0-8,6-15,7-12,10-17,7-13,6-13,3-14,2-11,6-15,5-10,3-12
Phi,Opp_Time of Possession,32:47,35:39,27:45,36:17,28:33,24:40,28:12,38:12,25:59,33:04,26:19,33:51,26:27,39:52,23:42,32:49,29:48,30:33,30:54,30:31,36:58
Phi,Opp_Total Yards,410,365,219,445,372,119,280,447,146,434,290,372,292,401,368,376,303,290,350,459,345
Phi,Opp_Turnovers,3,1,1,0,0,0,2,1,5,0,1,0,0,2,5,0,0,0,0,0,1
Phi,Penalties-Yards,10-71,3-40,7-45,5-41,7-55,6-35,4-40,4-17,7-49,4-25,4-52,8-55,7-43,5-60,10-91,8-69,6-40,8-85,3-30,9-47,7-75
Phi,Phi Score,29,22,15,16,16,28,37,23,34,18,37,24,16,13,33,7,13,10,22,23,22
Phi,Rush-Yds-TDs,21-163-1,28-152-0,25-172-2,20-113-1,25-100-0,45-269-3,39-161-3,18-60-2,38-187-2,28-93-1,45-314-3,33-140-2,34-118-1,17-56-0,39-211-2,30-127-0,25-100-0,25-107-1,21-111-0,25-99-1,11-49-0
Phi,Sacked-Yards,2-9,1-8,4-23,6-44,5-24,5-44,0-0,2-14,5-46,3-20,1-12,2-6,1-7,2-21,4-27,1-7,0-0,2-17,5-33,3-27,6-31
Phi,Third Down Conv.,3-11,2-9,6-14,6-13,3-12,1-13,6-11,3-10,4-11,3-12,9-15,4-12,7-16,3-10,3-16,6-14,4-14,7-13,6-16,7-17,3-11
Phi,Time of Possession,27:13,24:21,32:15,23:43,31:27,35:20,31:48,21:48,34:01,26:56,33:41,26:09,33:33,20:08,36:18,27:11,30:12,29:27,29:06,29:29,23:02
Phi,Total Yards,414,385,460,227,244,339,397,215,348,264,481,252,302,163,338,268,238,302,402,350,275
Phi,Turnovers,1,0,2,2,0,0,0,3,2,1,0,0,1,1,2,4,1,4,2,4,3
