,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
phi,Cmp-Att-Yd-TD-INT,26-39-307-2-1,25-46-333-2-1,35-47-366-3-2,17-31-242-1-0,28-44-291-1-0,16-30-222-3-0,30-40-303-3-1,17-36-167-1-2,19-38-208-1-2,14-27-168-2-0,17-33-147-0-2,29-45-348-1-1,29-51-333-4-1,24-38-237-4-0,15-29-140-1-2,17-30-179-1-0,22-36-210-1-0,28-48-271-1-2,29-44-374-4-1
phi,First Downs,19,27,21,26,16,15,19,14,14,17,8,25,29,22,13,16,19,22,25
phi,Fourth Down Conv.,0-0,0-0,0-2,1-1,2-3,1-1,0-1,0-0,1-1,1-1,0-2,2-4,2-2,0-1,0-2,0-1,1-2,0-2,2-2
phi,Fumbles-Lost,1-1,3-1,0-0,1-0,1-1,2-1,1-0,0-0,1-0,0-0,2-0,2-1,1-0,1-0,4-3,1-1,0-0,1-1,0-0
phi,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
phi,Net Pass Yards,298,299,366,240,276,209,269,144,191,168,134,327,316,233,137,172,195,263,374
phi,Opp Score,17,27,27,24,34,23,34,33,51,9,31,24,35,29,19,0,15,38,33
phi,Opp_Cmp-Att-Yd-TD-INT,23-40-240-1-1,21-28-251-1-0,21-31-176-1-0,22-38-347-2-0,21-30-304-4-1,28-52-239-1-3,17-25-268-4-1,18-32-211-2-1,16-28-234-4-0,18-32-145-0-3,26-39-248-3-0,20-31-227-3-0,16-26-199-2-0,37-57-434-3-1,19-38-163-1-1,23-34-173-0-1,23-30-246-0-0,26-33-352-3-0,28-49-505-3-0
phi,Opp_First Downs,16,16,24,18,19,23,23,19,25,14,24,20,17,27,12,12,22,27,29
phi,Opp_Fourth Down Conv.,0-1,0-0,2-3,0-0,0-0,1-3,0-0,1-1,2-4,0-1,3-4,0-0,0-0,0-1,2-2,0-2,1-1,0-0,1-2
phi,Opp_Fumbles-Lost,3-3,0-0,1-1,2-1,0-0,1-0,2-0,0-0,1-1,1-1,4-3,0-0,2-2,0-0,3-1,3-1,4-2,0-0,1-1
phi,Opp_Net Pass Yards,200,232,161,342,297,225,244,192,222,113,244,209,198,429,138,149,238,346,500
phi,Opp_Penalties-Yards,2-15,5-40,9-103,9-39,5-60,1-1,9-55,4-35,5-35,2-10,11-70,5-46,7-102,5-67,8-60,7-49,4-24,4-55,1-5
phi,Opp_Rush-Yds-TDs,17-64-0,19-112-2,39-193-2,13-58-1,33-122-0,25-80-1,33-127-0,31-112-1,37-197-3,27-112-0,33-176-0,25-101-0,17-109-2,23-75-1,21-78-0,18-70-0,32-96-1,30-110-1,22-113-1
phi,Opp_Sacked-Yards,4-40,4-19,3-15,2-5,1-7,2-14,3-24,3-19,2-12,4-32,1-4,2-18,2-1,1-5,2-25,3-24,1-8,1-6,1-5
phi,Opp_Third Down Conv.,3-11,5-12,5-14,5-10,9-14,4-16,6-12,4-14,5-13,3-14,7-16,6-12,2-7,10-18,1-14,2-11,6-13,10-14,5-10
phi,Opp_Time of Possession,25:44,29:11,37:32,20:42,35:47,31:26,29:45,32:57,29:54,30:31,37:08,28:06,20:48,29:07,25:39,29:55,32:06,34:04,25:56
phi,Opp_Total Yards,264,344,354,400,419,305,371,304,419,225,420,310,307,504,216,219,334,456,613
phi,Opp_Turnovers,4,0,1,1,1,3,1,1,1,4,3,0,2,1,2,2,2,0,1
phi,Penalties-Yards,8-76,4-30,10-137,9-58,7-61,10-126,5-55,6-69,14-105,3-30,9-56,7-64,10-67,7-44,7-50,7-64,4-73,2-19,6-35
phi,Rush-Yds-TDs,24-58-0,17-107-0,17-49-0,42-214-1,14-31-0,27-101-0,18-75-0,24-94-0,19-35-0,33-215-2,14-6-0,26-98-0,32-139-0,27-108-0,33-137-0,32-129-0,20-86-0,18-70-0,27-164-1
phi,Sacked-Yards,2-9,6-34,0-0,1-2,2-15,3-13,4-34,4-23,3-17,0-0,2-13,3-21,2-17,1-4,1-3,1-7,3-15,1-8,0-0
phi,Third Down Conv.,8-14,8-15,3-10,9-16,4-14,5-14,4-12,3-15,3-13,5-14,3-13,8-16,8-20,6-13,3-13,5-15,4-13,6-13,10-16
phi,Time of Possession,34:16,30:49,22:28,39:18,24:13,28:34,30:15,27:03,30:06,29:29,22:52,31:54,39:12,30:53,34:21,30:05,27:54,25:56,34:04
phi,Total Yards,356,406,415,454,307,310,344,238,226,383,140,425,455,341,274,301,281,333,538
phi,Turnovers,2,2,2,0,1,1,1,2,2,0,2,2,1,0,5,1,0,3,1
phi,phi Score,30,20,24,26,7,28,24,10,23,37,3,10,43,34,10,6,10,7,41
