,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
ATL,ATL Score,12,31,37,36,17,34,23,38,16,19,17,16,20,40,24,34
ATL,Cmp-Att-Yd-TD-INT,21-43-251-0-1,23-28-272-2-1,26-35-374-5-0,29-39-419-3-0,31-45-305-1-0,31-41-355-3-0,31-39-379-1-0,26-38-350-4-1,38-52-330-2-0,24-34-291-1-1,35-47-377-2-1,16-27-131-1-0,28-42-262-3-1,22-36-231-2-0,15-26-239-3-0,32-45-383-3-1
ATL,First Downs,16,23,24,25,22,26,22,25,25,19,21,16,22,23,16,27
ATL,Fourth Down Conv.,0-1,0-0,0-0,0-1,1-3,0-0,0-0,0-0,2-4,0-0,4-6,0-1,3-3,0-0,0-0,0-0
ATL,Fumbles-Lost,1-0,3-0,0-0,0-0,1-1,2-0,1-1,0-0,4-2,0-0,5-3,2-1,3-1,0-0,2-2,0-0
ATL,HomeTeam,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False
ATL,Net Pass Yards,225,272,359,403,262,347,356,337,311,274,340,97,237,220,233,380
ATL,Opp Score,18,24,43,37,41,29,20,14,28,22,31,26,34,14,10,32
ATL,Opp_Cmp-Att-Yd-TD-INT,20-35-132-0-1,32-45-335-3-1,39-49-396-3-0,29-41-337-3-1,19-29-250-3-1,30-41-395-4-2,27-38-399-1-0,30-46-306-1-1,17-21-216-3-1,22-32-208-0-0,15-22-171-4-1,15-26-167-0-0,21-32-196-2-0,23-36-243-1-2,37-57-312-1-3,22-35-345-4-1
ATL,Opp_First Downs,18,27,32,30,22,30,21,20,19,20,19,25,23,18,29,22
ATL,Opp_Fourth Down Conv.,0-0,1-1,1-1,2-2,0-0,0-0,0-1,2-2,0-0,0-0,0-0,2-2,0-0,2-2,0-2,0-0
ATL,Opp_Fumbles-Lost,2-1,0-0,1-0,0-0,1-0,3-0,1-0,0-0,1-0,1-0,1-0,4-1,2-0,1-1,2-1,1-0
ATL,Opp_Net Pass Yards,119,318,391,308,250,389,372,287,216,191,162,159,162,193,295,341
ATL,Opp_Penalties-Yards,11-101,7-49,11-120,6-55,7-58,4-20,4-58,10-147,7-38,2-20,3-19,9-88,6-37,8-75,10-86,3-30
ATL,Opp_Rush-Yds-TDs,27-113-2,18-121-0,27-143-2,23-99-2,29-131-2,20-121-0,20-61-1,15-79-1,29-211-1,29-132-2,31-150-0,49-207-1,25-138-1,22-60-1,25-141-0,20-92-0
ATL,Opp_Sacked-Yards,2-13,2-17,1-5,3-29,0-0,2-6,4-27,3-19,0-0,2-17,2-9,2-8,4-34,7-50,2-17,1-4
ATL,Opp_Third Down Conv.,8-16,5-11,7-14,7-12,9-12,5-8,5-12,5-13,4-8,7-13,5-11,7-15,7-13,3-13,7-14,4-10
ATL,Opp_Time of Possession,32:10,30:18,37:45,30:38,29:08,28:21,27:43,27:04,28:37,31:57,29:01,39:39,29:11,29:20,37:29,25:14
ATL,Opp_Total Yards,232,439,534,407,381,510,433,366,427,323,312,366,300,253,436,433
ATL,Opp_Turnovers,2,1,0,1,1,2,0,1,1,0,1,1,0,3,4,1
ATL,Penalties-Yards,15-135,2-26,5-54,10-95,7-75,5-30,5-29,7-50,1-5,2-15,2-26,8-82,13-101,6-50,4-41,9-85
ATL,Rush-Yds-TDs,18-74-1,32-170-2,22-48-0,24-92-1,19-62-1,22-70-1,20-67-1,24-154-1,19-71-0,18-80-0,16-26-0,15-34-0,24-107-0,27-215-2,21-194-0,30-109-1
ATL,Sacked-Yards,4-26,0-0,3-15,3-16,6-43,1-8,3-23,2-13,2-19,3-17,6-37,3-34,2-25,2-11,1-6,1-3
ATL,Third Down Conv.,4-15,6-11,4-11,11-15,6-14,8-13,7-13,10-13,5-14,6-12,5-15,2-9,3-12,5-13,4-10,6-13
ATL,Time of Possession,27:50,29:42,29:20,29:22,30:52,31:39,32:17,32:56,31:23,28:03,30:59,20:21,30:49,30:40,22:31,34:46
ATL,Total Yards,299,442,407,495,324,417,423,491,382,354,366,131,344,435,427,489
ATL,Turnovers,1,1,0,0,1,0,1,1,2,1,4,1,2,0,2,1
