,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
ATL,ATL Score,26,27,27,23,15,28,17,37,17,15,27,13,16,18,9,20,30
ATL,Cmp-Att-Yd-TD-INT,20-33-215-0-0,17-26-196-2-2,13-20-229-1-1,7-19-139-0-1,14-25-147-1-0,13-14-129-2-0,8-13-124-1-0,20-28-253-3-2,12-23-129-0-0,19-30-186-2-1,13-20-131-1-0,15-25-174-1-1,13-24-167-1-1,13-26-97-0-0,22-33-218-0-0,19-26-169-0-0,19-30-224-2-0
ATL,First Downs,26,17,24,19,19,18,13,21,19,20,18,18,18,21,17,20,22
ATL,Fourth Down Conv.,0-0,1-2,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-2,1-1,0-1,1-1,0-1,1-4,1-2,3-3
ATL,Fumbles-Lost,3-2,2-1,2-1,1-0,1-0,1-0,1-0,1-0,2-2,0-0,2-2,0-0,0-0,1-1,2-1,1-1,1-1
ATL,HomeTeam,True,False,False,True,False,True,False,True,True,False,True,False,True,False,False,True,True
ATL,Net Pass Yards,215,171,207,131,110,121,107,239,114,153,131,165,160,89,212,166,208
ATL,Opp Score,27,31,23,20,21,14,35,34,20,25,24,19,19,21,17,19,17
ATL,Opp_Cmp-Att-Yd-TD-INT,23-34-269-2-0,27-36-272-3-2,32-44-325-2-1,21-35-234-0-1,35-52-351-1-0,29-41-296-2-2,34-42-481-3-0,19-36-317-1-1,30-43-245-1-1,10-16-108-0-0,14-21-153-1-1,14-23-138-2-1,16-28-197-1-0,13-19-231-3-0,9-17-115-1-0,24-40-222-1-0,22-34-136-2-0
ATL,Opp_First Downs,18,24,23,22,26,21,29,23,19,18,20,20,22,17,15,22,12
ATL,Opp_Fourth Down Conv.,0-0,0-1,2-3,2-3,0-1,0-1,0-1,1-2,1-1,0-0,0-0,1-1,0-0,0-1,0-0,0-1,0-1
ATL,Opp_Fumbles-Lost,1-1,1-1,0-0,1-1,0-0,1-1,0-0,0-0,1-1,0-0,2-0,0-0,1-0,2-1,1-0,0-0,1-1
ATL,Opp_Net Pass Yards,234,272,308,226,351,296,459,309,245,101,128,138,197,214,115,213,136
ATL,Opp_Penalties-Yards,8-99,3-61,6-47,7-51,6-45,5-30,5-17,9-74,5-45,10-89,7-56,4-28,7-30,6-46,1-6,8-50,3-30
ATL,Opp_Rush-Yds-TDs,19-151-1,26-65-1,23-112-0,35-177-2,23-69-1,16-50-0,21-78-2,36-169-3,24-91-1,47-232-2,41-160-2,37-176-0,37-154-0,34-134-0,34-184-0,27-126-0,20-86-0
ATL,Opp_Sacked-Yards,4-35,1-0,2-17,1-8,0-0,0-0,3-22,1-8,0-0,1-7,4-25,0-0,0-0,2-17,0-0,2-9,0-0
ATL,Opp_Third Down Conv.,4-13,6-10,9-17,5-14,9-16,3-8,7-11,5-13,8-16,6-15,9-16,5-12,6-12,5-11,4-12,4-11,6-13
ATL,Opp_Time of Possession,26:16,30:24,31:46,35:44,29:26,26:35,33:05,31:31,28:11,34:12,35:10,33:09,32:55,29:04,27:16,27:36,25:11
ATL,Opp_Total Yards,385,337,420,403,420,346,537,478,336,333,288,314,351,348,299,339,222
ATL,Opp_Turnovers,1,3,1,2,0,3,0,1,2,0,1,1,0,1,0,0,1
ATL,Penalties-Yards,8-55,5-29,2-15,1-15,6-55,5-40,3-22,7-64,2-15,4-37,2-13,2-20,6-48,3-30,5-48,5-70,2-18
ATL,Rush-Yds-TDs,38-201-2,27-90-0,31-179-2,35-202-2,31-151-1,40-168-1,29-107-1,37-167-0,35-201-2,25-138-0,33-149-1,29-167-0,28-146-0,39-231-2,33-115-0,34-132-2,35-174-1
ATL,Sacked-Yards,0-0,3-25,3-22,1-8,5-37,2-8,3-17,2-14,2-15,5-33,0-0,1-9,1-7,4-8,2-6,1-3,2-16
ATL,Third Down Conv.,5-13,3-10,4-7,3-9,6-14,9-14,4-10,6-12,5-11,3-11,2-9,4-10,3-10,9-16,5-14,5-11,6-15
ATL,Time of Possession,33:44,29:36,28:14,24:16,30:34,33:25,26:55,36:34,31:49,25:48,24:50,26:51,27:05,30:56,32:44,32:24,34:49
ATL,Total Yards,416,261,386,333,261,289,214,406,315,291,280,332,306,320,327,298,382
ATL,Turnovers,2,3,2,1,0,0,0,2,2,1,2,1,1,1,1,1,1
