,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
Atl,Atl Score,23,23,30,23,20,7,25,17,7,34,20,14,17,24,13,10,26,10
Atl,Cmp-Att-Yd-TD-INT,21-30-321-1-0,33-50-343-2-1,24-35-294-2-3,12-20-182-1-0,19-33-151-2-1,23-33-233-1-0,18-29-254-2-0,24-38-313-2-1,20-30-176-0-0,19-27-195-2-0,27-44-283-0-0,25-30-227-2-0,26-35-271-2-1,17-31-212-1-0,22-36-288-1-1,14-34-180-1-3,21-30-218-1-0,22-36-210-1-0
Atl,First Downs,18,24,26,15,20,21,18,17,18,22,27,22,18,24,15,15,20,19
Atl,Fourth Down Conv.,0-0,3-3,0-0,0-0,2-3,1-3,0-0,0-3,0-1,0-0,1-2,0-0,1-1,0-0,1-2,1-1,1-1,1-2
Atl,Fumbles-Lost,0-0,1-1,0-0,1-0,0-0,0-0,4-2,1-0,2-2,2-1,0-0,0-0,0-0,2-0,1-1,2-0,0-0,0-0
Atl,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Atl,Net Pass Yards,308,308,277,164,151,223,246,302,126,190,279,207,256,209,264,161,198,195
Atl,Opp Score,17,34,26,17,17,23,20,20,27,31,34,9,20,21,23,22,13,15
Atl,Opp_Cmp-Att-Yd-TD-INT,26-40-213-1-0,19-28-252-1-0,25-45-264-1-0,24-42-242-1-2,24-35-248-1-1,21-29-249-2-0,26-33-257-2-0,13-24-137-0-0,22-29-215-2-1,27-43-254-2-1,27-36-368-2-0,16-29-173-0-0,15-27-221-1-3,27-35-299-3-0,21-28-239-1-1,28-45-317-1-0,24-45-259-1-0,23-30-246-0-0
Atl,Opp_First Downs,20,19,21,25,19,25,15,20,22,26,23,15,26,22,15,20,19,22
Atl,Opp_Fourth Down Conv.,1-2,0-0,0-0,1-2,0-1,0-0,1-1,1-2,0-1,1-2,0-0,1-1,0-0,0-0,1-1,0-0,1-3,1-1
Atl,Opp_Fumbles-Lost,2-0,0-0,0-0,3-1,1-0,1-0,3-1,3-2,0-0,1-1,1-1,0-0,1-0,2-1,1-0,1-0,2-2,4-2
Atl,Opp_Net Pass Yards,176,223,253,242,239,241,236,129,204,224,368,173,211,289,229,311,246,238
Atl,Opp_Penalties-Yards,4-40,6-34,9-98,4-45,6-73,8-65,6-50,5-29,5-35,9-106,4-42,7-55,4-35,7-53,3-30,7-60,5-45,4-24
Atl,Opp_Rush-Yds-TDs,19-125-1,27-141-2,19-71-0,29-147-1,19-100-1,36-162-0,22-43-0,38-201-2,34-132-1,23-136-1,28-148-2,22-102-0,37-132-1,18-84-0,31-86-1,26-60-0,16-115-0,32-96-1
Atl,Opp_Sacked-Yards,4-37,3-29,2-11,1-0,2-9,2-8,3-21,1-8,1-11,3-30,0-0,0-0,1-10,2-10,1-10,1-6,3-13,1-8
Atl,Opp_Third Down Conv.,5-13,5-11,3-13,5-13,6-11,7-13,5-15,4-13,7-13,5-12,11-14,1-10,7-12,4-8,3-13,6-16,5-14,6-13
Atl,Opp_Time of Possession,29:26,28:37,27:25,31:15,25:36,34:05,31:41,32:52,32:06,29:39,30:06,25:58,34:41,26:45,33:48,34:42,22:25,32:06
Atl,Opp_Total Yards,301,364,324,389,339,403,279,330,336,360,516,275,343,373,315,371,361,334
Atl,Opp_Turnovers,0,0,0,3,1,0,1,2,1,2,1,0,3,1,1,0,2,2
Atl,Penalties-Yards,8-73,10-70,8-68,9-55,4-42,6-40,6-68,8-70,5-54,7-69,2-15,6-51,11-87,6-60,10-91,5-35,4-51,4-73
Atl,Rush-Yds-TDs,23-64-1,15-59-1,28-151-1,36-117-0,31-138-0,22-120-0,32-140-0,18-53-0,21-107-1,30-89-1,23-94-2,31-105-0,15-50-0,35-201-1,20-67-0,24-87-0,39-124-1,20-86-0
Atl,Sacked-Yards,2-13,3-35,2-17,3-18,0-0,1-10,1-8,2-11,8-50,1-5,1-4,2-20,2-15,1-3,5-24,2-19,3-20,3-15
Atl,Third Down Conv.,5-11,5-12,4-9,6-13,5-12,2-9,5-14,4-12,5-11,9-14,4-11,6-12,3-10,9-15,2-13,5-15,5-15,4-13
Atl,Time of Possession,30:34,31:23,32:35,28:45,34:24,25:55,28:19,27:08,27:54,30:21,29:54,34:02,25:19,33:15,26:12,25:18,37:35,27:54
Atl,Total Yards,372,367,428,281,289,343,386,355,233,279,373,312,306,410,331,248,322,281
Atl,Turnovers,0,2,3,0,1,0,2,1,2,1,0,0,1,0,2,3,0,0
