,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
Atl,Atl Score,18,22,22,24,30,38,34,31,21,17,6,17,21,15,7,24,44
Atl,Cmp-Att-Yd-TD-INT,17-23-156-0-0,20-29-241-2-0,26-39-217-2-1,28-36-239-0-1,19-24-180-3-0,19-30-225-1-0,19-29-242-2-0,23-29-276-4-0,31-50-248-2-0,23-38-306-0-1,20-31-197-0-1,17-24-150-0-0,23-37-344-0-2,11-17-112-1-1,22-39-210-1-2,19-35-223-1-1,26-35-270-3-0
Atl,First Downs,16,22,22,25,21,25,20,20,23,25,13,10,25,14,14,23,25
Atl,Fourth Down Conv.,0-1,1-2,1-1,1-2,0-0,0-0,1-1,2-2,1-5,1-2,2-2,0-1,1-3,0-0,0-1,2-2,1-1
Atl,Fumbles-Lost,1-0,1-0,0-0,1-1,2-1,1-1,1-0,1-0,1-0,2-0,1-0,2-1,1-1,1-0,1-1,3-0,1-0
Atl,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Atl,Net Pass Yards,133,233,217,235,173,225,236,265,241,287,176,131,338,93,189,211,270
Atl,Opp Score,10,21,17,26,36,20,14,26,27,20,38,13,42,9,34,30,38
Atl,Opp_Cmp-Att-Yd-TD-INT,16-26-155-1-2,23-30-183-1-1,20-29-230-1-1,21-35-238-0-1,42-59-509-4-1,26-38-221-2-2,25-36-246-1-2,37-50-330-3-2,19-24-222-3-0,16-25-269-2-0,28-33-307-4-0,24-39-245-0-4,22-28-347-5-0,23-39-208-1-2,18-27-202-0-1,24-36-227-3-1,21-38-312-2-1
Atl,Opp_First Downs,15,22,19,14,28,21,22,24,17,14,22,24,23,16,22,29,31
Atl,Opp_Fourth Down Conv.,1-1,2-3,1-3,0-0,2-3,0-1,2-2,1-2,2-2,0-1,1-1,2-4,0-0,2-2,0-0,3-3,2-3
Atl,Opp_Fumbles-Lost,1-1,0-0,2-0,1-0,1-0,2-0,1-1,2-1,3-1,1-0,1-0,1-0,0-0,1-1,0-0,1-0,0-0
Atl,Opp_Net Pass Yards,137,179,229,227,477,221,214,330,210,269,295,234,318,184,202,196,310
Atl,Opp_Penalties-Yards,5-34,9-53,6-44,9-76,8-74,10-74,9-72,6-45,4-26,8-76,4-45,2-10,6-35,7-55,3-30,13-108,7-55
Atl,Opp_Rush-Yds-TDs,22-89-0,37-186-1,25-82-1,15-88-0,18-73-0,24-114-0,32-155-1,22-102-0,30-100-1,27-96-0,26-105-1,37-116-1,24-115-1,22-65-0,38-127-2,36-216-1,38-227-3
Atl,Opp_Sacked-Yards,2-18,1-4,2-1,1-11,4-32,0-0,3-32,0-0,2-12,0-0,1-12,1-11,4-29,4-24,0-0,5-31,1-2
Atl,Opp_Third Down Conv.,2-9,6-13,2-9,4-11,6-14,5-11,8-15,9-14,4-13,5-13,6-11,3-14,8-12,4-14,8-14,6-13,9-14
Atl,Opp_Time of Possession,24:24,35:39,25:03,24:18,33:37,29:20,31:08,32:34,29:20,24:53,30:05,35:55,28:25,26:08,34:28,41:32,32:41
Atl,Opp_Total Yards,226,365,311,315,550,335,369,432,310,365,400,350,433,249,329,412,537
Atl,Opp_Turnovers,3,1,1,1,1,2,3,3,1,0,0,4,0,3,1,1,1
Atl,Penalties-Yards,9-60,3-40,6-61,6-60,5-47,5-45,5-42,4-43,9-55,6-45,6-52,7-33,12-127,6-30,10-85,4-25,2-30
Atl,Rush-Yds-TDs,41-137-0,28-152-0,33-128-0,33-131-3,26-160-0,38-198-3,26-103-1,29-129-0,21-137-0,32-181-2,21-50-0,17-56-0,32-158-2,37-168-0,13-45-0,23-126-2,30-155-3
Atl,Sacked-Yards,2-23,1-8,0-0,1-4,1-7,0-0,1-6,2-11,3-7,3-19,4-21,5-19,1-6,3-19,3-21,2-12,0-0
Atl,Third Down Conv.,8-17,2-9,6-14,7-13,6-11,6-12,4-11,6-12,3-13,5-14,4-13,3-11,7-13,4-13,3-9,2-10,7-12
Atl,Time of Possession,35:36,24:21,34:57,35:42,27:38,30:40,28:52,27:26,30:40,35:07,29:55,24:05,31:35,33:52,25:32,25:46,34:05
Atl,Total Yards,270,385,345,366,333,423,339,394,378,468,226,187,496,261,234,337,425
Atl,Turnovers,0,0,1,2,1,1,0,0,0,1,1,1,3,1,3,1,0
