,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
NYG,Cmp-Att-Yd-TD-INT,26-41-279-2-2,25-40-241-0-1,17-32-179-0-1,23-36-190-0-1,20-33-222-0-0,12-19-112-1-1,20-30-187-2-1,26-42-274-2-2,23-34-212-1-0,21-28-244-0-0,22-38-244-0-0,13-22-105-1-1,13-24-145-0-0,19-32-221-0-0,24-41-252-1-0,17-25-229-2-1
NYG,First Downs,20,22,13,19,20,16,17,24,22,22,19,13,10,14,24,22
NYG,Fourth Down Conv.,1-1,3-3,1-2,1-2,0-0,0-0,0-0,2-2,0-1,1-2,3-3,0-0,1-1,0-2,1-3,0-0
NYG,Fumbles-Lost,0-0,1-1,4-2,1-0,1-1,0-0,2-2,0-0,2-0,0-0,1-1,0-0,5-3,1-0,0-0,2-1
NYG,HomeTeam,True,False,True,False,False,True,False,True,False,True,False,False,True,True,False,True
NYG,NYG Score,16,13,9,9,34,20,21,23,23,27,19,17,7,6,13,23
NYG,Net Pass Yards,262,220,165,159,211,108,165,256,184,231,244,100,81,214,215,211
NYG,Opp Score,26,17,36,17,37,19,22,25,20,17,17,12,26,20,27,19
NYG,Opp_Cmp-Att-Yd-TD-INT,21-32-229-3-0,18-28-190-2-2,25-36-343-1-0,25-32-200-1-0,24-33-288-1-1,31-42-280-2-1,25-43-359-2-1,28-40-279-2-0,29-39-387-1-3,21-37-208-0-0,17-29-136-1-1,27-43-263-1-1,24-35-244-1-0,27-32-297-2-0,17-26-183-2-0,29-47-244-0-1
NYG,Opp_First Downs,19,18,29,15,28,24,27,23,19,22,11,21,22,24,25,26
NYG,Opp_Fourth Down Conv.,1-1,1-1,0-0,1-1,0-0,2-2,1-2,1-1,0-0,1-3,1-1,0-2,1-2,0-1,0-0,1-1
NYG,Opp_Fumbles-Lost,3-1,1-0,0-0,2-1,1-1,1-1,0-0,2-1,3-2,3-0,2-2,3-1,3-0,1-0,1-1,0-0
NYG,Opp_Net Pass Yards,208,169,327,182,276,251,346,263,365,190,115,216,231,286,183,199
NYG,Opp_Penalties-Yards,3-21,5-48,6-45,1-5,3-25,8-50,7-75,3-20,6-45,11-74,3-27,6-41,4-22,6-60,10-65,6-58
NYG,Opp_Rush-Yds-TDs,30-141-0,32-135-0,35-93-3,23-58-1,29-126-2,24-86-0,26-96-1,24-81-0,9-37-1,23-156-2,15-40-0,22-111-0,43-159-1,30-106-1,40-249-1,27-108-1
NYG,Opp_Sacked-Yards,2-21,4-21,2-16,2-18,2-12,3-29,3-13,2-16,2-22,3-18,2-21,5-47,1-13,1-11,0-0,6-45
NYG,Opp_Third Down Conv.,8-15,9-16,8-12,5-13,5-9,8-15,4-13,4-12,3-8,0-9,3-10,4-13,7-18,9-13,8-11,6-17
NYG,Opp_Time of Possession,31:44,34:29,39:44,26:42,27:38,33:30,32:38,30:10,23:33,28:17,22:34,30:11,37:53,34:03,35:09,32:33
NYG,Opp_Total Yards,349,304,420,240,402,337,442,344,402,346,155,327,390,392,432,307
NYG,Opp_Turnovers,1,2,0,1,2,2,1,1,5,0,3,2,0,0,1,1
NYG,Penalties-Yards,4-25,3-10,5-28,4-20,8-81,4-30,9-62,7-73,4-40,7-64,5-51,6-35,2-10,2-25,5-35,6-45
NYG,Rush-Yds-TDs,20-29-0,18-75-1,15-66-0,25-136-0,27-89-2,26-132-0,22-160-1,24-101-1,35-166-1,36-151-3,42-142-1,31-190-1,17-78-1,21-74-0,12-54-0,28-125-1
NYG,Sacked-Yards,3-17,4-21,2-14,5-31,2-11,1-4,3-22,3-18,5-28,3-13,0-0,2-5,8-64,1-7,6-37,2-18
NYG,Third Down Conv.,8-15,3-13,4-10,4-13,7-13,7-11,3-10,4-11,6-15,5-14,9-21,3-12,3-12,5-11,1-10,0-7
NYG,Time of Possession,28:16,25:31,20:16,33:18,32:22,26:30,27:22,29:50,36:27,31:43,37:26,29:49,22:07,25:57,24:51,27:27
NYG,Total Yards,291,295,231,295,300,240,325,357,350,382,386,290,159,288,269,336
NYG,Turnovers,2,2,3,1,1,1,3,2,0,0,1,1,3,0,0,2
