,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
NYG,Cmp-Att-Yd-TD-INT,17-21-188-2-1,22-34-176-1-0,20-37-196-0-1,9-16-82-0-1,21-27-217-0-0,19-27-173-2-0,19-30-202-1-0,17-31-176-0-0,13-17-197-2-0,27-44-341-1-2,21-35-228-1-0,25-31-200-1-0,23-32-216-2-0,21-32-160-0-0,30-42-334-1-1,19-24-177-2-0,23-40-168-1-0,24-35-301-2-0,15-27-135-0-1
NYG,First Downs,19,18,22,21,24,18,27,14,19,25,21,20,18,19,23,26,18,28,13
NYG,Fourth Down Conv.,1-1,1-1,0-1,0-0,0-1,0-0,0-1,0-1,0-0,2-3,0-2,0-0,2-4,1-1,1-1,0-1,2-3,2-2,1-3
NYG,Fumbles-Lost,2-1,0-0,0-0,2-1,1-0,1-1,0-0,3-2,0-0,1-1,1-0,2-1,2-1,1-0,2-1,1-1,0-0,1-0,1-0
NYG,HomeTeam,False,True,True,True,False,True,False,False,True,True,False,True,True,False,False,True,False,False,False
NYG,NYG Score,21,19,16,20,27,24,23,13,24,18,20,20,22,20,24,38,16,31,7
NYG,Net Pass Yards,156,162,169,71,213,155,200,147,176,324,210,182,181,160,319,177,155,289,109
NYG,Opp Score,20,16,23,12,22,20,17,27,16,31,28,20,48,12,27,10,22,24,38
NYG,Opp_Cmp-Att-Yd-TD-INT,20-33-266-2-0,14-29-145-1-0,21-31-215-1-0,11-22-174-0-0,25-39-222-2-0,17-32-210-1-1,22-44-310-0-0,23-34-212-2-0,22-37-319-1-1,17-26-165-0-0,21-30-261-2-2,27-41-275-2-0,21-31-217-2-0,17-29-249-1-0,34-48-299-3-0,17-27-141-1-1,20-35-229-0-1,32-40-271-2-0,16-24-154-2-0
NYG,Opp_First Downs,19,18,23,16,22,23,27,19,22,23,26,25,27,20,23,14,23,21,26
NYG,Opp_Fourth Down Conv.,0-0,1-1,1-1,0-0,0-1,0-0,2-4,2-2,0-0,0-0,0-1,1-1,1-1,1-2,0-1,2-2,0-0,1-2,0-0
NYG,Opp_Fumbles-Lost,2-1,3-2,0-0,6-3,2-0,2-1,1-1,1-1,2-1,1-0,1-0,3-1,0-0,4-2,0-0,0-0,0-0,1-0,1-0
NYG,Opp_Net Pass Yards,266,129,215,155,207,195,310,190,286,165,261,246,184,228,270,124,207,271,148
NYG,Opp_Penalties-Yards,7-50,5-38,8-70,5-65,7-37,10-74,13-81,3-25,7-40,5-45,13-86,7-55,2-9,6-40,2-14,7-60,4-30,3-12,5-25
NYG,Opp_Rush-Yds-TDs,26-93-0,23-146-0,30-176-1,32-149-0,20-94-0,24-211-1,21-142-2,25-87-1,19-101-0,37-160-4,39-169-2,36-165-0,31-253-4,26-159-0,19-83-0,27-128-0,34-135-1,16-61-1,44-268-3
NYG,Opp_Sacked-Yards,1-0,2-16,0-0,6-19,2-15,2-15,0-0,3-22,4-33,0-0,0-0,5-29,4-33,3-21,4-29,2-17,3-22,0-0,1-6
NYG,Opp_Third Down Conv.,3-11,2-12,5-13,5-15,4-10,4-10,6-13,3-13,3-10,6-13,7-11,3-14,6-11,1-10,6-13,3-12,5-14,4-10,10-14
NYG,Opp_Time of Possession,31:06,23:55,32:42,28:43,27:49,28:08,25:50,26:26,26:40,31:48,34:09,41:11,32:30,29:30,30:47,28:24,31:26,26:24,35:43
NYG,Opp_Total Yards,359,275,391,304,301,406,452,277,387,325,430,411,437,387,353,252,342,332,416
NYG,Opp_Turnovers,1,2,0,3,0,2,1,1,2,0,2,1,0,2,0,1,1,0,0
NYG,Penalties-Yards,8-45,8-62,8-57,7-55,6-63,3-25,8-67,6-53,5-24,8-63,7-66,4-34,5-34,5-30,7-63,3-20,8-66,5-45,1-5
NYG,Rush-Yds-TDs,32-238-1,33-103-0,25-167-1,44-262-2,31-125-3,31-83-1,39-236-1,28-78-1,47-191-1,26-89-2,21-90-1,30-134-1,24-123-1,30-128-1,21-126-1,37-217-2,21-129-1,30-142-2,20-118-1
NYG,Sacked-Yards,5-32,3-14,5-27,1-11,1-4,4-18,1-2,5-29,3-21,2-17,3-18,4-18,7-35,0-0,3-15,0-0,2-13,3-12,5-26
NYG,Third Down Conv.,2-10,6-18,3-11,6-14,6-11,7-14,6-12,6-16,7-14,5-13,3-11,4-13,4-13,2-10,3-11,4-7,4-14,7-13,5-13
NYG,Time of Possession,28:54,36:05,27:18,31:17,32:11,31:52,34:10,33:34,33:20,28:12,25:51,28:49,27:30,30:30,29:13,31:36,28:34,33:36,24:17
NYG,Total Yards,394,265,336,333,338,238,436,225,367,413,300,316,304,288,445,394,284,431,227
NYG,Turnovers,2,0,1,2,0,1,0,2,0,3,0,1,1,0,2,1,0,0,1
