,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
NYG,Cmp-Att-Yd-TD-INT,17-30-110-0-2,26-37-321-2-1,22-33-137-0-1,27-34-203-0-2,23-32-205-0-0,24-36-200-0-0,18-29-279-2-0,6-14-7-0-0,19-29-200-1-2,14-27-86-2-1,18-26-246-3-0,17-25-191-1-0,17-21-158-1-0,22-38-190-0-0,16-32-188-1-1,27-41-319-1-1,25-34-311-1-1
NYG,First Downs,14,26,10,17,15,20,16,12,15,16,13,10,18,12,14,17,22
NYG,Fourth Down Conv.,3-5,1-1,0-0,2-4,1-2,1-2,0-0,0-0,1-5,2-3,0-1,0-0,0-1,3-5,3-5,1-3,0-0
NYG,Fumbles-Lost,5-1,0-0,0-0,3-1,1-0,1-0,3-2,2-0,1-0,0-0,0-0,3-1,2-2,0-0,1-0,1-0,1-0
NYG,HomeTeam,True,False,False,True,False,False,True,True,False,False,False,True,True,False,False,True,True
NYG,NYG Score,0,31,12,3,16,9,14,10,6,17,31,10,24,6,25,25,27
NYG,Net Pass Yards,63,312,121,136,183,185,250,-9,154,61,201,162,158,133,186,284,306
NYG,Opp Score,40,28,30,24,31,14,7,13,30,49,19,7,22,24,33,26,10
NYG,Opp_Cmp-Att-Yd-TD-INT,13-25-143-0-0,21-31-228-1-0,25-37-310-2-0,15-26-173-1-0,22-30-308-2-2,19-30-169-2-1,22-42-249-0-1,17-36-240-1-0,16-25-209-0-0,33-44-472-4-2,31-45-256-1-3,21-35-143-0-3,25-39-218-1-1,23-29-218-3-0,24-38-301-1-1,24-34-317-1-2,20-36-203-1-2
NYG,Opp_First Downs,18,24,26,13,22,22,14,12,15,32,28,18,19,20,28,22,19
NYG,Opp_Fourth Down Conv.,1-2,0-0,0-0,0-2,0-0,0-0,2-3,0-1,0-1,1-2,1-1,2-2,1-1,0-0,2-2,0-1,0-1
NYG,Opp_Fumbles-Lost,1-0,0-0,1-0,0-0,2-1,1-1,1-0,2-2,0-0,0-0,4-3,3-0,3-2,0-0,4-1,2-1,2-2
NYG,Opp_Net Pass Yards,143,228,300,160,302,169,197,193,209,472,230,136,203,209,295,286,166
NYG,Opp_Penalties-Yards,5-35,8-57,6-71,8-74,6-43,7-51,10-75,9-85,4-30,9-83,1-5,2-13,4-39,6-58,9-65,3-28,2-10
NYG,Opp_Rush-Yds-TDs,30-122-3,29-151-2,39-141-1,23-121-1,23-222-2,29-128-0,19-76-1,22-58-0,34-125-3,33-168-3,28-174-1,31-147-1,25-123-1,28-87-0,35-170-2,23-105-3,24-133-0
NYG,Opp_Sacked-Yards,0-0,0-0,2-10,2-13,1-6,0-0,6-52,4-47,0-0,0-0,4-26,2-7,2-15,1-9,1-6,4-31,5-37
NYG,Opp_Third Down Conv.,6-13,4-10,9-16,3-12,3-8,6-12,1-15,2-15,5-14,6-12,5-13,4-14,5-14,6-12,8-15,2-8,5-13
NYG,Opp_Time of Possession,26:32,30:37,39:10,24:00,24:01,28:36,31:14,25:38,28:56,37:21,34:51,34:06,31:06,33:27,34:38,30:11,27:03
NYG,Opp_Total Yards,265,379,441,281,524,297,273,251,334,640,404,283,326,296,465,391,299
NYG,Opp_Turnovers,0,0,0,0,3,2,1,2,0,2,6,3,3,0,2,3,4
NYG,Penalties-Yards,6-72,9-75,6-37,6-45,6-43,9-65,4-40,6-73,3-8,2-5,5-33,4-37,5-47,5-32,3-13,7-65,3-21
NYG,Rush-Yds-TDs,28-108-0,27-127-2,11-29-1,29-112-0,29-85-0,34-132-0,32-106-0,52-203-1,25-123-0,23-111-0,19-91-0,19-58-0,34-209-2,16-60-0,26-106-1,20-105-1,30-109-2
NYG,Sacked-Yards,7-47,3-9,2-16,11-67,7-22,3-15,4-29,4-16,8-46,5-25,9-45,6-29,0-0,7-57,1-2,6-35,2-5
NYG,Third Down Conv.,5-16,7-12,3-12,6-16,5-17,10-19,5-16,2-19,3-12,0-12,5-14,4-13,3-10,2-16,4-14,5-16,6-14
NYG,Time of Possession,33:28,29:23,20:50,36:00,35:59,31:24,28:46,38:13,31:04,22:39,25:09,25:54,28:54,26:33,25:22,29:49,32:57
NYG,Total Yards,171,439,150,248,268,317,356,194,277,172,292,220,367,193,292,389,415
NYG,Turnovers,3,1,1,3,0,0,2,0,2,1,0,1,2,0,1,1,1
