,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
nyg,Cmp-Att-Yd-TD-INT,29-38-220-0-1,15-21-122-2-0,35-47-366-3-2,30-49-288-2-0,21-44-258-3-1,11-19-128-1-0,27-39-334-3-0,14-22-311-4-0,28-37-273-2-0,27-41-230-0-3,13-27-113-0-1,21-34-212-1-0,20-30-332-3-0,24-38-237-4-0,27-45-263-0-2,20-37-158-0-3
nyg,First Downs,13,12,21,24,21,12,26,20,19,22,7,15,19,22,12,10
nyg,Fourth Down Conv.,1-1,0-1,0-2,0-1,0-0,0-0,0-1,0-1,3-3,1-1,1-2,0-0,0-0,0-1,1-4,1-1
nyg,Fumbles-Lost,1-0,1-1,0-0,1-0,2-0,1-0,1-1,1-0,1-1,1-0,1-0,2-2,0-0,1-0,2-1,0-0
nyg,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
nyg,Net Pass Yards,198,119,366,288,258,118,321,311,260,229,86,200,332,233,250,136
nyg,Opp Score,19,10,27,25,22,10,7,17,31,12,20,24,10,29,23,18
nyg,Opp_Cmp-Att-Yd-TD-INT,24-39-268-1-0,22-32-239-1-1,21-31-176-1-0,22-38-332-3-0,21-36-225-2-1,31-54-394-1-2,19-39-134-1-0,20-38-220-2-1,19-25-288-2-1,19-36-205-0-1,19-31-242-2-1,22-36-287-1-0,31-46-228-1-2,37-57-434-3-1,21-35-230-2-2,10-28-132-1-1
nyg,Opp_First Downs,22,14,24,20,18,20,14,17,21,20,17,18,21,27,19,17
nyg,Opp_Fourth Down Conv.,0-0,0-2,2-3,0-1,0-1,0-2,0-1,0-0,0-1,2-3,0-1,1-3,0-0,0-1,0-0,0-0
nyg,Opp_Fumbles-Lost,0-0,1-0,1-1,1-0,2-1,3-1,1-1,2-2,1-1,1-0,0-0,4-1,1-0,0-0,1-0,3-0
nyg,Opp_Net Pass Yards,263,208,161,323,183,366,131,208,288,205,201,282,228,429,215,121
nyg,Opp_Penalties-Yards,5-50,7-50,9-103,4-19,10-67,5-46,7-28,4-52,6-44,5-48,8-55,6-42,7-69,5-67,6-45,3-25
nyg,Opp_Rush-Yds-TDs,31-129-0,18-62-0,39-193-2,23-111-0,25-152-1,17-46-0,17-46-0,26-111-0,33-186-2,32-112-1,31-122-0,29-119-2,29-102-0,23-75-1,27-74-0,44-260-1
nyg,Opp_Sacked-Yards,1-5,5-31,3-15,1-9,5-42,4-28,1-3,2-12,0-0,0-0,6-41,1-5,0-0,1-5,2-15,2-11
nyg,Opp_Third Down Conv.,8-15,4-12,5-14,3-11,5-15,5-17,2-12,8-16,8-12,3-13,4-15,6-15,6-16,10-18,5-14,4-16
nyg,Opp_Time of Possession,34:14,27:13,37:32,25:47,28:15,29:24,24:34,29:30,29:00,30:50,34:37,31:19,32:53,29:07,33:13,31:53
nyg,Opp_Total Yards,392,270,354,434,335,412,177,319,474,317,323,401,330,504,289,381
nyg,Opp_Turnovers,0,1,1,0,2,3,1,3,2,1,1,1,2,1,2,1
nyg,Penalties-Yards,6-55,6-50,10-137,1-0,11-87,5-77,15-110,6-55,4-35,9-87,6-79,1-5,8-51,7-44,10-101,4-35
nyg,Rush-Yds-TDs,12-35-0,32-138-0,17-49-0,28-91-1,29-124-0,32-148-0,31-104-0,39-162-2,23-114-0,29-134-0,24-84-0,24-65-1,31-122-1,27-108-0,20-43-0,16-61-1
nyg,Sacked-Yards,3-22,3-3,0-0,0-0,0-0,3-10,1-13,0-0,3-13,1-1,4-27,3-12,0-0,1-4,2-13,3-22
nyg,Third Down Conv.,4-12,7-15,3-10,8-17,8-18,4-14,6-13,6-12,5-14,3-11,2-14,5-14,7-14,6-13,1-14,1-13
nyg,Time of Possession,25:46,32:47,22:28,34:13,31:45,30:36,35:26,30:30,31:00,37:16,25:23,28:41,27:07,30:53,26:47,28:07
nyg,Total Yards,233,257,415,379,382,266,425,473,374,363,170,265,454,341,293,197
nyg,Turnovers,1,1,2,0,1,0,1,0,1,3,1,2,0,0,3,3
nyg,nyg Score,3,24,24,23,27,23,24,51,21,9,10,17,30,34,0,10
