,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
nyg,Cmp-Att-Yd-TD-INT,19-24-208-2-1,16-28-178-2-0,24-35-236-2-0,22-27-221-2-0,23-34-257-2-0,19-28-208-0-0,10-15-114-1-0,24-38-264-0-1,15-22-209-2-0,22-37-190-0-2,24-30-294-0-0,21-32-178-0-1,20-31-219-1-1,21-25-290-5-0,22-39-210-1-2,26-38-330-2-2,22-29-138-1-1
nyg,First Downs,17,18,21,14,24,13,20,17,21,24,24,17,18,25,14,25,10
nyg,Fourth Down Conv.,1-1,1-2,1-1,1-1,0-1,0-0,3-3,1-1,2-2,0-0,1-2,1-1,0-1,0-0,0-1,1-2,2-4
nyg,Fumbles-Lost,1-1,1-1,3-2,1-0,2-1,2-1,0-0,1-1,0-0,2-1,4-1,2-1,2-0,1-1,1-1,1-1,1-0
nyg,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
nyg,Net Pass Yards,201,175,228,213,245,183,70,237,209,175,294,131,200,275,189,320,138
nyg,Opp Score,6,21,15,15,20,7,3,26,22,20,7,27,11,14,34,45,20
nyg,Opp_Cmp-Att-Yd-TD-INT,22-42-186-0-2,23-29-226-0-0,21-37-196-2-0,29-40-281-0-1,28-40-284-1-0,22-41-205-0-1,17-29-105-0-0,20-28-278-1-0,20-26-174-2-0,15-25-126-1-0,22-32-192-0-0,21-36-195-1-0,21-49-227-0-1,22-37-191-1-1,18-27-202-0-1,17-23-309-4-0,27-41-269-2-0
nyg,Opp_First Downs,14,22,16,16,17,24,10,20,25,15,17,21,16,19,22,15,21
nyg,Opp_Fourth Down Conv.,1-3,1-1,1-3,3-4,0-2,3-5,0-0,0-0,2-2,0-0,0-2,0-1,2-4,3-5,0-0,0-1,1-2
nyg,Opp_Fumbles-Lost,1-0,0-0,2-2,1-0,1-1,0-0,3-0,1-1,1-1,2-1,2-1,2-0,0-0,0-0,0-0,1-0,1-0
nyg,Opp_Net Pass Yards,166,210,148,277,231,190,43,259,162,118,169,195,213,181,202,309,252
nyg,Opp_Penalties-Yards,9-95,10-69,5-48,4-35,6-30,2-9,5-35,5-50,4-51,10-87,4-42,6-48,12-112,6-44,3-30,7-94,1-0
nyg,Opp_Rush-Yds-TDs,21-74-0,35-215-0,18-69-0,24-26-0,11-102-0,31-119-1,18-76-0,31-167-0,31-164-1,32-188-1,20-76-1,32-122-1,23-112-1,20-55-1,38-127-2,30-80-1,25-51-0
nyg,Opp_Sacked-Yards,5-20,5-16,8-48,1-4,7-53,2-15,8-62,4-19,2-12,1-8,4-23,0-0,2-14,3-10,0-0,0-0,2-17
nyg,Opp_Third Down Conv.,7-18,7-14,4-14,5-16,3-11,5-15,3-14,6-13,6-11,6-15,5-11,7-15,5-19,2-12,8-14,7-13,3-14
nyg,Opp_Time of Possession,32:26,37:32,26:04,35:37,22:38,34:07,24:40,29:18,32:00,27:38,26:01,31:36,28:11,31:02,34:28,26:37,29:48
nyg,Opp_Total Yards,240,425,217,303,333,309,119,426,326,306,245,317,325,236,329,389,303
nyg,Opp_Turnovers,2,0,2,1,1,1,0,1,1,1,1,0,1,1,1,0,0
nyg,Penalties-Yards,7-63,5-20,9-68,11-89,2-20,6-67,6-35,11-65,5-52,3-15,4-29,13-98,6-40,12-112,10-85,3-21,6-40
nyg,Rush-Yds-TDs,26-111-1,22-129-1,32-112-1,23-80-0,34-175-0,20-121-2,45-269-3,25-157-1,38-149-1,34-167-2,32-157-4,21-116-2,33-92-1,31-170-0,13-45-0,33-126-2,25-100-0
nyg,Sacked-Yards,1-7,1-3,2-8,1-8,3-12,4-25,5-44,4-27,0-0,2-15,0-0,6-47,2-19,3-15,3-21,2-10,0-0
nyg,Third Down Conv.,3-10,4-8,4-14,3-10,7-16,4-11,1-13,5-15,5-12,7-15,6-11,3-12,5-15,9-11,3-9,7-13,4-14
nyg,Time of Possession,27:34,22:28,33:56,24:23,37:22,25:53,35:20,30:42,28:00,34:29,33:59,28:24,31:49,28:58,25:32,33:23,30:12
nyg,Total Yards,312,304,340,293,420,304,339,394,358,342,451,247,292,445,234,446,238
nyg,Turnovers,2,1,2,0,1,1,0,2,0,3,1,2,1,1,3,3,1
nyg,nyg Score,28,18,21,20,29,17,28,18,27,17,30,20,14,35,7,33,13
