,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
Jax,Cmp-Att-Yd-TD-INT,11-21-125-1-0,15-27-215-1-1,14-27-64-1-2,15-35-140-1-1,8-14-95-0-1,11-21-124-1-0,18-27-330-1-0,10-18-136-0-0,21-37-235-2-1,17-30-154-1-0,19-33-160-0-1,21-36-174-1-2,17-31-271-3-3,12-31-128-1-1,32-50-382-2-3,15-34-158-0-2,18-40-148-0-2,14-26-214-1-0,23-36-293-1-0
Jax,First Downs,19,21,12,20,15,12,23,8,16,15,19,17,17,9,32,13,20,22,22
Jax,Fourth Down Conv.,1-1,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,1-1,1-1,4-4,0-1,0-0,2-2,0-0,1-1,1-1,0-1
Jax,Fumbles-Lost,1-0,0-0,1-1,0-0,0-0,2-1,3-2,0-0,2-1,5-1,3-2,1-0,0-0,2-0,1-0,4-2,1-0,1-0,1-0
Jax,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jax,Jax Score,29,37,7,20,30,27,27,7,17,19,24,10,24,7,33,10,3,45,20
Jax,Net Pass Yards,125,211,52,136,82,107,330,119,235,145,128,149,260,99,380,146,133,214,273
Jax,Opp Score,7,16,44,23,9,17,0,23,20,7,27,30,30,45,44,15,10,42,24
Jax,Opp_Cmp-Att-Yd-TD-INT,19-36-164-1-1,20-34-223-1-2,20-33-244-4-0,23-32-255-0-1,33-55-312-0-5,23-35-241-1-1,22-37-200-0-0,24-38-259-1-0,28-51-273-1-2,16-32-179-1-2,22-38-241-2-1,27-36-338-2-0,18-27-268-2-0,21-29-326-3-0,21-30-242-2-1,12-21-134-1-0,12-23-87-1-0,37-58-469-5-1,27-39-310-2-0
Jax,Opp_First Downs,23,20,24,18,21,19,15,26,20,11,20,22,20,25,26,11,15,28,22
Jax,Opp_Fourth Down Conv.,0-1,0-0,2-2,1-1,0-0,1-1,0-3,0-1,1-2,0-1,0-0,1-1,0-0,0-0,0-0,1-1,1-1,4-6,1-1
Jax,Opp_Fumbles-Lost,3-3,2-1,0-0,3-1,0-0,2-0,2-0,1-1,0-0,6-3,2-1,1-0,1-1,0-0,0-0,1-1,3-0,1-1,1-1
Jax,Opp_Net Pass Yards,110,211,244,215,301,220,136,259,263,134,236,330,268,326,238,116,75,462,298
Jax,Opp_Penalties-Yards,9-94,10-99,9-70,10-70,5-37,5-40,5-55,5-50,9-106,0-0,10-98,6-55,7-48,8-54,8-68,2-15,5-34,4-25,1-10
Jax,Opp_Rush-Yds-TDs,23-93-0,25-99-1,35-166-1,32-256-2,20-70-0,26-169-1,20-96-0,40-149-0,27-135-1,18-50-0,31-108-0,27-96-1,39-156-1,38-138-3,35-131-3,39-116-0,34-155-0,18-83-1,19-46-1
Jax,Opp_Sacked-Yards,10-54,2-12,0-0,5-40,2-11,5-21,10-64,0-0,3-10,5-45,1-5,1-8,0-0,1-0,1-4,3-18,2-12,2-7,3-12
Jax,Opp_Third Down Conv.,5-12,6-13,3-12,6-17,7-15,4-15,5-15,12-18,5-18,3-13,7-17,9-15,4-13,3-10,10-15,3-16,2-12,7-16,3-12
Jax,Opp_Time of Possession,29:55,29:14,34:03,34:24,31:08,31:59,27:13,40:14,35:01,23:05,34:39,33:47,33:01,33:18,29:11,33:27,27:23,31:10,24:52
Jax,Opp_Total Yards,203,310,410,471,371,389,232,408,398,184,344,426,424,464,369,232,230,545,344
Jax,Opp_Turnovers,4,3,0,2,5,1,0,1,2,5,2,0,1,0,1,1,0,2,1
Jax,Penalties-Yards,10-89,7-70,10-88,6-47,4-19,7-70,4-34,8-77,7-77,6-40,5-45,4-31,6-73,14-127,12-99,6-41,5-52,3-40,6-98
Jax,Rush-Yds-TDs,39-155-1,36-179-3,25-134-0,39-175-0,37-231-2,32-142-0,37-188-2,17-29-1,30-87-0,44-139-0,22-91-2,26-141-0,24-141-0,21-87-0,28-92-2,24-83-0,32-130-0,35-164-4,32-101-1
Jax,Sacked-Yards,0-0,1-4,2-12,1-4,2-13,3-17,1-0,2-17,0-0,2-9,3-32,4-25,2-11,4-29,1-2,2-12,2-15,0-0,3-20
Jax,Third Down Conv.,3-12,6-13,3-11,4-15,6-12,4-13,8-14,1-8,3-15,6-20,1-12,5-15,2-9,4-16,5-13,6-16,7-18,8-14,6-15
Jax,Time of Possession,30:05,30:46,25:57,35:08,28:52,28:01,32:47,19:46,31:47,36:55,25:21,26:13,26:59,26:42,30:49,26:33,32:37,28:50,35:08
Jax,Total Yards,280,390,186,311,313,249,518,148,322,284,219,290,401,186,472,229,263,378,374
Jax,Turnovers,0,1,3,1,1,1,2,0,2,1,3,2,3,1,3,4,2,0,0
