,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
Jax,Cmp-Att-Yd-TD-INT,12-21-162-1-0,22-34-186-0-0,26-46-200-1-1,18-33-169-2-0,34-45-383-3-0,24-36-240-2-1,26-37-276-2-0,18-27-252-1-1,16-31-169-0-2,24-38-241-0-3,17-29-138-0-1,22-34-242-1-0,23-31-220-0-2,16-30-289-3-0,25-39-247-1-0,19-31-193-1-1,20-32-225-1-1
Jax,First Downs,17,17,19,17,25,17,17,22,14,28,10,20,16,22,15,23,19
Jax,Fourth Down Conv.,0-1,3-3,4-8,0-1,1-1,2-2,0-1,0-0,1-2,1-1,1-2,1-1,1-1,1-1,1-2,1-2,0-1
Jax,Fumbles-Lost,2-1,1-0,1-1,1-0,1-1,2-1,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,3-2,2-0,1-0
Jax,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jax,Jax Score,17,18,10,20,34,16,16,30,23,12,6,23,10,32,14,13,23
Jax,Net Pass Yards,139,172,147,155,348,210,257,252,155,233,129,218,220,275,236,178,206
Jax,Opp Score,20,13,47,24,37,35,32,27,28,7,52,20,6,25,19,20,26
Jax,Opp_Cmp-Att-Yd-TD-INT,23-37-338-1-0,14-30-220-0-0,24-31-266-4-0,27-40-345-2-0,28-34-371-2-1,23-29-226-4-1,15-20-193-1-0,21-32-308-2-1,18-24-230-2-0,14-22-111-0-2,27-33-449-4-0,24-42-276-2-1,19-32-168-0-0,31-46-294-2-2,24-38-257-0-0,15-22-174-2-0,23-40-264-1-0
Jax,Opp_First Downs,18,18,25,26,20,25,23,19,21,10,38,19,17,27,21,18,24
Jax,Opp_Fourth Down Conv.,0-2,0-0,2-2,0-0,1-2,1-1,0-1,1-1,0-2,0-0,3-3,2-2,0-3,0-0,0-0,0-0,0-1
Jax,Opp_Fumbles-Lost,0-0,1-0,0-0,1-1,2-1,1-0,0-0,2-1,1-1,1-1,0-0,1-0,1-0,1-0,0-0,0-0,0-0
Jax,Opp_Net Pass Yards,319,196,266,334,371,221,193,299,210,87,449,276,146,285,245,173,252
Jax,Opp_Penalties-Yards,9-103,6-52,6-47,12-93,3-25,2-10,4-24,8-59,8-67,3-25,4-46,4-30,4-25,8-106,7-62,7-50,3-15
Jax,Opp_Rush-Yds-TDs,25-81-1,21-127-1,29-122-2,26-101-1,23-126-2,29-152-1,39-171-2,23-91-1,46-237-2,18-56-1,43-196-3,25-97-0,28-126-0,29-136-0,27-69-2,33-122-0,34-177-1
Jax,Opp_Sacked-Yards,3-19,4-24,0-0,2-11,0-0,3-5,0-0,1-9,3-20,3-24,0-0,0-0,2-22,2-9,2-12,2-1,3-12
Jax,Opp_Third Down Conv.,8-16,3-9,6-11,7-13,3-10,5-11,6-10,1-9,9-17,5-11,6-10,5-15,8-16,8-15,4-14,8-13,5-15
Jax,Opp_Time of Possession,33:10,25:37,31:40,33:17,28:28,30:40,33:15,25:51,38:12,17:41,39:06,27:43,31:44,34:24,34:18,29:20,35:58
Jax,Opp_Total Yards,400,323,388,435,497,373,364,390,447,143,645,373,272,421,314,295,429
Jax,Opp_Turnovers,0,0,0,1,2,1,0,2,1,3,0,1,0,2,0,0,0
Jax,Penalties-Yards,8-71,13-100,7-45,6-44,5-34,8-43,7-35,3-20,4-17,6-40,6-40,3-15,5-39,8-62,8-60,5-34,4-57
Jax,Rush-Yds-TDs,26-128-1,29-125-1,17-92-0,24-158-0,20-99-1,20-68-0,15-38-0,39-170-2,18-60-2,43-169-0,17-41-0,25-108-1,26-71-1,23-125-1,21-72-1,30-159-0,34-113-1
Jax,Sacked-Yards,3-23,2-14,5-53,1-14,4-35,4-30,2-19,1-0,2-14,1-8,1-9,2-24,1-0,1-14,1-11,3-15,2-19
Jax,Third Down Conv.,2-10,2-14,2-13,4-12,7-14,7-15,6-12,3-11,3-10,5-14,2-10,5-13,6-13,4-10,6-15,7-14,5-14
Jax,Time of Possession,26:50,34:23,28:20,26:43,31:32,29:20,26:45,34:09,21:48,42:19,20:54,32:17,28:16,25:36,25:42,30:40,30:51
Jax,Total Yards,267,297,239,313,447,278,295,422,215,402,170,326,291,400,308,337,319
Jax,Turnovers,1,0,2,0,1,2,0,1,3,3,1,0,2,0,2,1,1
