,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
jax,Cmp-Att-Yd-TD-INT,18-33-176-1-1,24-35-234-2-0,13-21-108-0-0,17-34-167-1-0,33-61-430-1-4,15-26-149-1-1,12-24-139-1-0,21-30-286-3-1,27-39-324-2-0,27-47-314-2-3,12-23-127-1-2,33-52-248-0-1,25-43-240-1-0,16-25-151-1-0,17-24-145-0-0,15-28-107-0-1
jax,First Downs,17,18,15,10,29,10,15,22,24,19,25,19,17,16,19,6
jax,Fourth Down Conv.,0-0,0-0,0-0,0-1,3-5,0-1,0-0,0-0,1-1,0-2,0-0,0-3,2-5,0-0,0-0,0-0
jax,Fumbles-Lost,0-0,1-1,0-0,0-0,1-1,1-1,2-0,1-1,1-1,0-0,0-0,1-1,1-1,2-0,2-1,2-1
jax,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
jax,Net Pass Yards,168,220,83,144,401,139,131,262,324,297,107,224,195,136,118,89
jax,Opp Score,15,31,6,31,30,40,7,18,29,16,24,6,30,13,7,20
jax,Opp_Cmp-Att-Yd-TD-INT,23-37-224-0-1,29-45-376-4-1,21-34-155-0-0,29-38-388-2-1,22-38-313-0-2,17-27-183-2-0,27-42-217-1-1,24-41-286-1-0,21-29-285-3-1,10-18-104-0-0,8-19-160-1-0,18-24-150-0-0,18-24-162-0-1,9-17-57-0-1,15-22-146-1-1,25-35-234-0-0
jax,Opp_First Downs,15,27,12,23,26,23,15,16,17,15,18,11,21,11,11,23
jax,Opp_Fourth Down Conv.,0-2,0-0,0-1,1-1,0-0,2-2,0-1,1-2,0-0,0-0,0-0,0-0,0-1,0-0,0-0,1-1
jax,Opp_Fumbles-Lost,1-1,2-1,2-1,4-2,0-0,2-0,3-2,2-1,0-0,2-1,2-0,2-1,1-0,1-1,1-1,1-1
jax,Opp_Net Pass Yards,210,376,145,377,298,172,189,265,285,64,160,132,162,20,121,208
jax,Opp_Penalties-Yards,6-43,7-71,8-75,9-89,11-105,3-25,2-15,5-45,7-45,11-111,13-80,8-74,3-30,8-55,10-95,2-15
jax,Opp_Rush-Yds-TDs,23-114-1,24-104-0,19-87-0,34-126-1,30-126-2,42-206-2,22-70-0,17-70-0,23-81-1,43-179-1,35-167-2,27-79-0,32-264-4,26-172-0,18-62-0,33-134-2
jax,Opp_Sacked-Yards,2-14,0-0,3-10,2-11,1-15,3-11,4-28,4-21,0-0,6-40,0-0,3-18,1-0,6-37,3-25,6-26
jax,Opp_Third Down Conv.,4-13,10-14,5-14,6-15,4-12,7-17,9-19,6-14,6-11,6-18,2-10,6-15,7-11,5-13,2-9,6-17
jax,Opp_Time of Possession,30:29,30:46,27:13,37:35,32:43,38:50,30:25,27:22,24:50,37:40,27:18,29:33,29:20,26:54,25:15,35:07
jax,Opp_Total Yards,324,480,232,503,424,378,259,335,366,243,327,211,426,192,183,342
jax,Opp_Turnovers,2,2,1,3,2,0,3,1,1,1,0,1,1,2,2,1
jax,Penalties-Yards,11-119,2-25,4-30,6-43,5-45,4-30,6-35,4-36,8-61,3-15,10-90,6-65,7-67,6-48,10-97,8-68
jax,Rush-Yds-TDs,28-137-0,24-82-0,35-150-0,14-34-0,17-101-1,18-65-0,37-141-1,28-133-0,34-91-1,11-26-1,39-226-2,16-41-0,20-60-0,33-109-0,32-126-1,16-30-0
jax,Sacked-Yards,1-8,2-14,3-25,3-23,5-29,3-10,1-8,4-24,0-0,2-17,3-20,3-24,4-45,3-15,6-27,3-18
jax,Third Down Conv.,4-13,4-12,5-15,3-13,7-16,4-11,8-16,7-12,9-17,3-11,5-13,5-18,2-12,7-15,6-13,3-13
jax,Time of Possession,29:31,29:14,32:47,22:25,27:17,21:10,29:35,32:38,35:10,22:20,32:42,30:27,30:40,33:06,34:45,24:53
jax,Total Yards,305,302,233,178,502,204,272,395,415,323,333,265,255,245,244,119
jax,Turnovers,1,1,0,0,5,2,0,2,1,3,2,2,1,0,1,2
jax,jax Score,20,20,9,12,14,7,20,24,26,20,21,0,9,16,17,3
