,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
jax,Cmp-Att-Yd-TD-INT,24-42-275-1-1,16-30-195-0-3,28-39-262-3-0,11-23-174-2-1,16-24-140-0-0,20-22-165-1-0,19-30-202-1-0,18-30-252-1-1,21-36-259-2-0,29-40-259-2-0,16-32-254-1-0,19-34-185-1-0,30-42-368-3-0,23-30-256-3-2,20-31-229-0-0,22-29-181-0-2,20-29-179-1-1,25-43-273-1-0,24-39-217-1-1
jax,First Downs,24,9,25,13,15,25,27,18,16,17,24,14,22,24,19,20,19,18,20
jax,Fourth Down Conv.,0-1,0-2,2-3,0-1,0-0,1-2,0-1,2-3,1-3,2-2,0-1,3-4,0-1,0-0,0-0,0-0,2-3,0-0,0-0
jax,Fumbles-Lost,1-0,2-0,0-0,5-4,0-0,2-1,0-0,0-0,1-1,0-0,3-2,1-1,0-0,0-0,1-1,1-0,2-1,1-0,1-1
jax,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
jax,Net Pass Yards,260,164,262,148,132,136,200,230,248,240,253,171,368,243,218,168,165,253,205
jax,Opp Score,28,24,10,29,6,34,17,17,27,27,28,40,22,40,3,3,20,31,27
jax,Opp_Cmp-Att-Yd-TD-INT,27-41-313-4-2,25-30-235-2-0,25-45-297-1-1,16-25-204-0-1,25-47-286-0-2,42-58-389-3-0,22-44-310-0-0,18-31-133-1-2,25-31-235-1-0,26-35-331-4-1,29-37-321-3-0,31-41-340-2-0,25-38-254-2-1,27-42-318-4-1,19-33-182-0-1,25-44-211-0-0,20-32-212-1-0,28-47-288-4-4,27-37-218-3-0
jax,Opp_First Downs,26,21,16,25,22,29,27,24,22,26,18,31,22,26,10,13,13,24,23
jax,Opp_Fourth Down Conv.,0-0,2-3,0-2,3-5,0-3,0-0,2-4,0-0,0-0,1-1,2-3,0-0,0-1,0-0,1-5,0-4,0-0,2-3,0-0
jax,Opp_Fumbles-Lost,1-1,0-0,1-1,1-0,0-0,2-0,1-1,1-0,1-1,3-2,2-1,0-0,4-3,2-2,2-1,1-1,1-1,1-1,0-0
jax,Opp_Net Pass Yards,305,235,286,191,286,389,310,114,235,331,294,337,227,311,161,193,203,273,218
jax,Opp_Penalties-Yards,6-63,3-19,7-54,3-20,6-48,7-52,13-81,5-54,4-30,0-0,4-19,1-10,5-50,4-37,9-64,7-45,4-25,3-30,3-30
jax,Opp_Rush-Yds-TDs,28-85-0,37-96-1,12-26-0,50-210-4,26-136-0,16-45-1,21-142-2,32-191-1,37-168-2,27-155-0,20-38-0,31-100-2,20-137-1,27-192-0,20-66-0,21-84-0,14-19-0,21-117-0,30-144-0
jax,Opp_Sacked-Yards,1-8,0-0,1-11,2-13,0-0,0-0,0-0,2-19,0-0,0-0,4-27,2-3,4-27,1-7,3-21,2-18,1-9,2-15,0-0
jax,Opp_Third Down Conv.,7-10,6-15,5-13,4-15,6-14,10-15,6-13,4-11,9-15,7-10,4-13,8-12,5-10,8-12,2-13,6-17,5-11,2-10,6-12
jax,Opp_Time of Possession,33:33,38:15,21:33,39:51,28:13,28:49,25:50,34:04,32:25,28:21,27:21,36:50,27:08,27:42,25:08,30:30,23:48,27:21,35:01
jax,Opp_Total Yards,390,331,312,401,422,434,452,305,403,486,332,437,364,503,227,277,222,390,362
jax,Opp_Turnovers,3,0,2,1,2,0,1,2,1,3,1,0,4,3,2,1,1,5,0
jax,Penalties-Yards,13-90,5-30,2-10,4-38,4-25,4-44,8-67,12-80,5-45,5-30,3-20,5-24,9-70,2-18,3-25,2-30,6-40,7-42,5-40
jax,Rush-Yds-TDs,18-123-1,13-54-0,36-151-1,19-71-0,31-116-1,33-243-3,39-236-1,28-101-2,19-73-0,16-75-0,35-162-1,19-95-0,25-60-1,41-154-1,39-147-1,29-169-3,39-147-0,23-67-2,19-144-1
jax,Sacked-Yards,2-15,5-31,0-0,4-26,1-8,4-29,1-2,3-22,2-11,5-19,1-1,2-14,0-0,3-13,1-11,2-13,4-14,3-20,2-12
jax,Third Down Conv.,3-12,2-10,8-15,2-7,5-13,5-10,6-12,2-11,3-12,4-14,8-14,3-12,6-13,9-16,7-16,4-12,6-17,8-17,7-13
jax,Time of Possession,26:27,21:45,38:27,20:09,31:47,31:11,34:10,25:56,27:35,31:39,32:39,23:10,32:52,35:26,34:52,29:30,36:12,32:39,24:59
jax,Total Yards,383,218,413,219,248,379,436,331,321,315,415,266,428,397,365,337,312,320,349
jax,Turnovers,1,3,0,5,0,1,0,1,1,0,2,1,0,2,1,2,2,0,2
jax,jax Score,22,0,38,21,13,27,23,21,20,17,27,14,36,34,19,31,16,30,20
