,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
jax,Cmp-Att-Yd-TD-INT,24-32-241-2-1,29-41-305-2-1,20-30-280-2-0,19-31-191-1-2,25-37-315-1-0,33-55-329-1-3,21-30-217-1-0,24-32-292-1-1,20-28-302-3-0,13-17-158-2-0,23-38-364-1-1,33-39-347-1-1,28-50-257-3-3,14-24-171-1-1,28-44-305-2-2,19-32-112-0-1,29-43-280-2-2
jax,First Downs,20,19,15,17,29,18,18,20,20,12,22,27,20,25,23,7,20
jax,Fourth Down Conv.,1-3,2-2,0-0,0-1,0-0,3-6,1-2,0-0,1-2,1-1,0-0,1-2,0-1,1-1,1-3,3-6,0-3
jax,Fumbles-Lost,3-1,4-2,0-0,1-1,4-2,1-1,2-2,2-2,0-0,2-2,0-0,0-0,1-1,0-0,3-2,0-0,0-0
jax,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
jax,Net Pass Yards,237,298,280,160,278,310,217,271,293,143,364,335,235,145,268,67,280
jax,Opp Score,21,9,17,23,20,37,24,10,3,34,21,31,31,7,30,26,28
jax,Opp_Cmp-Att-Yd-TD-INT,24-39-223-1-1,23-42-215-0-0,29-42-288-1-1,23-30-207-1-0,27-40-359-2-1,20-30-181-2-1,33-55-301-1-1,25-43-211-1-2,18-32-190-0-2,24-32-262-2-0,26-36-304-2-0,31-39-321-2-0,26-45-311-3-1,25-43-264-1-0,26-35-283-2-0,17-24-178-0-0,17-27-168-2-1
jax,Opp_First Downs,18,18,22,16,18,17,25,17,12,24,19,23,16,16,22,16,19
jax,Opp_Fourth Down Conv.,1-5,0-2,0-1,1-2,0-0,1-1,4-6,0-2,0-1,3-4,0-1,2-2,3-3,2-3,1-2,1-1,0-1
jax,Opp_Fumbles-Lost,2-2,3-1,1-1,2-0,2-1,0-0,1-0,2-0,2-2,0-0,0-0,3-0,2-2,2-2,0-0,0-0,1-0
jax,Opp_Net Pass Yards,215,197,288,195,359,148,295,191,162,261,261,305,307,258,265,162,152
jax,Opp_Penalties-Yards,4-35,2-10,6-49,3-25,11-109,5-25,3-34,6-52,5-39,4-29,7-49,7-55,8-75,6-47,6-44,1-15,5-29
jax,Opp_Rush-Yds-TDs,26-65-1,18-74-0,27-116-1,32-105-0,14-29-1,29-85-2,31-112-1,18-70-0,17-59-0,36-128-2,18-91-1,25-71-2,28-82-1,17-75-0,36-70-1,35-155-2,26-175-2
jax,Opp_Sacked-Yards,4-8,4-18,0-0,2-12,0-0,3-33,1-6,3-20,5-28,1-1,4-43,4-16,1-4,1-6,2-18,3-16,2-16
jax,Opp_Third Down Conv.,2-12,3-12,5-13,5-14,5-12,4-14,3-18,3-12,4-12,4-12,6-13,6-15,4-18,3-13,10-19,7-16,6-11
jax,Opp_Time of Possession,26:23,28:11,32:03,32:51,21:48,28:41,36:10,25:44,26:49,36:26,26:06,34:12,31:49,25:41,37:07,33:29,27:43
jax,Opp_Total Yards,280,271,404,300,388,233,407,261,221,389,352,376,389,333,335,317,327
jax,Opp_Turnovers,3,1,2,0,2,1,1,2,4,0,0,0,3,2,0,0,1
jax,Penalties-Yards,4-45,12-94,8-75,3-50,8-56,6-46,5-42,6-72,7-90,7-66,6-35,6-35,7-40,6-54,2-20,3-24,6-40
jax,Rush-Yds-TDs,35-105-2,22-101-0,26-86-1,22-127-0,40-196-2,17-44-1,26-113-2,30-106-0,30-144-1,19-92-0,30-81-1,31-156-3,20-58-1,42-251-1,13-37-0,15-57-0,23-82-0
jax,Sacked-Yards,2-4,1-7,0-0,4-31,5-37,3-19,0-0,3-21,2-9,2-15,0-0,2-12,4-22,3-26,4-37,6-45,0-0
jax,Third Down Conv.,3-12,4-13,9-15,6-12,10-18,6-17,2-11,6-13,4-12,2-7,7-13,8-14,7-17,5-12,3-9,1-13,8-14
jax,Time of Possession,33:37,31:49,27:57,27:09,38:12,31:19,23:50,34:16,33:11,23:34,33:54,34:03,28:11,34:19,22:53,26:31,32:17
jax,Total Yards,342,399,366,287,474,354,330,377,437,235,445,491,293,396,305,124,362
jax,Turnovers,2,3,0,3,2,4,2,3,0,2,1,1,4,1,4,1,2
jax,jax Score,31,17,37,7,25,20,31,20,34,14,24,34,27,23,12,0,20
