,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
NYJ,Cmp-Att-Yd-TD-INT,28-41-175-1-0,23-31-201-0-0,12-22-98-0-1,15-26-120-0-2,23-32-338-2-1,11-32-86-0-4,21-30-218-2-3,27-39-260-1-1,19-30-230-1-0,19-31-293-4-1,20-29-315-2-0,28-48-239-0-0,20-36-270-2-1,18-32-218-2-1,16-26-183-1-0,23-36-199-1-1
NYJ,First Downs,17,13,6,9,20,12,15,17,18,23,21,15,22,13,14,18
NYJ,Fourth Down Conv.,1-2,0-2,0-1,0-1,0-0,0-1,1-2,2-2,1-1,1-1,0-0,0-2,0-1,0-2,1-1,0-0
NYJ,Fumbles-Lost,2-1,1-1,0-0,2-1,0-0,3-2,1-0,1-0,0-0,2-1,2-1,0-0,2-0,1-1,3-1,1-0
NYJ,HomeTeam,True,True,False,False,True,True,False,False,True,False,True,False,True,False,True,False
NYJ,NYJ Score,16,3,14,6,24,0,15,18,34,34,34,6,22,21,16,13
NYJ,Net Pass Yards,155,169,69,61,326,73,167,238,218,285,313,209,262,207,174,185
NYJ,Opp Score,17,23,30,31,22,33,29,26,27,17,3,22,21,42,10,6
NYJ,Opp_Cmp-Att-Yd-TD-INT,24-37-254-1-2,19-35-325-1-1,30-45-320-2-1,17-29-189-1-0,28-40-278-0-0,31-45-249-1-1,22-34-279-3-0,24-36-288-3-0,26-40-308-4-0,19-35-214-2-1,19-34-147-0-1,22-37-243-1-0,21-37-245-0-1,15-24-212-5-0,25-37-213-1-2,21-40-237-0-2
NYJ,Opp_First Downs,23,16,21,17,26,22,21,22,15,13,10,18,22,23,16,17
NYJ,Opp_Fourth Down Conv.,0-1,0-0,0-0,0-2,0-1,1-1,0-1,0-0,1-2,0-1,0-1,0-0,0-0,1-1,0-1,0-0
NYJ,Opp_Fumbles-Lost,2-2,0-0,1-1,3-1,0-0,0-0,3-1,0-0,4-2,3-0,3-1,2-0,3-0,1-0,2-0,2-1
NYJ,Opp_Net Pass Yards,242,305,313,181,270,249,278,266,258,171,140,233,240,212,185,236
NYJ,Opp_Penalties-Yards,7-55,9-85,8-70,9-76,9-68,7-92,9-70,6-51,6-62,11-66,4-35,2-15,5-48,6-35,4-34,5-40
NYJ,Opp_Rush-Yds-TDs,25-128-1,21-70-1,27-68-2,29-84-1,34-129-2,34-74-3,34-111-0,24-50-0,17-23-0,20-54-0,22-68-0,25-44-1,26-122-0,34-218-1,25-75-0,20-73-0
NYJ,Opp_Sacked-Yards,1-12,3-20,1-7,1-8,1-8,0-0,2-1,4-22,6-50,6-43,1-7,1-10,2-5,1-0,4-28,1-1
NYJ,Opp_Third Down Conv.,5-10,4-13,6-15,5-13,10-17,7-16,8-17,6-12,8-18,6-16,5-15,5-14,4-13,2-8,3-14,4-14
NYJ,Opp_Time of Possession,27:59,29:41,35:14,30:52,32:03,38:27,33:21,31:14,29:16,27:41,28:30,31:41,30:06,31:38,31:32,28:39
NYJ,Opp_Total Yards,370,375,381,265,399,323,389,316,281,225,208,277,362,430,260,309
NYJ,Opp_Turnovers,4,1,2,1,0,1,1,0,2,1,2,0,1,0,2,3
NYJ,Penalties-Yards,8-67,12-89,5-67,9-52,8-105,8-60,10-83,10-105,7-54,6-55,4-37,10-106,5-88,8-94,3-30,2-13
NYJ,Rush-Yds-TDs,21-68-0,24-93-0,20-36-0,19-67-1,20-56-1,20-81-0,14-46-0,21-83-0,29-76-2,33-115-1,30-88-1,17-62-0,32-112-0,24-103-0,32-85-0,27-86-0
NYJ,Sacked-Yards,4-20,4-32,5-29,10-59,2-12,1-13,8-51,3-22,2-12,2-8,1-2,4-30,1-8,1-11,2-9,2-14
NYJ,Third Down Conv.,7-17,2-14,0-12,3-14,2-10,2-11,2-9,5-14,4-13,5-12,5-12,7-17,6-14,6-14,4-15,5-14
NYJ,Time of Possession,32:01,30:19,24:46,29:08,27:57,21:33,26:39,28:46,30:44,32:19,31:30,28:19,29:54,28:22,28:28,31:21
NYJ,Total Yards,223,262,105,128,382,154,213,321,294,400,401,271,374,310,259,271
NYJ,Turnovers,1,1,1,3,1,6,3,1,0,2,1,0,1,2,1,1
