,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
NYJ,Cmp-Att-Yd-TD-INT,20-37-258-2-1,19-33-210-0-4,19-35-160-0-2,21-34-297-2-1,19-32-192-0-1,26-42-253-1-2,39-49-422-3-2,34-52-412-4-1,27-47-298-1-4,24-39-291-2-0,14-24-145-0-1,23-38-226-2-1,19-42-202-0-0,13-24-170-0-0,14-22-102-1-0,19-33-234-1-0,7-20-87-1-0
NYJ,First Downs,16,18,11,16,17,18,32,30,22,18,18,21,13,16,18,22,4
NYJ,Fourth Down Conv.,1-2,1-3,0-2,0-0,0-0,0-2,0-0,1-1,1-2,1-1,2-2,2-3,1-3,0-1,3-5,0-1,1-1
NYJ,Fumbles-Lost,1-0,0-0,0-0,3-0,1-0,1-1,1-1,1-1,1-1,1-1,1-0,0-0,0-0,1-1,0-0,1-1,1-0
NYJ,HomeTeam,False,True,False,True,False,False,True,False,True,True,False,True,True,False,True,True,False
NYJ,NYJ Score,14,6,0,27,20,13,34,30,17,17,21,18,9,24,26,24,10
NYJ,Net Pass Yards,207,184,119,289,166,237,414,398,296,278,109,211,178,126,100,224,5
NYJ,Opp Score,19,25,26,24,27,54,31,45,45,24,14,33,30,31,21,28,27
NYJ,Opp_Cmp-Att-Yd-TD-INT,24-35-279-1-0,22-30-186-0-0,19-25-235-0-0,30-49-298-1-0,33-46-342-2-0,28-41-411-3-0,22-35-305-3-1,22-30-272-3-0,21-28-366-2-1,27-34-273-2-1,17-26-158-2-1,20-25-242-2-0,15-21-175-0-0,16-27-196-2-2,26-39-280-0-0,34-50-410-3-1,25-46-254-2-0
NYJ,Opp_First Downs,18,17,23,30,28,32,18,28,26,20,13,26,21,23,27,26,25
NYJ,Opp_Fourth Down Conv.,0-1,0-0,0-0,2-3,1-1,1-1,0-1,1-2,0-0,0-0,1-2,1-1,1-1,2-3,2-3,1-1,0-1
NYJ,Opp_Fumbles-Lost,1-1,1-0,1-1,1-0,3-2,0-0,1-0,2-0,2-1,1-0,1-0,3-0,2-0,2-1,2-1,0-0,3-0
NYJ,Opp_Net Pass Yards,270,159,223,253,342,403,277,272,350,273,106,233,141,196,252,405,254
NYJ,Opp_Penalties-Yards,6-38,6-54,6-50,8-98,4-66,6-95,5-51,2-22,7-50,8-62,4-32,3-20,4-42,5-45,2-10,4-39,4-40
NYJ,Opp_Rush-Yds-TDs,27-111-1,24-101-2,37-120-2,37-177-1,29-108-1,32-148-4,16-41-1,30-260-3,24-139-4,33-115-1,24-96-0,41-185-1,44-203-3,42-183-2,31-132-1,21-62-0,33-170-1
NYJ,Opp_Sacked-Yards,1-9,3-27,2-12,7-45,0-0,1-8,3-28,1-0,2-16,0-0,5-52,2-9,3-34,1-0,1-28,1-5,0-0
NYJ,Opp_Third Down Conv.,4-14,3-12,4-11,5-19,9-14,7-12,4-10,5-10,4-7,8-14,6-14,6-13,6-15,5-12,6-13,9-15,8-18
NYJ,Opp_Time of Possession,31:20,27:52,35:47,40:42,35:54,32:12,23:39,30:27,27:27,33:35,26:18,35:36,38:52,34:22,32:18,33:03,37:00
NYJ,Opp_Total Yards,381,260,343,430,450,551,318,532,489,388,202,418,344,379,384,467,424
NYJ,Opp_Turnovers,1,0,1,0,2,0,1,0,2,1,1,0,0,3,1,1,0
NYJ,Penalties-Yards,5-30,8-77,9-90,6-65,7-58,5-29,8-46,7-43,9-69,7-48,5-40,6-66,5-45,3-32,7-81,2-14,4-27
NYJ,Rush-Yds-TDs,17-45-0,31-152-0,13-43-0,25-66-1,18-64-2,17-62-1,27-97-1,21-88-0,22-70-1,18-102-0,34-157-2,17-70-1,17-78-0,24-102-2,36-273-1,26-150-2,17-48-0
NYJ,Sacked-Yards,6-51,4-26,5-41,1-8,2-26,2-16,2-8,2-14,1-2,2-13,4-36,2-15,3-24,6-44,1-2,1-10,9-82
NYJ,Third Down Conv.,4-13,5-13,4-13,6-14,5-10,7-13,6-11,8-14,3-13,7-14,2-13,3-9,3-14,3-11,4-12,6-11,1-14
NYJ,Time of Possession,28:40,32:08,24:13,29:03,24:06,27:48,36:21,29:33,32:33,26:25,33:42,24:24,21:08,25:38,27:42,26:57,23:00
NYJ,Total Yards,252,336,162,355,230,299,511,486,366,380,266,281,256,228,373,374,53
NYJ,Turnovers,1,4,2,1,1,3,3,2,5,1,1,1,0,1,0,1,0
