,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
nyj,Cmp-Att-Yd-TD-INT,26-39-187-0-2,16-24-166-2-0,26-45-220-1-2,15-35-140-1-1,23-30-194-2-1,20-38-257-2-1,17-27-209-3-1,18-29-254-2-0,29-40-285-2-0,23-39-262-1-1,11-28-168-0-0,19-33-366-4-0,8-21-60-0-1,19-39-179-1-2,22-40-290-1-0,19-36-232-0-0
nyj,First Downs,11,17,16,20,14,23,16,18,21,15,17,17,6,19,21,14
nyj,Fourth Down Conv.,1-1,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-1,1-2,1-1,0-1,0-1,0-1,0-0,1-1
nyj,Fumbles-Lost,2-0,2-2,1-0,0-0,1-0,1-1,2-1,4-2,4-3,2-1,1-0,0-0,1-1,0-0,1-0,1-0
nyj,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
nyj,Net Pass Yards,176,145,195,136,178,257,180,246,244,219,154,362,41,170,290,207
nyj,Opp Score,21,45,20,23,14,17,31,20,34,15,27,38,23,31,7,26
nyj,Opp_Cmp-Att-Yd-TD-INT,16-28-224-2-1,23-28-230-3-0,18-23-249-1-0,23-32-255-0-1,24-36-281-2-2,31-47-354-2-2,25-37-326-4-2,26-33-257-2-0,14-20-140-1-0,17-34-187-1-1,19-36-307-3-0,26-36-331-1-0,19-31-200-1-0,26-36-281-2-1,15-28-119-0-1,19-40-195-2-0
nyj,Opp_First Downs,23,21,16,18,22,23,25,15,21,17,21,30,17,23,13,28
nyj,Opp_Fourth Down Conv.,0-0,0-0,0-0,1-1,1-2,1-3,0-0,1-1,0-0,0-0,0-0,1-1,1-1,1-1,0-1,1-1
nyj,Opp_Fumbles-Lost,0-0,1-0,3-1,3-1,2-1,1-1,1-0,3-1,0-0,1-0,2-1,0-0,0-0,2-2,2-2,0-0
nyj,Opp_Net Pass Yards,218,230,233,215,279,334,304,236,137,181,282,331,189,281,98,183
nyj,Opp_Penalties-Yards,6-50,9-79,10-94,10-70,6-60,6-69,9-76,6-50,10-66,6-50,7-68,5-40,3-21,8-92,5-34,4-49
nyj,Opp_Rush-Yds-TDs,42-190-1,27-180-3,34-103-1,32-256-2,33-140-0,24-74-0,25-53-0,22-43-0,41-194-3,31-90-0,26-109-0,49-157-3,35-84-1,28-131-2,30-197-1,38-147-1
nyj,Opp_Sacked-Yards,2-6,0-0,2-16,5-40,1-2,4-20,3-22,3-21,1-3,1-6,3-25,0-0,2-11,0-0,3-21,2-12
nyj,Opp_Third Down Conv.,8-17,8-12,4-13,6-17,6-14,9-17,5-13,5-15,6-14,7-16,5-14,13-20,7-17,3-10,3-14,4-15
nyj,Opp_Time of Possession,33:04,31:02,36:08,34:24,34:26,33:40,31:58,31:41,33:30,31:54,28:10,42:49,37:35,29:10,27:02,34:49
nyj,Opp_Total Yards,408,410,336,471,419,408,357,279,331,271,391,488,273,412,295,330
nyj,Opp_Turnovers,1,0,1,2,3,3,2,1,0,1,1,0,0,3,3,0
nyj,Penalties-Yards,5-62,5-47,8-51,6-47,9-80,6-45,12-124,6-68,11-99,8-77,10-84,8-30,4-20,8-50,8-80,9-84
nyj,Rush-Yds-TDs,15-38-1,25-126-0,15-30-0,39-175-0,18-34-0,25-118-1,22-92-1,32-140-0,22-63-1,19-56-0,33-145-2,11-112-0,23-59-0,28-124-1,30-89-1,19-40-0
nyj,Sacked-Yards,1-11,4-21,3-25,1-4,3-16,0-0,3-29,1-8,7-41,6-43,3-14,2-4,4-19,1-9,0-0,4-25
nyj,Third Down Conv.,4-14,7-12,1-12,4-15,4-12,7-13,4-11,5-14,6-16,3-15,3-14,3-8,3-13,5-15,5-15,0-12
nyj,Time of Possession,26:56,28:58,23:52,35:08,25:34,26:20,28:02,28:19,26:30,28:06,31:50,17:11,22:25,30:50,32:58,25:11
nyj,Total Yards,214,271,225,311,212,375,272,386,307,275,299,474,100,294,379,247
nyj,Turnovers,2,2,2,1,1,2,2,2,3,2,0,0,2,2,0,0
nyj,nyj Score,12,20,6,20,17,24,28,25,21,10,35,31,0,19,14,6
