,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
nyj,Cmp-Att-Yd-TD-INT,19-29-203-2-1,18-30-176-2-0,16-26-120-0-0,12-25-60-1-0,29-54-244-2-3,19-25-215-2-0,24-39-276-1-2,17-28-233-2-0,11-31-191-0-0,22-35-151-0-0,20-30-272-1-0,20-31-206-1-0,27-39-339-1-0,16-30-289-3-0,14-19-110-1-1,23-32-195-2-2,25-41-227-1-2
nyj,First Downs,14,16,11,12,17,24,17,22,21,17,18,16,23,22,17,20,21
nyj,Fourth Down Conv.,0-1,0-0,3-3,0-0,0-1,0-0,1-2,0-0,2-2,1-3,1-2,1-2,2-2,1-1,0-0,0-1,3-3
nyj,Fumbles-Lost,1-1,0-0,1-1,1-1,1-0,1-0,2-0,2-0,2-1,1-1,2-1,3-2,0-0,0-0,0-0,2-1,5-2
nyj,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
nyj,Net Pass Yards,198,164,61,60,218,210,269,224,135,128,241,175,319,275,110,169,199
nyj,Opp Score,32,17,24,9,23,20,37,25,21,31,27,21,32,25,9,40,32
nyj,Opp_Cmp-Att-Yd-TD-INT,19-29-231-0-0,19-28-192-1-1,27-35-281-2-0,24-42-225-0-0,15-32-203-0-1,23-35-294-2-1,16-29-264-2-0,18-30-155-0-0,22-32-211-3-0,22-24-266-1-0,22-29-184-2-0,21-39-185-2-1,33-47-331-2-0,31-46-294-2-2,28-42-256-1-0,17-28-251-3-0,23-37-274-4-1
nyj,Opp_First Downs,24,20,27,16,17,20,21,19,17,28,10,17,28,27,17,23,22
nyj,Opp_Fourth Down Conv.,0-0,0-1,0-0,0-1,0-1,0-0,2-2,1-1,1-1,1-1,0-1,1-3,2-2,0-0,2-5,0-1,1-2
nyj,Opp_Fumbles-Lost,0-0,1-1,1-0,1-1,2-1,1-0,0-0,2-0,2-1,1-0,1-0,2-1,0-0,1-0,2-2,0-0,1-0
nyj,Opp_Net Pass Yards,221,170,267,184,171,272,260,136,193,259,162,169,331,285,246,251,257
nyj,Opp_Penalties-Yards,4-40,5-45,8-106,13-90,11-80,11-110,4-36,5-50,9-83,5-58,2-14,12-83,8-49,8-106,8-62,7-60,6-35
nyj,Opp_Rush-Yds-TDs,38-180-2,28-130-1,33-133-1,23-64-0,30-82-1,21-121-0,36-149-2,31-112-3,21-100-0,32-147-3,20-91-1,21-89-0,19-44-1,29-136-0,20-75-0,34-97-2,22-118-0
nyj,Opp_Sacked-Yards,3-10,4-22,2-14,5-41,4-32,3-22,1-4,2-19,2-18,1-7,3-22,2-16,0-0,2-9,1-10,0-0,3-17
nyj,Opp_Third Down Conv.,6-13,5-12,10-15,4-17,4-13,4-12,5-14,7-15,5-12,5-7,4-13,5-13,1-9,8-15,5-13,8-14,5-12
nyj,Opp_Time of Possession,38:40,29:57,40:04,31:44,30:37,30:26,32:09,30:26,26:18,32:42,25:43,28:39,32:53,34:24,32:05,31:17,27:56
nyj,Opp_Total Yards,401,300,400,248,253,393,409,248,293,406,253,258,375,421,321,348,375
nyj,Opp_Turnovers,0,2,0,1,2,1,0,0,1,0,0,2,0,2,2,0,1
nyj,Penalties-Yards,3-10,7-70,5-70,5-74,8-76,11-94,5-50,8-55,7-60,3-25,5-40,5-50,10-83,8-62,5-45,16-120,4-32
nyj,Rush-Yds-TDs,19-68-1,24-101-1,15-78-0,31-126-0,14-36-0,33-149-1,15-54-1,28-112-1,36-187-1,17-79-0,35-91-2,23-84-1,21-83-1,23-125-1,31-132-1,21-112-0,23-135-1
nyj,Sacked-Yards,1-5,2-12,7-59,0-0,3-26,2-5,1-7,1-9,8-56,3-23,2-31,3-31,3-20,1-14,0-0,4-26,4-28
nyj,Third Down Conv.,6-10,5-12,2-11,3-14,5-17,5-11,3-10,4-10,6-17,6-13,6-15,4-13,4-12,4-10,5-10,4-9,3-12
nyj,Time of Possession,21:20,30:03,19:56,28:16,29:23,29:34,27:51,29:34,33:42,27:18,34:17,31:21,31:02,25:36,27:55,28:43,32:04
nyj,Total Yards,266,265,139,186,254,359,323,336,322,207,332,259,402,400,242,281,334
nyj,Turnovers,2,0,1,1,3,0,2,0,1,1,1,2,0,0,1,3,4
nyj,nyj Score,19,24,3,10,17,23,15,22,13,6,28,26,26,32,19,14,20
