,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
DET,Cmp-Att-Yd-TD-INT,24-42-297-1-1,20-33-244-2-1,22-31-270-2-0,17-31-206-3-1,19-31-223-1-1,25-36-340-1-0,24-42-336-3-1,31-45-305-2-3,24-33-276-3-0,18-33-178-0-0,28-43-295-1-1,27-42-402-3-1,27-40-273-1-0,27-38-307-1-1,21-31-152-0-1,20-31-293-3-1
DET,DET Score,23,21,26,29,34,23,21,20,30,0,25,34,24,25,7,35
DET,First Downs,25,19,22,18,25,21,20,30,21,10,28,24,27,27,12,21
DET,Fourth Down Conv.,0-0,0-1,1-1,3-3,2-2,0-1,0-1,0-0,0-0,1-3,1-3,1-2,0-0,0-1,0-1,1-1
DET,Fumbles-Lost,0-0,0-0,0-0,0-0,0-0,0-0,3-1,1-0,0-0,1-1,3-2,0-0,0-0,3-2,1-1,1-1
DET,HomeTeam,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,True
DET,Net Pass Yards,288,218,232,191,223,322,297,292,267,145,279,400,242,307,113,288
DET,Opp Score,27,42,23,35,16,22,41,34,27,20,41,30,31,46,47,37
DET,Opp_Cmp-Att-Yd-TD-INT,20-36-242-3-0,18-30-240-2-0,23-35-270-2-3,19-25-246-2-1,25-44-243-1-1,31-42-338-1-0,23-34-262-3-0,13-20-220-3-0,38-55-390-0-0,24-35-258-1-2,17-25-318-4-0,26-34-267-1-0,26-33-290-3-0,21-27-273-3-0,31-42-491-6-0,28-40-405-3-0
DET,Opp_First Downs,26,26,28,29,16,26,26,22,34,20,21,26,26,28,30,31
DET,Opp_Fourth Down Conv.,1-2,1-1,1-1,1-1,0-2,1-2,1-1,0-1,2-2,0-0,0-0,0-1,0-0,0-0,1-2,2-2
DET,Opp_Fumbles-Lost,1-0,0-0,0-0,2-0,2-1,2-1,1-0,0-0,2-1,2-0,1-1,1-1,0-0,0-0,1-0,2-0
DET,Opp_Net Pass Yards,214,229,268,228,231,322,247,212,375,258,307,249,290,268,477,383
DET,Opp_Penalties-Yards,6-48,8-60,7-38,4-67,5-56,8-53,3-19,9-69,6-58,7-45,10-74,3-20,12-68,3-22,8-65,4-35
DET,Opp_Rush-Yds-TDs,28-149-0,35-259-2,27-109-1,42-164-3,16-44-1,26-66-2,39-119-2,34-275-2,26-89-3,34-116-1,23-77-0,31-140-3,31-120-1,38-195-3,26-111-1,31-125-2
DET,Opp_Sacked-Yards,1-28,1-11,1-2,2-18,1-12,2-16,2-15,1-8,2-15,1-0,2-11,2-18,0-0,1-5,2-14,3-22
DET,Opp_Third Down Conv.,2-11,6-12,4-10,10-14,7-13,7-14,7-14,4-10,7-15,5-15,3-9,4-11,8-11,9-11,4-10,4-13
DET,Opp_Time of Possession,29:05,34:46,27:10,36:46,24:03,30:45,37:46,27:11,35:43,36:48,26:16,32:18,35:30,28:22,35:53,35:13
DET,Opp_Total Yards,363,488,377,392,275,388,366,487,464,374,384,389,410,463,588,508
DET,Opp_Turnovers,0,0,3,1,2,1,0,0,1,2,1,1,0,0,0,0
DET,Penalties-Yards,8-77,7-70,7-46,5-49,7-60,5-50,4-76,3-37,9-55,4-20,4-44,7-45,4-30,3-33,11-117,7-51
DET,Rush-Yds-TDs,29-138-1,21-89-1,27-90-0,22-90-1,39-180-3,21-64-1,13-29-0,27-129-0,21-105-0,17-40-0,29-109-2,22-60-2,15-51-2,27-123-2,15-73-0,22-129-2
DET,Sacked-Yards,1-9,4-26,4-38,3-15,0-0,2-18,5-39,2-13,1-9,5-33,4-16,2-2,4-31,0-0,4-39,1-5
DET,Third Down Conv.,6-16,6-12,4-12,7-14,3-12,3-10,7-14,6-12,4-10,3-14,6-13,6-11,5-10,7-12,1-10,5-10
DET,Time of Possession,30:55,25:14,32:50,23:14,35:57,29:15,22:14,32:49,24:17,23:12,33:44,27:42,24:30,31:38,24:07,24:47
DET,Total Yards,426,307,322,281,403,386,326,421,372,185,388,460,293,430,186,417
DET,Turnovers,1,1,0,1,1,0,2,3,0,1,3,1,0,3,2,2
