,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
DET,Cmp-Att-Yd-TD-INT,38-57-338-3-1,26-36-246-2-1,22-31-217-0-0,24-38-299-2-0,21-35-203-0-1,28-42-202-0-1,23-37-285-1-2,25-34-222-0-0,14-25-114-0-0,15-23-77-0-2,21-25-171-2-0,25-41-296-3-1,24-39-215-1-1,21-26-216-3-0,25-35-208-1-1,22-37-262-2-3,22-32-313-3-0
DET,DET Score,33,17,17,14,17,11,19,6,16,10,14,29,10,30,16,29,37
DET,First Downs,31,19,22,23,22,15,19,15,17,12,14,23,17,22,19,20,19
DET,Fourth Down Conv.,2-5,0-2,0-0,1-3,0-1,1-2,2-3,2-5,2-2,0-0,0-0,1-3,3-5,1-1,3-4,1-2,2-3
DET,Fumbles-Lost,0-0,2-1,0-0,3-2,1-1,0-0,0-0,3-1,0-0,0-0,3-1,2-1,1-1,1-1,0-0,1-0,0-0
DET,HomeTeam,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,True
DET,Net Pass Yards,314,236,192,261,180,192,278,171,77,77,163,272,198,212,208,262,305
DET,Opp Score,41,35,19,24,19,34,28,44,16,13,16,27,38,12,20,51,30
DET,Opp_Cmp-Att-Yd-TD-INT,18-26-319-2-0,22-27-255-4-0,16-31-287-1-1,11-17-209-0-1,25-34-275-1-1,20-30-278-4-1,28-41-334-3-0,11-16-114-0-0,30-50-242-1-1,15-29-176-1-2,24-39-317-1-1,30-41-340-2-0,18-25-179-2-0,29-50-313-1-1,18-24-215-1-0,20-29-236-4-0,24-35-272-3-2
DET,Opp_First Downs,21,25,15,20,18,20,22,27,22,22,21,26,25,23,14,29,22
DET,Opp_Fourth Down Conv.,0-0,0-0,1-1,1-1,0-0,2-2,0-1,0-0,0-0,0-0,0-0,0-1,1-1,1-3,1-1,1-1,1-2
DET,Opp_Fumbles-Lost,2-2,0-0,1-0,1-0,1-1,1-0,0-0,0-0,3-2,1-0,1-0,1-1,0-0,1-0,1-1,1-0,2-1
DET,Opp_Net Pass Yards,311,227,271,185,264,256,327,114,242,165,310,326,174,293,207,232,256
DET,Opp_Penalties-Yards,7-79,5-50,6-69,7-61,7-74,4-31,4-35,2-15,7-59,10-82,5-50,7-66,2-18,7-83,2-15,5-31,0-0
DET,Opp_Rush-Yds-TDs,28-131-2,31-96-1,22-116-0,39-188-3,28-120-0,36-142-0,19-47-0,46-236-4,31-145-0,36-184-1,29-68-0,27-100-1,39-184-3,21-105-0,18-47-1,41-265-2,27-122-1
DET,Opp_Sacked-Yards,1-8,3-28,4-16,1-24,2-11,2-22,1-7,0-0,0-0,1-11,1-7,3-14,1-5,2-20,3-8,1-4,4-16
DET,Opp_Third Down Conv.,3-9,5-9,1-10,1-8,5-13,8-15,9-13,5-10,7-17,5-13,5-13,6-13,8-12,7-15,2-8,7-12,8-14
DET,Opp_Time of Possession,26:33,33:25,27:27,28:43,32:06,35:52,27:20,35:00,36:48,34:56,32:56,33:04,32:07,28:08,21:55,33:33,33:39
DET,Opp_Total Yards,442,323,387,373,384,398,374,350,387,349,378,426,358,398,254,497,378
DET,Opp_Turnovers,2,0,1,1,2,1,0,0,3,2,1,1,0,1,1,0,3
DET,Penalties-Yards,5-45,9-78,7-35,4-26,3-30,9-77,8-77,8-50,8-84,7-67,10-67,3-11,6-53,6-49,6-30,4-30,2-15
DET,Rush-Yds-TDs,24-116-1,19-108-0,27-93-2,25-90-0,24-108-1,18-36-1,28-137-0,18-57-1,39-229-2,23-168-1,19-76-0,27-100-0,21-118-0,34-126-0,33-130-0,22-95-2,26-99-1
DET,Sacked-Yards,3-24,1-10,2-25,4-38,4-23,1-10,2-7,6-51,4-37,0-0,1-8,3-24,2-17,2-4,0-0,0-0,1-8
DET,Third Down Conv.,4-15,4-9,3-10,4-11,3-11,5-14,6-15,5-14,4-18,3-11,4-10,2-11,5-14,6-13,7-16,5-10,4-11
DET,Time of Possession,33:27,26:35,32:33,31:17,27:54,24:08,32:40,25:00,33:12,25:04,27:04,26:56,27:53,31:52,38:05,26:27,26:21
DET,Total Yards,430,344,285,351,288,228,415,228,306,245,239,372,316,338,338,357,404
DET,Turnovers,1,2,0,2,2,1,2,1,0,2,1,2,2,1,1,3,0
