,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19
DET,Cmp-Att-Yd-TD-INT,22-35-253-1-0,28-35-323-3-1,22-33-243-1-1,19-28-210-1-1,20-28-236-3-0,30-44-353-2-0,33-53-284-0-1,26-37-272-1-1,23-33-333-2-0,23-35-236-2-3,29-44-332-2-0,16-25-213-2-0,20-35-161-1-2,24-34-278-5-0,30-40-257-1-0,20-35-302-1-2,23-32-320-2-0,22-27-277-1-0,30-43-287-2-0,25-41-273-1-0
DET,DET Score,21,31,20,34,42,20,6,26,41,31,22,33,13,42,30,19,30,24,31,31
DET,First Downs,19,25,18,25,23,19,18,29,23,23,25,18,13,29,28,21,19,23,26,28
DET,Fourth Down Conv.,1-3,1-3,0-0,2-2,1-2,0-0,2-6,1-1,4-5,0-0,1-5,0-0,1-5,1-1,2-2,2-3,2-2,1-1,1-1,1-3
DET,Fumbles-Lost,2-1,2-2,0-0,0-0,0-0,1-0,2-0,2-2,0-0,1-1,3-3,1-0,2-1,0-0,2-1,0-0,0-0,1-0,0-0,1-1
DET,HomeTeam,False,True,True,False,True,False,False,True,False,True,True,False,False,True,False,False,True,True,True,False
DET,Net Pass Yards,250,316,243,190,218,340,253,264,333,223,324,205,127,263,246,295,311,255,277,260
DET,Opp Score,20,37,6,20,24,6,38,14,38,26,29,28,28,17,24,20,20,23,23,34
DET,Opp_Cmp-Att-Yd-TD-INT,21-39-226-2-1,32-41-328-2-0,21-38-201-0-0,23-36-246-1-2,25-41-247-3-2,19-37-206-0-1,21-28-357-3-0,10-21-126-0-1,27-40-323-4-1,16-23-169-1-0,22-32-268-3-0,19-29-267-1-1,19-33-223-1-0,18-32-223-1-0,22-36-411-2-4,26-38-345-2-1,30-44-396-2-2,25-36-367-2-0,26-41-349-3-2,20-31-267-1-1
DET,Opp_First Downs,17,28,16,15,26,13,23,12,24,25,17,23,20,20,19,17,24,22,23,23
DET,Opp_Fourth Down Conv.,0-1,1-1,0-1,1-1,1-1,1-2,1-1,0-3,3-3,2-2,0-1,0-1,1-2,2-2,0-1,0-0,2-3,1-1,1-1,0-1
DET,Opp_Fumbles-Lost,0-0,0-0,1-1,2-0,2-1,0-0,1-1,1-0,0-0,2-1,0-0,1-1,1-0,1-1,2-0,2-1,0-0,1-0,0-0,0-0
DET,Opp_Net Pass Yards,226,311,139,203,243,205,357,77,323,151,268,249,194,204,373,323,359,357,319,258
DET,Opp_Penalties-Yards,3-25,9-80,4-24,4-31,7-45,5-33,4-45,4-40,3-36,6-69,7-60,6-50,4-35,4-40,8-64,5-34,8-77,4-36,5-33,3-20
DET,Opp_Rush-Yds-TDs,23-90-0,25-82-2,20-44-0,12-27-1,23-99-0,16-46-0,27-146-2,18-80-1,28-98-1,46-183-1,22-109-0,36-113-3,30-142-2,28-83-1,11-17-1,21-61-0,22-89-0,17-68-0,15-89-0,33-155-3
DET,Opp_Sacked-Yards,0-0,1-17,7-62,5-43,1-4,1-1,0-0,6-49,0-0,2-18,0-0,2-18,3-29,2-19,4-38,3-22,4-37,2-10,4-30,2-9
DET,Opp_Third Down Conv.,5-14,5-11,4-14,3-11,5-10,2-12,4-8,1-9,7-14,5-13,5-11,6-12,6-14,5-13,3-9,7-14,2-13,3-9,4-12,6-12
DET,Opp_Time of Possession,27:22,33:31,27:03,22:02,28:45,23:30,30:22,20:27,29:26,40:24,28:04,32:10,33:19,28:42,21:38,29:24,34:59,30:05,28:00,32:12
DET,Opp_Total Yards,316,393,183,230,342,251,503,157,421,334,377,362,336,287,390,384,448,425,408,413
DET,Opp_Turnovers,1,0,1,2,3,1,1,1,1,1,0,2,0,1,4,2,2,0,2,1
DET,Penalties-Yards,4-63,4-24,10-119,8-70,5-35,5-35,5-57,5-55,4-44,5-25,7-51,6-45,8-59,2-54,9-52,6-35,4-20,5-34,3-17,2-15
DET,Rush-Yds-TDs,34-118-1,27-102-1,31-115-1,43-211-3,30-159-3,22-40-0,14-84-1,43-222-1,31-200-3,22-115-2,31-140-1,30-142-2,24-140-1,28-185-1,36-143-3,31-125-1,23-70-2,25-79-2,26-114-2,29-182-3
DET,Sacked-Yards,1-3,2-7,0-0,2-20,2-18,3-13,5-31,1-8,0-0,2-13,3-8,1-8,4-34,2-15,1-11,1-7,1-9,3-22,2-10,2-13
DET,Third Down Conv.,5-15,6-11,4-14,7-17,4-10,9-16,5-16,6-14,4-13,8-11,7-15,6-13,6-15,5-10,6-12,4-13,1-9,3-9,6-14,6-12
DET,Time of Possession,32:38,30:48,32:57,37:58,31:15,36:30,29:38,39:33,30:34,19:36,31:56,27:50,26:41,31:18,38:22,30:36,25:01,29:55,32:00,27:48
DET,Total Yards,368,418,358,401,377,380,337,486,533,338,464,347,267,448,389,420,381,334,391,442
DET,Turnovers,1,3,1,1,0,0,1,3,0,4,3,0,3,0,1,2,0,0,0,1
