,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
det,Cmp-Att-Yd-TD-INT,27-48-268-1-3,15-21-122-2-0,24-35-294-2-3,19-31-209-0-0,26-33-355-3-0,25-52-312-3-3,17-31-317-1-1,26-33-361-2-0,22-40-237-1-1,21-31-299-2-0,21-30-282-2-0,27-34-316-1-2,36-44-381-1-2,31-46-314-1-3,19-35-203-1-1,20-32-193-1-2
det,First Downs,24,12,26,19,16,18,17,24,26,20,28,18,21,22,15,17
det,Fourth Down Conv.,1-1,0-1,0-0,0-0,0-0,0-1,0-0,0-0,4-4,0-0,0-0,0-0,0-0,0-1,1-2,1-2
det,Fumbles-Lost,2-1,1-1,0-0,1-0,1-0,3-2,1-1,2-1,1-1,2-1,0-0,2-1,2-1,1-0,0-0,2-2
det,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
det,Net Pass Yards,263,119,277,154,334,281,317,353,212,287,272,294,381,306,189,153
det,Opp Score,35,10,26,7,24,52,15,17,38,24,23,44,21,20,26,35
det,Opp_Cmp-Att-Yd-TD-INT,29-41-292-4-1,22-32-239-1-1,25-45-264-1-0,16-30-219-0-0,23-35-229-2-0,20-30-186-2-2,27-45-423-0-0,26-38-245-0-0,17-26-249-3-1,18-30-179-1-0,20-35-250-2-1,23-36-269-2-0,26-38-285-2-2,25-33-237-2-0,27-41-238-1-1,20-29-323-3-0
det,Opp_First Downs,19,14,21,15,19,19,21,21,16,24,17,24,28,18,28,18
det,Opp_Fourth Down Conv.,0-1,0-2,0-0,0-1,0-1,1-1,0-2,0-2,0-0,1-1,0-1,0-0,0-0,0-0,0-0,0-0
det,Opp_Fumbles-Lost,1-0,1-0,0-0,3-3,2-1,2-1,1-1,0-0,0-0,1-1,2-1,1-0,3-3,1-1,1-0,1-0
det,Opp_Net Pass Yards,285,208,253,197,192,186,411,233,241,176,236,269,267,202,222,305
det,Opp_Penalties-Yards,10-100,7-50,9-98,2-10,1-10,13-118,6-57,2-20,7-81,5-64,8-54,2-25,7-65,8-58,5-60,5-62
det,Opp_Rush-Yds-TDs,27-82-0,18-62-0,19-71-0,22-87-1,15-50-1,37-193-2,22-71-0,17-78-2,19-104-1,30-222-2,15-53-0,27-101-2,28-133-1,20-91-0,34-142-1,23-51-1
det,Opp_Sacked-Yards,1-7,5-31,2-11,2-22,6-37,0-0,2-12,3-12,4-8,1-3,3-14,0-0,3-18,4-35,3-16,2-18
det,Opp_Third Down Conv.,8-16,4-12,3-13,3-10,5-13,2-12,2-12,2-9,5-11,3-9,3-11,5-12,4-8,6-13,7-14,4-12
det,Opp_Time of Possession,33:20,27:13,27:25,23:33,24:37,32:11,31:37,23:05,25:26,29:24,25:03,29:51,30:13,29:05,32:29,28:13
det,Opp_Total Yards,367,270,324,284,242,379,482,311,345,398,289,370,400,293,364,356
det,Opp_Turnovers,1,1,0,3,1,3,1,0,1,1,2,0,5,1,1,0
det,Penalties-Yards,6-55,6-50,8-68,6-60,11-100,7-46,5-37,2-19,7-60,6-49,9-74,6-45,8-105,13-97,9-74,8-68
det,Rush-Yds-TDs,18-45-1,32-138-0,28-151-1,31-97-1,28-28-0,19-66-0,29-75-1,33-64-1,33-201-2,24-65-0,41-136-2,24-78-2,18-53-2,15-43-0,22-87-1,27-103-0
det,Sacked-Yards,1-5,3-3,2-17,6-55,3-21,5-31,0-0,1-8,4-25,3-12,2-10,3-22,0-0,2-8,2-14,4-40
det,Third Down Conv.,6-15,7-15,4-9,3-13,7-16,9-18,7-14,8-13,5-15,3-10,6-13,4-13,5-11,5-12,6-15,4-14
det,Time of Possession,26:40,32:47,32:35,36:27,35:23,27:49,28:23,36:55,34:34,30:36,34:57,30:09,29:47,30:55,27:31,31:47
det,Total Yards,308,257,428,251,362,347,392,417,413,352,408,372,434,349,276,256
det,Turnovers,4,1,3,0,0,5,2,1,2,1,0,3,3,3,1,4
det,det Score,23,24,30,14,27,38,20,30,24,27,30,20,24,10,17,11
