,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
det,Cmp-Att-Yd-TD-INT,34-49-317-1-1,12-19-185-1-1,18-23-199-2-1,38-56-395-1-1,19-27-334-3-0,22-25-280-2-0,22-38-266-1-2,18-22-145-1-0,15-30-240-2-5,17-29-138-0-1,26-36-269-0-0,20-39-256-3-0,12-20-206-1-0,23-34-362-2-0,23-32-336-3-0,26-34-303-3-0,18-41-166-0-0,22-31-299-2-0
det,First Downs,26,14,23,38,27,19,23,17,19,10,26,17,17,28,27,23,14,27
det,Fourth Down Conv.,1-2,0-0,0-1,1-2,1-2,0-1,1-2,2-2,0-0,1-2,0-1,0-2,0-0,1-1,0-1,2-3,0-3,3-4
det,Fumbles-Lost,0-0,2-0,0-0,1-1,1-0,3-1,3-2,0-0,1-0,0-0,1-0,0-0,1-1,0-0,0-0,0-0,0-0,1-0
det,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
det,Net Pass Yards,304,146,186,383,308,247,258,137,240,129,253,223,199,362,329,287,142,299
det,Opp Score,26,16,13,42,9,29,52,14,23,52,6,23,34,42,17,34,31,31
det,Opp_Cmp-Att-Yd-TD-INT,18-28-217-1-1,35-56-324-0-2,21-34-207-1-1,19-19-299-3-0,25-44-224-0-3,22-27-259-1-1,15-19-94-4-0,23-39-273-0-1,19-33-232-1-2,27-33-449-4-0,11-28-172-0-0,21-34-221-2-0,32-41-283-3-1,38-59-494-5-0,26-40-334-2-0,30-40-412-3-2,27-33-231-1-2,25-43-336-1-4
det,Opp_First Downs,21,26,17,21,16,16,17,20,16,38,11,25,27,30,19,29,24,30
det,Opp_Fourth Down Conv.,1-1,3-5,0-2,0-0,1-4,0-0,0-0,2-3,0-0,3-3,0-1,1-1,4-5,3-3,3-4,1-1,2-4,2-2
det,Opp_Fumbles-Lost,0-0,0-0,0-0,0-0,2-2,0-0,2-0,3-0,1-0,0-0,2-0,2-1,0-0,2-1,3-2,2-0,0-0,1-1
det,Opp_Net Pass Yards,200,324,200,273,198,244,61,273,192,449,172,211,280,473,323,400,216,320
det,Opp_Penalties-Yards,6-56,4-71,4-30,12-101,4-30,8-59,3-29,10-67,4-30,4-46,10-75,6-79,7-56,5-41,10-70,5-30,8-49,5-30
det,Opp_Rush-Yds-TDs,31-163-2,27-139-1,18-77-0,28-116-3,17-53-0,21-139-1,24-164-2,23-138-1,28-56-1,43-196-3,21-96-0,33-194-0,34-111-1,15-48-1,17-59-0,18-75-2,31-178-3,23-201-3
det,Opp_Sacked-Yards,2-17,0-0,1-7,3-26,4-26,4-15,4-33,0-0,4-40,0-0,0-0,2-10,1-3,3-21,2-11,2-12,2-15,2-16
det,Opp_Third Down Conv.,6-13,7-17,1-9,3-6,3-13,4-10,3-9,3-12,6-15,6-10,3-12,5-14,7-15,6-13,2-10,5-8,5-12,3-9
det,Opp_Time of Possession,29:45,33:53,23:11,25:56,25:17,30:57,24:23,28:49,32:28,39:06,22:59,35:14,36:06,27:18,28:31,25:08,36:12,26:01
det,Opp_Total Yards,363,463,277,389,251,383,225,411,248,645,268,405,391,521,382,475,394,521
det,Opp_Turnovers,1,2,1,0,5,1,0,1,2,0,0,1,1,1,2,2,2,5
det,Penalties-Yards,6-50,4-35,9-79,8-70,8-63,8-49,8-60,5-51,4-61,6-40,5-45,8-78,7-59,6-49,7-55,6-57,6-30,4-25
det,Rush-Yds-TDs,23-83-1,23-70-1,43-187-1,19-133-3,36-184-2,27-144-2,32-158-1,32-124-1,32-105-1,17-41-0,33-137-3,15-78-0,24-99-3,34-197-4,32-146-1,33-152-2,19-120-0,42-182-3
det,Sacked-Yards,2-13,5-39,2-13,3-12,3-26,4-33,1-8,1-8,0-0,1-9,3-16,5-33,1-7,0-0,1-7,2-16,2-24,0-0
det,Third Down Conv.,5-12,2-10,6-12,5-10,4-10,4-10,3-11,4-12,7-12,2-10,9-15,7-15,1-5,5-10,7-12,9-14,3-13,4-12
det,Time of Possession,34:56,26:07,36:49,34:04,34:43,29:03,35:37,31:11,27:32,20:54,37:01,24:46,23:54,32:42,31:29,34:52,23:48,33:59
det,Total Yards,387,216,373,516,492,391,416,261,345,170,390,301,298,559,475,439,262,481
det,Turnovers,1,1,1,2,0,1,4,0,5,1,0,0,1,0,0,0,0,0
det,det Score,20,20,20,29,47,31,14,24,26,6,24,20,31,48,34,40,9,45
