,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
GNB,Cmp-Att-Yd-TD-INT,24-37-341-3-1,30-42-281-1-0,27-45-265-2-0,22-40-298-1-1,32-52-442-3-0,25-46-425-2-0,18-30-286-1-0,24-43-259-2-0,19-28-199-2-0,21-30-332-2-0,17-28-198-1-0,31-50-233-1-0,21-32-196-2-0,25-42-274-0-1,37-55-442-2-0,19-40-158-0-1
GNB,First Downs,16,24,19,22,30,26,16,22,21,14,14,22,23,19,35,9
GNB,Fourth Down Conv.,0-1,0-0,0-2,0-1,2-2,1-2,0-0,0-1,1-2,0-0,0-1,2-2,0-0,1-1,2-2,1-3
GNB,Fumbles-Lost,2-1,2-0,2-1,3-1,3-3,0-0,1-1,2-1,1-1,0-0,1-1,0-0,2-0,1-0,2-1,0-0
GNB,GNB Score,24,29,17,22,23,33,27,17,31,24,17,17,34,17,44,0
GNB,HomeTeam,True,True,False,True,False,True,False,False,True,False,False,True,True,False,False,True
GNB,Net Pass Yards,301,253,240,282,423,405,253,250,182,311,172,227,162,235,413,129
GNB,Opp Score,23,29,31,0,31,30,29,31,12,27,24,20,20,24,38,31
GNB,Opp_Cmp-Att-Yd-TD-INT,23-35-171-0-0,35-48-425-4-1,12-20-220-2-1,16-33-151-0-2,14-26-183-2-0,16-23-245-2-1,20-36-307-3-0,23-36-331-1-0,23-37-213-0-1,21-31-225-2-0,29-38-342-3-0,11-26-149-0-0,28-42-262-3-1,20-28-235-2-0,24-35-341-3-0,21-33-274-3-0
GNB,Opp_First Downs,18,24,20,11,18,18,23,28,19,23,22,18,22,19,23,25
GNB,Opp_Fourth Down Conv.,0-2,0-0,0-0,0-0,0-0,0-0,1-1,0-1,3-4,2-2,0-1,0-0,3-3,0-1,2-2,1-1
GNB,Opp_Fumbles-Lost,2-1,0-0,0-0,1-1,0-0,2-2,0-0,0-0,1-1,2-1,0-0,3-0,3-1,3-1,1-0,0-0
GNB,Opp_Net Pass Yards,155,412,220,87,170,227,281,310,163,205,325,133,237,232,323,272
GNB,Opp_Penalties-Yards,5-35,8-70,6-66,3-20,8-71,2-10,2-15,5-30,3-10,6-30,6-55,7-49,13-101,4-24,16-172,3-34
GNB,Opp_Rush-Yds-TDs,27-139-1,18-68-0,35-166-2,16-58-0,28-94-2,30-174-1,34-135-0,31-123-3,23-131-0,35-173-1,29-91-0,29-182-2,24-107-0,29-100-1,20-47-1,38-130-1
GNB,Opp_Sacked-Yards,4-16,2-13,0-0,7-64,3-13,2-18,5-26,2-21,6-50,3-20,2-17,2-16,2-25,1-3,2-18,1-2
GNB,Opp_Third Down Conv.,7-17,7-14,5-11,3-16,5-13,2-9,8-18,4-11,4-14,6-15,7-14,5-13,3-12,3-10,3-11,7-14
GNB,Opp_Time of Possession,33:22,31:52,29:05,25:23,26:40,28:52,34:10,27:26,32:08,34:18,34:37,27:34,30:49,30:23,29:18,36:54
GNB,Opp_Total Yards,294,480,386,145,264,401,416,433,294,378,416,315,344,332,370,402
GNB,Opp_Turnovers,1,1,1,3,0,3,0,0,2,1,0,0,2,1,0,0
GNB,Penalties-Yards,8-72,7-54,11-115,5-60,12-112,6-54,2-10,7-63,6-45,5-80,4-20,7-43,6-37,7-48,10-86,5-38
GNB,Rush-Yds-TDs,18-69-0,24-98-0,17-100-0,32-141-1,20-98-0,21-116-1,19-106-2,25-117-0,25-195-2,13-48-1,19-82-1,23-98-1,25-138-1,19-88-1,20-127-3,13-46-0
GNB,Sacked-Yards,4-40,4-28,4-25,2-16,4-19,3-20,3-33,1-9,2-17,5-21,4-26,1-6,4-34,5-39,4-29,3-29
GNB,Third Down Conv.,5-13,4-13,6-14,11-19,3-10,4-13,2-9,6-13,4-10,3-11,2-10,3-14,7-13,5-14,5-12,5-16
GNB,Time of Possession,26:38,38:08,30:55,34:37,33:20,31:08,25:50,32:34,27:52,25:42,25:23,32:26,29:11,29:37,34:19,23:06
GNB,Total Yards,370,351,340,423,521,521,359,367,377,359,254,325,300,323,540,175
GNB,Turnovers,2,0,1,2,3,0,1,1,1,0,1,0,0,1,1,1
