,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
GNB,Cmp-Att-Yd-TD-INT,20-35-201-0-2,22-27-255-4-0,23-33-261-2-0,20-36-248-2-0,27-39-344-2-1,17-23-195-2-0,27-35-274-3-0,22-37-184-2-0,19-34-190-1-1,23-37-292-0-1,23-33-385-4-0,28-45-307-2-0,29-37-341-4-0,23-31-268-3-0,24-34-202-3-0,31-42-307-2-0,24-35-272-3-2,20-29-225-0-0
GNB,First Downs,14,25,21,23,21,22,19,24,19,22,21,21,27,26,19,29,22,14
GNB,Fourth Down Conv.,2-3,0-0,0-1,0-1,0-0,1-1,1-1,2-4,2-3,0-1,0-0,2-2,1-1,0-0,1-1,0-1,1-2,0-0
GNB,Fumbles-Lost,1-1,0-0,1-0,1-1,0-0,0-0,2-1,2-0,3-1,1-0,1-0,3-1,1-0,0-0,0-0,0-0,2-1,2-1
GNB,GNB Score,3,35,30,27,25,24,24,24,7,17,31,36,45,31,24,37,30,10
GNB,HomeTeam,False,True,False,True,False,False,True,False,False,True,False,True,True,False,True,True,False,True
GNB,Net Pass Yards,186,227,253,236,333,169,247,184,179,287,372,307,320,250,202,307,256,196
GNB,Opp Score,38,17,28,17,22,14,10,21,13,0,34,28,30,30,22,10,37,13
GNB,Opp_Cmp-Att-Yd-TD-INT,15-21-151-5-0,26-36-246-2-1,25-40-257-2-1,26-40-232-1-1,26-38-281-2-2,16-27-174-1-1,25-37-268-1-1,22-33-274-0-2,20-37-166-1-0,20-40-161-0-2,24-35-341-3-0,21-39-302-3-1,18-33-224-2-2,28-40-215-2-0,21-36-222-2-4,24-39-194-1-0,22-32-313-3-0,11-19-131-0-1
GNB,Opp_First Downs,22,19,26,17,18,21,25,22,14,15,25,15,16,24,28,11,19,12
GNB,Opp_Fourth Down Conv.,2-2,0-2,0-0,0-2,2-2,1-2,1-4,2-2,1-2,0-1,0-0,0-1,0-1,2-4,1-1,1-4,2-3,0-1
GNB,Opp_Fumbles-Lost,0-0,2-1,2-1,1-1,0-0,1-0,4-1,2-1,1-0,0-0,2-0,2-2,2-1,0-0,0-0,0-0,0-0,0-0
GNB,Opp_Net Pass Yards,151,236,231,220,264,137,235,260,160,133,318,285,210,211,189,179,305,106
GNB,Opp_Penalties-Yards,6-36,9-78,4-86,5-34,2-21,7-54,4-50,7-59,6-33,5-39,3-25,4-30,7-41,8-56,6-38,3-23,2-15,5-40
GNB,Opp_Rush-Yds-TDs,39-171-0,19-108-0,21-67-2,16-62-1,24-103-1,26-140-1,29-195-0,20-74-3,25-77-0,16-75-0,29-90-1,20-68-0,23-137-0,26-143-2,25-219-1,11-27-0,26-99-1,29-106-0
GNB,Opp_Sacked-Yards,0-0,1-10,4-26,2-12,3-17,4-37,4-33,2-14,1-6,3-28,2-23,2-17,2-14,1-4,5-33,2-15,1-8,4-25
GNB,Opp_Third Down Conv.,5-10,4-9,7-11,4-11,5-14,4-11,4-11,4-10,5-14,7-15,9-13,4-13,5-13,7-13,7-12,2-12,4-11,4-11
GNB,Opp_Time of Possession,34:36,26:35,29:52,25:19,34:06,27:43,32:54,22:25,28:27,20:51,31:01,20:20,25:00,28:50,31:41,21:27,26:21,29:24
GNB,Opp_Total Yards,322,344,298,282,367,277,430,334,237,208,408,353,347,354,408,206,404,212
GNB,Opp_Turnovers,0,2,2,2,2,1,2,3,0,2,0,3,3,0,4,0,0,1
GNB,Penalties-Yards,5-33,5-50,7-87,3-25,2-10,3-51,4-36,7-60,4-19,3-43,8-92,3-32,3-30,8-76,3-29,1-5,0-0,5-25
GNB,Rush-Yds-TDs,15-43-0,31-96-1,25-100-1,33-131-1,22-133-0,31-154-1,15-57-0,34-151-1,25-122-0,32-106-2,19-95-0,32-92-1,24-119-1,25-96-1,24-109-0,32-174-2,27-122-1,20-67-1
GNB,Sacked-Yards,2-15,3-28,1-8,3-12,2-11,3-26,3-27,1-0,1-11,1-5,2-13,1-0,3-21,3-18,0-0,0-0,4-16,5-29
GNB,Third Down Conv.,1-10,5-9,5-11,9-15,4-11,2-8,6-12,6-14,2-12,7-14,7-11,7-19,4-10,5-9,3-10,7-13,8-14,5-12
GNB,Time of Possession,25:24,33:25,30:08,34:41,33:59,32:17,27:06,37:35,31:33,39:09,28:59,39:40,35:00,31:10,28:19,38:33,33:39,30:36
GNB,Total Yards,229,323,353,367,466,323,304,335,301,393,467,399,439,346,311,481,378,263
GNB,Turnovers,3,0,0,1,1,0,1,0,2,1,0,1,0,0,0,0,3,1
