,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
GNB,Cmp-Att-Yd-TD-INT,26-39-260-0-1,19-25-234-2-0,27-35-255-2-1,21-35-251-2-1,25-39-222-2-0,28-45-254-1-0,23-35-194-2-0,19-30-203-2-1,23-43-291-1-3,14-20-224-3-0,24-39-227-2-0,17-25-253-3-2,18-31-182-1-0,22-30-229-1-1,24-38-238-1-1,17-27-168-1-0,17-27-205-1-1
GNB,First Downs,21,26,14,24,22,15,16,21,19,20,15,19,21,27,17,20,17
GNB,Fourth Down Conv.,0-2,0-0,0-0,1-1,0-1,1-4,0-1,0-2,1-4,1-1,0-2,1-1,1-2,2-2,3-5,0-1,1-2
GNB,Fumbles-Lost,1-1,3-1,2-1,2-1,2-0,2-1,3-1,0-0,2-0,3-2,1-0,0-0,0-0,2-1,1-0,0-0,1-1
GNB,GNB Score,7,27,14,27,22,10,21,17,9,31,17,33,28,24,26,41,16
GNB,HomeTeam,False,True,False,True,True,True,False,False,False,True,True,False,False,True,False,True,True
GNB,Net Pass Yards,227,211,248,244,207,218,194,190,283,208,215,236,182,207,222,152,188
GNB,Opp Score,23,10,12,24,27,27,23,27,15,28,27,40,19,12,20,17,20
GNB,Opp_Cmp-Att-Yd-TD-INT,23-32-277-2-0,7-11-70-0-1,31-42-271-1-0,15-21-136-1-0,21-27-217-0-0,10-18-110-0-0,20-33-201-2-1,13-25-218-2-2,14-26-137-2-1,27-46-265-3-2,24-29-337-3-1,16-28-153-2-0,20-25-254-0-2,12-21-111-1-1,16-25-310-1-3,22-35-262-2-3,23-34-224-0-0
GNB,Opp_First Downs,19,11,19,17,24,14,22,20,19,24,21,29,15,13,15,18,21
GNB,Opp_Fourth Down Conv.,1-1,0-1,1-1,0-0,0-1,0-0,0-0,0-0,0-2,2-3,1-2,2-3,0-0,0-0,1-1,1-2,2-2
GNB,Opp_Fumbles-Lost,0-0,1-0,3-2,1-1,1-0,0-0,0-0,1-0,0-0,1-0,0-0,2-1,1-1,1-0,3-1,3-1,1-0
GNB,Opp_Net Pass Yards,269,48,251,104,213,99,198,216,137,262,320,137,254,84,294,244,219
GNB,Opp_Penalties-Yards,3-20,7-50,6-40,7-75,6-63,7-79,7-54,4-35,7-62,9-83,2-19,3-25,5-63,8-76,8-62,6-35,5-75
GNB,Opp_Rush-Yds-TDs,28-126-0,27-180-1,14-34-0,33-167-1,31-125-3,33-179-2,38-166-0,27-153-1,31-117-0,31-159-1,32-88-1,49-363-3,25-155-2,17-72-0,18-82-1,20-102-0,25-104-2
GNB,Opp_Sacked-Yards,1-8,3-22,3-20,4-32,1-4,2-11,1-3,2-2,0-0,2-3,3-17,2-16,0-0,5-27,2-16,2-18,1-5
GNB,Opp_Third Down Conv.,4-13,1-7,2-11,3-11,6-11,1-11,7-16,2-7,6-11,5-15,7-13,8-15,6-11,4-11,2-7,5-12,4-12
GNB,Opp_Time of Possession,31:23,22:45,26:35,33:11,32:11,28:48,37:07,26:12,25:18,30:59,32:28,35:34,27:32,22:41,28:00,25:56,27:45
GNB,Opp_Total Yards,395,228,285,271,338,278,364,369,254,421,408,500,409,156,376,346,323
GNB,Opp_Turnovers,0,1,2,1,0,0,1,2,1,2,1,1,3,1,4,4,0
GNB,Penalties-Yards,2-10,3-25,8-65,4-40,7-37,7-42,9-69,8-58,8-81,6-40,5-40,4-35,2-20,4-80,5-40,3-30,4-35
GNB,Rush-Yds-TDs,18-111-1,38-203-1,25-67-0,35-199-1,20-94-0,20-60-0,12-38-0,31-208-0,25-106-0,39-207-1,19-56-0,21-106-1,32-175-2,35-138-2,25-79-1,33-163-2,28-103-0
GNB,Sacked-Yards,4-33,3-23,1-7,1-7,2-15,4-36,0-0,2-13,1-8,2-16,1-12,3-17,0-0,3-22,2-16,1-16,2-17
GNB,Third Down Conv.,3-9,5-9,6-15,6-14,4-10,4-16,0-6,6-12,8-15,6-13,7-14,1-7,6-13,4-9,2-14,7-12,4-12
GNB,Time of Possession,28:37,37:15,33:25,36:49,27:49,31:12,22:53,33:48,34:42,35:55,27:32,24:26,32:28,37:19,32:00,34:04,32:15
GNB,Total Yards,338,414,315,443,301,278,232,398,389,415,271,342,357,345,301,315,291
GNB,Turnovers,2,1,2,2,0,1,1,1,3,2,0,2,0,2,1,0,2
