,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
GNB,Cmp-Att-Yd-TD-INT,15-27-245-3-0,14-25-151-3-0,22-44-259-1-1,23-36-246-1-2,16-30-182-0-3,22-32-194-2-1,24-41-229-1-1,20-26-228-1-0,21-40-289-2-2,27-40-322-2-0,22-32-268-3-0,25-36-267-3-0,25-39-218-1-1,29-39-284-2-0,17-28-219-2-0,25-34-293-3-0,27-32-316-2-0,16-21-272-3-0,21-34-194-2-2
GNB,First Downs,15,17,21,15,18,20,16,21,17,23,17,24,19,18,25,28,24,22,20
GNB,Fourth Down Conv.,1-2,0-1,1-3,1-1,1-1,2-2,1-4,1-1,2-2,0-1,0-1,1-1,1-1,0-2,0-0,0-1,0-0,1-1,0-1
GNB,Fumbles-Lost,2-0,0-0,1-0,2-0,0-0,0-0,2-0,3-2,2-0,3-0,0-0,0-0,3-2,2-1,1-0,1-1,1-1,0-0,2-0
GNB,GNB Score,38,24,18,20,13,17,10,20,19,23,29,27,22,20,33,33,17,48,21
GNB,HomeTeam,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False
GNB,Net Pass Yards,237,140,245,203,175,194,196,207,283,295,268,253,203,261,207,293,308,272,194
GNB,Opp Score,20,25,17,34,17,19,24,3,23,20,22,19,24,34,30,10,9,32,24
GNB,Opp_Cmp-Att-Yd-TD-INT,24-37-216-1-1,19-32-237-1-1,23-34-204-1-0,19-28-210-1-1,22-31-208-1-1,20-29-194-1-0,26-35-297-2-0,13-28-130-0-1,14-23-126-0-0,21-36-260-2-0,29-44-332-2-0,21-33-210-1-1,17-21-158-1-0,22-28-381-4-0,23-36-312-2-0,18-32-180-1-1,11-16-148-0-0,41-60-403-3-2,23-39-252-1-0
GNB,Opp_First Downs,22,27,15,25,19,18,24,10,21,17,25,25,18,22,26,13,13,37,19
GNB,Opp_Fourth Down Conv.,1-2,3-4,1-1,2-2,1-1,0-1,1-1,0-2,1-1,0-2,1-5,0-1,0-1,1-1,1-2,0-2,1-1,0-2,0-0
GNB,Opp_Fumbles-Lost,1-1,0-0,0-0,0-0,0-0,0-0,1-1,2-1,0-0,2-1,3-3,0-0,2-2,1-1,2-0,1-1,0-0,0-0,0-0
GNB,Opp_Net Pass Yards,189,235,175,190,183,194,284,119,119,244,324,189,158,353,298,144,117,387,245
GNB,Opp_Penalties-Yards,7-61,6-110,7-102,8-70,4-28,8-60,7-35,5-36,3-27,4-54,7-51,5-50,5-47,4-52,8-87,6-27,1-10,6-48,6-83
GNB,Opp_Rush-Yds-TDs,29-122-1,45-211-1,22-77-0,43-211-3,29-96-1,25-145-0,31-62-1,26-68-0,36-205-2,24-150-0,31-140-1,25-148-1,34-209-2,27-99-0,25-96-2,16-67-0,25-75-0,25-123-1,24-111-2
GNB,Opp_Sacked-Yards,4-27,1-2,4-29,2-20,4-25,1-0,3-13,1-11,1-7,2-16,3-8,3-21,0-0,5-28,2-14,4-36,5-31,4-16,1-7
GNB,Opp_Third Down Conv.,3-13,6-15,4-14,7-17,5-13,5-12,10-18,5-14,4-13,7-14,7-15,7-11,3-10,7-11,6-13,3-10,3-11,10-16,10-16
GNB,Opp_Time of Possession,30:43,36:15,27:25,37:58,32:34,28:23,36:22,24:44,30:33,28:02,31:56,29:28,28:54,29:07,31:21,22:28,28:36,31:05,29:41
GNB,Opp_Total Yards,311,446,252,401,279,339,346,187,324,394,464,337,367,452,394,211,192,510,356
GNB,Opp_Turnovers,2,1,0,1,1,0,1,2,0,1,3,1,2,1,0,2,0,2,0
GNB,Penalties-Yards,9-90,7-40,11-90,4-31,3-18,7-56,11-99,8-57,5-32,7-46,7-60,7-63,4-39,4-31,6-67,4-32,1-5,7-66,1-5
GNB,Rush-Yds-TDs,32-92-1,21-84-0,26-95-1,12-27-1,25-110-1,29-137-0,17-74-0,38-184-1,24-116-0,28-102-1,22-109-0,25-129-0,25-123-1,17-60-0,34-162-2,39-177-1,27-124-0,33-143-3,28-136-0
GNB,Sacked-Yards,1-8,1-11,1-14,5-43,2-7,0-0,4-33,4-21,1-6,3-27,0-0,2-14,2-15,2-23,1-12,0-0,1-8,0-0,0-0
GNB,Third Down Conv.,9-16,3-9,8-18,3-11,4-12,6-14,5-14,7-14,8-16,7-14,5-11,5-10,5-14,6-12,8-14,9-14,7-10,6-10,7-13
GNB,Time of Possession,29:17,23:45,32:35,22:02,27:26,31:37,23:38,35:16,29:27,31:58,28:04,30:32,31:06,30:53,28:39,37:32,31:24,28:55,30:19
GNB,Total Yards,329,224,340,230,285,331,270,391,399,397,377,382,326,321,369,470,432,415,330
GNB,Turnovers,0,0,1,2,3,1,1,2,2,0,0,0,3,1,0,1,1,0,2
