,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
gnb,Cmp-Att-Yd-TD-INT,14-27-158-0-0,33-50-343-2-1,21-27-212-2-0,21-33-218-1-2,19-29-221-3-0,20-37-175-1-3,27-38-331-1-2,26-33-361-2-0,18-25-212-1-0,22-28-183-1-1,17-26-245-3-0,21-32-270-2-0,35-46-265-3-0,26-45-290-3-3,14-25-139-1-0,20-32-193-1-2
gnb,First Downs,12,24,21,20,25,14,25,24,18,14,15,25,24,24,15,17
gnb,Fourth Down Conv.,0-0,3-3,0-0,2-2,1-1,2-3,1-1,0-0,1-1,1-1,1-1,0-0,2-3,2-3,0-0,1-2
gnb,Fumbles-Lost,1-1,1-1,1-1,2-2,1-1,2-0,1-0,2-1,0-0,1-0,0-0,3-1,0-0,1-1,0-0,2-2
gnb,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gnb,Net Pass Yards,135,308,191,205,182,155,324,353,182,161,227,230,256,264,124,153
gnb,Opp Score,17,34,27,35,31,23,17,17,16,0,31,26,21,31,0,35
gnb,Opp_Cmp-Att-Yd-TD-INT,28-42-311-1-1,19-28-252-1-0,28-42-313-3-1,19-27-179-4-0,25-36-251-3-1,24-38-239-1-1,12-25-87-0-1,26-38-245-0-0,21-35-297-1-0,21-36-239-0-3,33-45-351-4-2,13-22-84-0-1,20-28-214-3-2,20-31-242-4-0,17-40-130-0-2,20-29-323-3-0
gnb,Opp_First Downs,26,19,22,17,26,24,16,21,14,16,28,16,17,29,12,18
gnb,Opp_Fourth Down Conv.,0-0,0-0,0-0,1-1,3-3,0-1,0-0,0-2,0-1,1-4,1-1,0-0,0-0,0-0,0-4,0-0
gnb,Opp_Fumbles-Lost,1-0,0-0,0-0,0-0,3-2,2-1,2-0,0-0,1-1,4-2,1-1,0-0,1-0,0-0,0-0,1-0
gnb,Opp_Net Pass Yards,286,223,280,169,245,239,79,233,268,190,341,77,209,236,126,305
gnb,Opp_Penalties-Yards,8-70,6-34,4-33,7-55,7-70,7-65,8-54,2-20,8-78,5-53,5-45,7-47,6-45,5-40,6-79,5-62
gnb,Opp_Rush-Yds-TDs,28-84-1,27-141-2,17-64-0,24-91-1,35-163-1,32-112-1,24-181-2,17-78-2,17-55-0,25-75-0,24-121-0,29-199-2,27-136-0,38-151-0,24-113-0,23-51-1
gnb,Opp_Sacked-Yards,4-25,3-29,6-33,2-10,1-6,0-0,1-8,3-12,5-29,6-49,1-10,2-7,2-5,1-6,1-4,2-18
gnb,Opp_Third Down Conv.,9-16,5-11,7-15,7-14,7-12,4-12,4-11,2-9,4-14,4-13,8-13,5-12,7-13,6-12,4-15,4-12
gnb,Opp_Time of Possession,39:13,28:37,29:21,28:09,35:06,32:09,23:04,23:05,26:07,29:57,33:36,26:44,28:38,33:57,28:23,28:13
gnb,Opp_Total Yards,370,364,344,260,408,351,260,311,323,265,462,276,345,387,239,356
gnb,Opp_Turnovers,1,0,1,0,3,2,1,0,1,5,3,1,2,0,2,0
gnb,Penalties-Yards,8-50,10-70,7-68,8-62,6-38,8-92,7-80,2-19,5-35,3-30,3-27,8-74,3-20,6-28,2-10,8-68
gnb,Rush-Yds-TDs,18-90-0,15-59-1,30-110-0,30-103-1,25-160-1,24-72-0,36-161-2,33-64-1,37-160-1,26-58-1,24-80-1,35-165-0,27-85-1,19-120-0,33-112-0,27-103-0
gnb,Sacked-Yards,3-23,3-35,3-21,1-13,4-39,4-20,1-7,1-8,3-30,3-22,4-18,7-40,1-9,3-26,3-15,4-40
gnb,Third Down Conv.,3-12,5-12,4-12,5-12,3-7,4-17,8-15,8-13,7-16,3-14,6-13,9-16,8-16,4-11,4-15,4-14
gnb,Time of Possession,20:47,31:23,34:17,31:51,24:54,27:51,36:56,36:55,33:53,30:03,26:24,37:17,36:17,26:03,31:37,31:47
gnb,Total Yards,225,367,301,308,342,227,485,417,342,219,307,395,341,384,236,256
gnb,Turnovers,1,2,1,4,1,3,2,1,0,1,0,1,0,4,0,4
gnb,gnb Score,9,23,24,14,35,10,26,30,23,23,28,20,27,24,16,11
