,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
gnb,Cmp-Att-Yd-TD-INT,17-35-260-2-1,17-34-204-1-3,13-19-202-1-0,20-28-275-3-1,15-26-224-2-1,22-32-214-1-0,10-21-86-0-0,18-27-252-1-1,18-22-145-1-0,13-17-261-1-1,17-29-199-1-1,37-46-365-2-0,12-20-206-1-0,20-27-229-2-0,15-30-153-0-1,19-30-185-1-0,21-30-148-1-1,20-33-212-0-3
gnb,First Downs,19,19,16,22,19,16,15,22,17,19,11,21,17,21,14,17,16,17
gnb,Fourth Down Conv.,1-1,1-2,0-0,0-1,0-0,0-0,0-0,0-0,2-2,0-1,0-2,3-5,0-0,0-1,0-2,0-1,1-1,1-2
gnb,Fumbles-Lost,1-0,3-0,0-0,2-2,1-0,3-3,0-0,0-0,0-0,0-0,5-2,2-1,1-1,2-1,2-1,2-1,2-1,3-1
gnb,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gnb,Net Pass Yards,251,198,190,254,202,214,55,252,137,260,197,336,199,229,129,167,141,195
gnb,Opp Score,34,16,14,29,19,34,24,27,14,19,38,30,34,13,34,27,22,22
gnb,Opp_Cmp-Att-Yd-TD-INT,20-34-278-2-2,12-14-122-1-0,26-34-260-2-2,32-54-389-4-3,29-45-260-1-1,22-32-258-4-1,24-33-220-3-2,21-32-308-2-1,23-39-273-0-1,23-31-231-0-0,13-23-163-2-0,21-28-274-2-0,32-41-283-3-1,20-33-173-0-2,17-30-216-1-0,33-43-377-3-1,17-25-205-0-0,13-21-131-2-0
gnb,Opp_First Downs,25,19,18,24,24,27,18,19,20,23,22,19,27,14,24,26,20,16
gnb,Opp_Fourth Down Conv.,1-1,0-0,0-1,0-2,2-4,1-1,0-0,1-1,2-3,3-3,1-2,0-0,4-5,0-0,3-3,0-0,0-1,1-1
gnb,Opp_Fumbles-Lost,2-1,2-1,1-1,1-1,1-1,0-0,1-1,2-1,3-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,4-2,0-0
gnb,Opp_Net Pass Yards,266,122,204,379,236,258,195,299,273,212,156,274,280,128,216,372,184,121
gnb,Opp_Penalties-Yards,7-57,6-50,2-15,8-68,5-30,5-40,8-55,8-59,10-67,7-50,5-40,7-44,7-56,5-108,6-60,7-47,5-45,7-64
gnb,Opp_Rush-Yds-TDs,38-144-2,53-261-0,11-33-0,19-86-0,28-134-1,38-179-0,20-82-0,23-91-1,23-138-1,34-179-2,42-169-3,25-114-1,34-111-1,16-80-1,39-188-3,26-69-0,33-183-2,34-169-0
gnb,Opp_Sacked-Yards,2-12,0-0,8-56,1-10,3-24,0-0,3-25,1-9,0-0,3-19,2-7,0-0,1-3,7-45,0-0,1-5,3-21,2-10
gnb,Opp_Third Down Conv.,4-14,10-17,3-9,4-12,8-16,7-12,4-10,1-9,3-12,9-16,6-13,5-11,7-15,4-13,6-13,6-12,3-10,2-11
gnb,Opp_Time of Possession,32:47,40:11,27:32,27:45,32:41,36:35,28:43,25:51,28:49,36:21,36:43,26:56,36:06,27:02,37:13,35:30,30:56,30:33
gnb,Opp_Total Yards,410,383,237,465,370,437,277,390,411,391,325,388,391,208,404,441,367,290
gnb,Opp_Turnovers,3,1,3,4,2,1,3,2,1,0,0,0,1,2,0,1,2,0
gnb,Penalties-Yards,10-71,3-20,10-75,7-55,7-39,13-100,5-55,3-20,5-51,3-25,9-77,10-75,7-59,5-27,7-40,7-51,7-45,8-85
gnb,Rush-Yds-TDs,21-163-1,18-140-0,37-188-1,34-120-1,30-126-1,23-89-0,33-142-2,39-170-2,32-124-1,25-106-2,16-44-0,14-39-0,24-99-3,34-140-1,20-67-0,24-104-2,26-83-1,25-107-1
gnb,Sacked-Yards,2-9,1-6,3-12,2-21,2-22,0-0,4-31,1-0,1-8,1-1,2-2,5-29,1-7,0-0,3-24,3-18,1-7,2-17
gnb,Third Down Conv.,3-11,2-9,5-14,4-11,1-8,4-10,4-13,3-11,4-12,1-5,3-10,4-14,1-5,5-12,4-11,8-14,7-14,7-13
gnb,Time of Possession,27:13,19:49,32:28,32:15,27:19,23:25,31:17,34:09,31:11,23:39,23:17,33:04,23:54,32:58,22:47,24:30,29:04,29:27
gnb,Total Yards,414,338,378,374,328,303,197,422,261,366,241,375,298,369,196,271,224,302
gnb,Turnovers,1,3,0,3,1,3,0,1,0,1,3,1,1,1,2,1,2,4
gnb,gnb Score,29,10,30,31,24,13,22,30,24,20,10,17,31,30,0,25,24,10
