,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
Car,Car Score,8,24,21,31,17,21,21,28,21,19,30,17,20,12,24,33
Car,Cmp-Att-Yd-TD-INT,19-29-170-0-0,32-45-335-3-1,29-46-352-2-4,23-37-383-3-2,27-40-275-2-1,25-39-269-2-0,26-44-238-2-2,24-41-243-4-2,23-29-193-2-1,25-38-357-3-1,22-31-339-2-0,28-42-300-2-4,27-43-298-0-1,23-35-203-0-1,15-26-239-3-0,18-30-268-2-0
Car,First Downs,17,27,25,18,22,19,20,23,18,20,21,27,22,21,16,25
Car,Fourth Down Conv.,0-1,1-1,0-0,1-2,0-1,1-1,1-2,1-2,1-1,0-0,2-2,0-1,2-3,1-1,0-0,1-2
Car,Fumbles-Lost,1-1,0-0,0-0,2-1,3-2,0-0,1-1,1-0,2-1,0-0,1-0,1-0,0-0,1-1,2-2,0-0
Car,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Car,Net Pass Yards,138,318,330,382,269,250,224,219,147,331,322,276,297,191,233,263
Car,Opp Score,16,31,31,33,23,17,36,42,52,20,27,24,26,9,10,14
Car,Opp_Cmp-Att-Yd-TD-INT,17-26-161-0-0,23-28-272-2-1,15-24-150-2-0,21-35-237-2-2,21-36-163-2-0,30-37-310-2-0,22-30-232-2-0,19-25-247-2-0,23-27-325-5-0,23-37-220-1-0,25-30-256-2-1,20-30-249-2-0,18-23-238-1-0,17-30-181-1-1,37-57-312-1-3,14-22-118-1-1
Car,Opp_First Downs,20,23,23,21,18,21,22,22,25,20,26,18,12,13,29,17
Car,Opp_Fourth Down Conv.,0-0,0-0,0-1,1-1,1-2,3-4,1-1,0-1,0-0,0-0,0-1,0-0,0-0,1-2,0-2,0-1
Car,Opp_Fumbles-Lost,2-1,3-0,1-0,1-0,1-0,3-1,1-0,1-0,1-0,0-0,5-0,2-1,3-2,1-1,2-1,0-0
Car,Opp_Net Pass Yards,146,272,147,232,156,284,232,228,319,215,256,220,232,149,295,110
Car,Opp_Penalties-Yards,9-80,2-26,3-17,4-22,5-43,4-35,4-30,9-84,1-24,1-5,3-30,9-69,7-52,4-48,10-86,6-94
Car,Opp_Rush-Yds-TDs,32-147-2,32-170-2,41-230-2,31-118-0,28-132-0,24-58-0,33-154-2,32-179-4,30-138-1,26-94-1,27-220-1,25-95-1,21-116-2,23-98-0,25-141-0,27-184-1
Car,Opp_Sacked-Yards,3-15,0-0,1-3,1-5,3-7,4-26,0-0,2-19,1-6,1-5,0-0,4-29,1-6,4-32,2-17,2-8
Car,Opp_Third Down Conv.,4-12,6-11,6-13,4-13,7-16,3-12,6-12,4-10,8-11,4-12,3-8,6-13,4-9,7-15,7-14,4-10
Car,Opp_Time of Possession,30:36,29:42,33:55,35:27,35:24,35:17,34:01,31:00,30:35,31:40,29:34,29:54,26:10,24:51,37:29,26:34
Car,Opp_Total Yards,293,442,377,350,288,342,386,407,457,309,476,315,348,247,436,294
Car,Opp_Turnovers,1,1,0,2,0,1,0,0,0,0,1,1,2,2,4,1
Car,Penalties-Yards,10-85,7-49,4-36,8-62,8-55,5-78,9-68,8-49,5-42,2-15,4-36,7-104,10-68,9-80,4-41,2-10
Car,Rush-Yds-TDs,22-94-1,18-121-0,13-66-1,16-50-0,18-81-0,17-121-1,18-101-1,21-82-0,22-95-1,16-56-0,28-75-1,19-168-0,25-96-2,32-155-1,21-194-0,37-111-2
Car,Sacked-Yards,6-32,2-17,2-22,1-1,1-6,2-19,2-14,3-24,5-46,3-26,2-17,4-24,1-1,2-12,1-6,1-5
Car,Third Down Conv.,2-11,5-11,4-10,0-7,3-9,5-11,6-12,5-12,4-11,5-11,6-14,3-8,5-14,4-13,4-10,6-13
Car,Time of Possession,29:24,30:18,26:05,24:33,24:36,24:43,25:59,29:00,29:25,28:20,30:26,30:06,33:50,35:09,22:31,33:26
Car,Total Yards,232,439,396,432,350,371,325,301,242,387,397,444,393,346,427,374
Car,Turnovers,1,1,4,3,3,0,3,2,2,1,0,4,1,2,2,0
