,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
Car,Car Score,14,7,24,28,21,34,3,19,24,34,27,10,29,14,32,10,17
Car,Cmp-Att-Yd-TD-INT,20-37-258-2-1,11-22-111-0-2,23-34-304-0-0,26-39-301-2-2,22-37-198-0-1,33-48-373-3-0,19-39-145-0-1,13-25-129-0-0,12-18-139-1-1,25-33-175-1-1,16-22-206-3-0,10-31-179-0-3,19-28-190-1-0,18-38-156-1-1,18-31-232-1-0,17-26-132-0-1,29-43-219-2-1
Car,First Downs,16,6,28,24,15,26,11,21,17,24,24,10,20,19,21,16,18
Car,Fourth Down Conv.,1-2,0-2,0-1,3-3,0-1,0-0,2-4,0-0,1-1,0-0,2-2,2-3,2-2,1-5,0-0,0-0,2-6
Car,Fumbles-Lost,1-0,0-0,2-0,0-0,2-1,4-1,0-0,1-1,3-1,2-1,3-1,0-0,1-1,2-0,0-0,1-1,1-1
Car,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Car,Net Pass Yards,207,80,290,266,182,373,117,129,122,175,179,134,190,124,232,90,207
Car,Opp Score,19,26,9,36,18,28,25,13,6,10,21,33,21,31,6,18,41
Car,Opp_Cmp-Att-Yd-TD-INT,24-35-279-1-0,26-38-305-2-1,19-28-168-1-0,14-22-188-4-0,21-37-177-1-3,17-41-207-1-1,24-34-219-1-0,20-27-146-1-2,16-33-172-0-3,17-29-143-0-1,21-27-189-2-0,27-31-230-1-0,21-35-253-1-2,19-34-210-3-1,22-45-251-0-1,17-28-222-1-0,29-39-326-3-0
Car,Opp_First Downs,18,28,14,24,17,20,21,17,13,11,18,22,21,21,16,15,21
Car,Opp_Fourth Down Conv.,0-1,0-0,0-1,1-1,0-0,2-2,0-1,1-1,0-1,0-3,1-3,2-2,1-3,1-1,0-2,0-0,1-1
Car,Opp_Fumbles-Lost,1-1,1-0,2-0,1-0,0-0,2-2,1-0,1-0,2-0,2-1,1-0,4-1,3-1,1-0,1-0,0-0,0-0
Car,Opp_Net Pass Yards,270,294,151,188,158,188,199,131,162,104,186,204,243,193,206,207,324
Car,Opp_Penalties-Yards,6-38,5-49,7-51,7-50,9-69,6-28,8-60,3-15,10-83,4-58,7-65,5-35,6-45,8-67,6-32,5-33,2-10
Car,Opp_Rush-Yds-TDs,27-111-1,33-89-1,17-42-0,34-245-1,30-109-0,23-118-1,31-103-1,20-82-0,23-78-0,20-65-1,21-111-1,39-111-2,26-91-2,27-119-1,15-67-0,28-73-0,20-85-2
Car,Opp_Sacked-Yards,1-9,2-11,4-17,0-0,3-19,4-19,2-20,3-15,1-10,4-39,1-3,2-26,1-10,4-17,7-45,2-15,1-2
Car,Opp_Third Down Conv.,4-14,8-15,1-9,3-9,5-15,2-12,7-16,3-10,3-11,4-13,2-9,6-14,4-11,6-14,7-18,5-13,4-11
Car,Opp_Time of Possession,31:20,38:32,24:15,26:24,35:03,26:34,34:35,24:37,27:31,22:18,24:07,37:34,25:23,28:35,26:36,29:29,24:55
Car,Opp_Total Yards,381,383,193,433,267,306,302,213,240,169,297,315,334,312,273,280,409
Car,Opp_Turnovers,1,1,0,0,3,3,0,2,3,2,0,1,3,1,1,0,0
Car,Penalties-Yards,5-30,11-115,8-64,6-32,6-60,11-98,7-37,8-76,6-35,9-115,8-69,7-61,6-60,5-55,6-50,1-5,1-10
Car,Rush-Yds-TDs,17-45-0,17-48-1,33-117-3,24-113-2,22-91-2,36-198-1,17-56-0,47-203-1,39-151-1,37-166-2,40-190-0,18-64-1,36-128-1,29-151-1,31-159-2,26-88-1,26-110-0
Car,Sacked-Yards,6-51,4-31,3-14,5-35,2-16,0-0,6-28,0-0,2-17,0-0,3-27,5-45,0-0,4-32,0-0,7-42,2-12
Car,Third Down Conv.,4-13,2-11,5-11,4-13,4-13,7-16,2-15,10-17,6-14,7-15,6-13,4-14,7-14,7-17,7-14,6-14,4-14
Car,Time of Possession,28:40,21:28,35:45,33:36,24:57,37:38,25:25,35:23,32:29,37:42,35:53,22:26,34:37,31:25,33:24,30:31,35:05
Car,Total Yards,252,128,407,379,273,571,173,332,273,341,369,198,318,275,391,178,317
Car,Turnovers,1,2,0,2,2,1,1,1,2,2,1,3,1,1,0,2,2
