,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
car,Cmp-Att-Yd-TD-INT,14-25-171-2-1,17-25-125-0-0,22-29-220-3-0,22-29-316-3-1,26-33-355-3-0,16-30-222-3-0,21-34-211-0-2,18-32-154-1-1,24-38-313-2-1,22-37-213-2-1,11-28-168-0-0,17-28-183-2-0,27-44-280-2-2,26-45-290-3-3,21-27-367-1-0,14-34-180-1-3,24-41-349-2-0
car,First Downs,20,10,21,28,16,15,20,14,17,17,17,16,21,24,20,15,24
car,Fourth Down Conv.,0-0,0-2,0-0,0-0,0-0,1-1,0-1,0-0,0-3,0-1,1-1,0-2,0-1,2-3,0-0,1-1,1-2
car,Fumbles-Lost,2-1,2-0,0-0,1-1,1-0,2-1,1-1,1-0,1-0,0-0,1-0,3-1,2-1,1-1,3-3,2-0,1-0
car,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
car,Net Pass Yards,171,107,213,304,334,209,185,154,302,213,154,167,256,264,326,161,306
car,Opp Score,3,9,13,30,24,23,17,3,20,45,27,31,31,31,22,22,31
car,Opp_Cmp-Att-Yd-TD-INT,24-35-193-0-1,20-32-228-0-0,19-33-184-0-3,32-45-307-2-0,23-35-229-2-0,28-52-239-1-3,4-7-107-0-0,21-38-210-0-2,13-24-137-0-0,21-35-254-4-0,19-36-307-3-0,25-34-269-1-0,13-25-137-1-1,20-31-242-4-0,16-26-160-0-1,28-45-317-1-0,23-33-376-2-1
car,Opp_First Downs,13,19,18,24,19,23,5,16,20,30,21,19,15,29,20,20,21
car,Opp_Fourth Down Conv.,1-4,0-0,0-0,2-2,0-1,1-3,0-0,0-1,1-2,0-0,0-0,1-1,0-0,0-0,1-1,0-0,0-1
car,Opp_Fumbles-Lost,1-1,0-0,2-0,0-0,2-1,1-0,0-0,1-1,3-2,0-0,2-1,1-1,0-0,0-0,1-0,1-0,1-0
car,Opp_Net Pass Yards,166,178,156,293,192,225,85,194,129,254,282,252,129,236,140,311,369
car,Opp_Penalties-Yards,10-74,6-40,1-5,7-55,1-10,1-1,5-40,6-55,5-29,6-37,7-68,7-68,6-48,5-40,6-50,7-60,7-96
car,Opp_Rush-Yds-TDs,15-51-0,28-77-0,22-132-1,19-80-1,15-50-1,25-80-1,26-68-0,22-85-0,38-201-2,36-294-2,26-109-0,28-148-3,36-216-3,38-151-0,31-115-1,26-60-0,22-41-2
car,Opp_Sacked-Yards,4-27,6-50,4-28,3-14,6-37,2-14,4-22,3-16,1-8,0-0,3-25,2-17,2-8,1-6,2-20,1-6,1-7
car,Opp_Third Down Conv.,2-11,7-16,7-14,7-14,5-13,4-16,2-11,2-12,4-13,11-14,5-14,6-15,5-15,6-12,4-13,6-16,2-8
car,Opp_Time of Possession,25:39,38:53,28:51,31:07,24:37,31:26,21:25,27:49,32:52,35:39,28:10,33:21,31:18,33:57,30:30,34:42,26:11
car,Opp_Total Yards,217,255,288,373,242,305,153,279,330,548,391,400,345,387,255,371,410
car,Opp_Turnovers,2,0,3,0,1,3,0,3,2,0,1,1,1,0,1,0,1
car,Penalties-Yards,5-40,5-44,1-10,1-33,11-100,10-126,4-35,5-51,8-70,7-57,10-84,6-54,2-30,6-28,12-72,5-35,2-18
car,Rush-Yds-TDs,38-116-0,23-69-0,27-149-1,29-140-1,28-28-0,27-101-0,30-108-0,31-100-1,18-53-0,17-100-1,33-145-2,23-112-1,21-100-0,19-120-0,24-66-0,24-87-0,26-107-0
car,Sacked-Yards,0-0,3-18,1-7,2-12,3-21,3-13,5-26,0-0,2-11,0-0,3-14,2-16,6-24,3-26,6-41,2-19,4-43
car,Third Down Conv.,7-13,4-13,6-12,6-9,7-16,5-14,6-15,8-17,4-12,7-12,3-14,3-10,7-15,4-11,6-11,5-15,8-17
car,Time of Possession,34:21,21:07,31:09,28:53,35:23,28:34,38:35,32:11,27:08,24:21,31:50,26:39,28:42,26:03,29:30,25:18,33:49
car,Total Yards,287,176,362,444,362,310,293,254,355,313,299,279,356,384,392,248,413
car,Turnovers,2,0,0,2,0,1,3,1,1,1,0,1,3,4,3,3,0
car,car Score,23,3,34,33,27,28,3,17,17,21,35,21,24,24,19,10,26
