,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
0,Attendance,"65,878","68,527","61,769","65,878","65,878","65,878","62,389","70,109","65,878","69,363","77,982","65,878","66,087","65,280","65,878","65,878","65,878","77,034","70,081"
0,Duration,3:12,3:02,2:47,2:56,3:14,3:07,3:21,3:14,3:10,2:59,2:58,2:58,3:08,2:56,3:01,2:56,3:32,3:32,3:32
0,Over/Under,49.5 (under),44.5 (over),55.0 (under),50.5 (under),49.5 (over),59.5 (over),48.5 (over),44.5 (under),56.0 (under),47.0 (under),46.5 (under),49.5 (under),49.5 (over),56.0 (under),45.0 (under),46.5 (under),47.5 (over),56.0 (over),55.5 (under)
0,Roof,outdoors,outdoors,dome,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,retractable roof (closed)
0,Super Bowl MVP,,,,,,,,,,,,,,,,,,,Julian Edelman
0,Surface,fieldturf,grass,fieldturf,fieldturf,fieldturf,fieldturf,grass,a_turf,fieldturf,grass,fieldturf,fieldturf,grass,grass,fieldturf,fieldturf,fieldturf,grass,fieldturf
0,Vegas Line,New England Patriots -6.0,New England Patriots -2.0,New England Patriots -7.0,New England Patriots -6.5,New England Patriots -10.5,New England Patriots -3.5,New England Patriots -1.0,New England Patriots -13.5,New England Patriots -5.0,New England Patriots -6.5,New England Patriots -13.0,New England Patriots -6.0,New England Patriots -9.5,New England Patriots -2.5,New England Patriots -13.5,New England Patriots -14.5,New England Patriots -3.5,Kansas City Chiefs -3.0,New England Patriots -2.0
0,Weather,"62 degrees, wind 10 mph","97 degrees, wind 15 mph",,"65 degrees, wind 6 mph","66 degrees, wind 6 mph","45 degrees, no wind","44 degrees, wind 9 mph","46 degrees, wind 16 mph","40 degrees, wind 2 mph","46 degrees, wind 4 mph","54 degrees, wind 8 mph","53 degrees, wind 6 mph","82 degrees, wind 13 mph","42 degrees, wind 5 mph","40 degrees, wind 12 mph","33 degrees, wind 2 mph","26 degrees, wind 3 mph","19 degrees, wind 14 mph",
0,Won OT Toss,,,,,,,,,,,,,,,,,,Patriots,
0,Won Toss,Texans (deferred),Patriots,Lions (deferred),Patriots (deferred),Colts (deferred),Chiefs (deferred),Bears (deferred),Bills (deferred),Packers (deferred),Patriots (deferred),Patriots (deferred),Patriots (deferred),Dolphins (deferred),Steelers,Patriots (deferred),Jets (deferred),Patriots,Chiefs (deferred),Rams (deferred)
