,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
NWE,Cmp-Att-Yd-TD-INT,26-39-277-3-1,24-35-234-2-0,14-26-133-1-1,23-35-274-3-2,34-44-341-3-2,24-35-340-1-0,25-36-277-3-1,29-45-324-0-0,23-36-331-1-0,23-43-267-0-0,20-31-283-2-0,24-32-311-1-1,27-43-358-3-0,25-36-279-1-1,13-25-126-1-2,24-33-250-4-0,34-44-343-1-0,30-46-348-1-2,21-35-262-0-1
NWE,First Downs,23,18,12,26,26,31,21,22,28,16,25,27,28,18,20,24,30,36,22
NWE,Fourth Down Conv.,1-1,0-0,0-1,0-0,0-0,0-1,1-1,0-0,0-1,2-3,1-1,1-1,0-0,0-1,1-2,0-1,1-1,1-2,0-1
NWE,Fumbles-Lost,3-2,1-1,0-0,0-0,0-0,2-1,3-2,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,1-0
NWE,HomeTeam,True,False,False,True,True,True,False,False,True,False,False,True,False,False,True,True,True,False,False
NWE,NWE Score,27,20,10,38,38,43,38,25,31,10,27,24,33,10,24,38,41,37,13
NWE,Net Pass Yards,267,220,120,274,341,327,273,311,310,244,283,311,344,272,117,244,343,348,253
NWE,Opp Score,20,31,26,7,24,40,31,6,17,34,13,10,34,17,12,3,28,31,3
NWE,Opp_Cmp-Att-Yd-TD-INT,17-34-176-1-1,29-45-376-4-1,27-36-262-2-1,15-25-135-1-1,38-59-365-3-2,23-36-352-4-2,26-50-333-2-2,24-41-313-0-1,24-43-259-2-0,17-25-249-2-0,26-45-276-1-1,32-44-201-1-2,14-19-265-3-0,22-34-235-2-2,20-41-217-1-2,16-28-167-0-0,25-51-331-3-1,16-31-295-3-0,19-38-229-0-1
NWE,Opp_First Downs,21,27,25,11,26,18,29,16,22,23,18,16,20,24,14,12,22,18,14
NWE,Opp_Fourth Down Conv.,0-1,0-0,0-0,1-1,2-3,1-1,1-1,0-2,0-1,0-0,0-1,1-2,0-0,0-0,0-1,0-2,1-1,0-0,0-0
NWE,Opp_Fumbles-Lost,1-1,2-1,1-0,1-1,1-1,0-0,0-0,3-1,2-1,3-0,0-0,0-0,2-0,0-0,1-1,3-3,1-1,1-0,1-0
NWE,Opp_Net Pass Yards,158,376,255,116,355,352,319,287,250,235,264,183,223,218,217,135,316,249,198
NWE,Opp_Penalties-Yards,6-44,7-71,6-70,10-89,4-35,5-58,5-40,6-51,7-63,4-35,8-47,5-55,7-81,4-40,3-29,4-30,5-33,4-28,9-65
NWE,Opp_Rush-Yds-TDs,34-167-1,24-104-0,33-159-0,18-56-0,21-84-0,17-94-0,25-134-2,19-46-0,25-117-0,36-150-2,15-74-0,13-95-0,21-189-2,25-158-0,18-72-0,23-104-0,10-19-1,12-41-1,18-62-0
NWE,Opp_Sacked-Yards,3-18,0-0,1-7,2-19,1-10,0-0,2-14,3-26,1-9,2-14,2-12,2-18,5-42,2-17,0-0,4-32,2-15,4-46,4-31
NWE,Opp_Third Down Conv.,2-11,10-14,7-14,3-11,7-15,4-10,8-16,4-14,6-13,5-12,6-14,3-12,1-7,4-9,2-12,4-13,5-13,4-9,3-13
NWE,Opp_Time of Possession,28:50,30:46,39:15,23:38,32:26,23:51,30:09,28:10,32:34,32:57,25:34,26:39,24:46,30:49,24:22,27:47,21:40,20:53,26:50
NWE,Opp_Total Yards,325,480,414,172,439,446,453,333,367,385,338,278,412,376,289,239,335,290,260
NWE,Opp_Turnovers,2,2,1,2,3,2,2,2,1,0,1,2,0,2,3,3,2,0,1
NWE,Penalties-Yards,6-36,2-25,5-38,6-57,7-50,0-0,7-64,5-33,5-30,4-31,11-105,7-60,5-30,14-106,5-49,4-30,9-75,6-61,3-20
NWE,Rush-Yds-TDs,31-122-0,24-82-0,19-89-0,40-175-2,23-97-2,38-173-3,27-108-0,25-76-1,31-123-3,19-40-1,36-215-1,39-160-2,30-77-1,19-96-0,47-273-2,30-131-0,34-155-4,48-176-4,32-154-1
NWE,Sacked-Yards,2-10,2-14,2-13,0-0,0-0,2-13,1-4,2-13,2-21,3-23,0-0,0-0,2-14,1-7,1-9,1-6,0-0,0-0,1-9
NWE,Third Down Conv.,4-14,4-12,2-9,10-15,5-10,7-13,6-13,5-14,4-11,3-15,5-12,7-14,9-16,3-10,3-12,5-11,7-14,13-19,3-12
NWE,Time of Possession,31:10,29:14,20:45,36:22,27:34,36:09,29:51,31:50,27:26,27:03,34:26,33:21,35:14,29:11,35:38,32:13,38:20,43:59,33:10
NWE,Total Yards,389,302,209,449,438,500,381,387,433,284,498,471,421,368,390,375,498,524,407
NWE,Turnovers,3,1,1,2,2,1,3,0,0,0,0,1,0,1,3,0,0,2,1
