,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
NWE,Cmp-Att-Yd-TD-INT,15-19-155-0-0,30-44-397-1-1,17-28-162-1-1,20-37-190-1-3,19-27-195-0-2,15-25-162-0-4,15-25-174-0-0,27-35-274-0-0,14-18-142-2-0,26-40-365-1-0,9-18-84-0-2,14-22-130-2-0,14-23-146-0-1,17-27-209-0-0,9-21-78-0-0,22-31-261-4-0
NWE,First Downs,29,29,25,21,14,17,20,30,25,22,16,22,10,18,11,23
NWE,Fourth Down Conv.,1-1,1-1,0-0,2-3,1-2,0-0,0-0,1-2,1-1,0-1,1-1,1-1,0-3,0-1,0-0,0-0
NWE,Fumbles-Lost,2-1,0-0,0-0,1-1,4-1,2-0,1-1,1-0,0-0,0-0,0-0,2-0,1-0,3-1,0-0,2-0
NWE,HomeTeam,True,False,True,False,True,True,False,False,True,False,True,False,False,False,True,True
NWE,NWE Score,21,30,36,10,12,6,21,30,23,20,20,45,3,12,9,28
NWE,Net Pass Yards,140,397,156,172,171,147,161,274,135,349,69,126,113,186,56,238
NWE,Opp Score,11,35,20,26,18,33,24,27,17,27,17,0,24,22,38,14
NWE,Opp_Cmp-Att-Yd-TD-INT,20-30-191-0-3,21-28-288-5-1,24-32-261-2-0,19-29-236-2-0,10-24-189-0-2,20-25-277-0-2,11-18-154-0-1,18-25-262-3-1,24-34-249-2-1,28-37-344-2-0,23-34-170-0-1,26-53-209-0-2,16-25-137-1-1,20-26-145-0-1,30-40-344-4-0,23-34-266-1-2
NWE,Opp_First Downs,20,22,22,19,15,26,22,18,19,21,23,17,17,26,31,21
NWE,Opp_Fourth Down Conv.,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-3,0-0,0-1,1-5,2-2,1-1,3-3,1-1
NWE,Opp_Fumbles-Lost,1-0,0-0,3-3,2-1,1-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0
NWE,Opp_Net Pass Yards,182,275,249,229,164,270,149,257,242,344,160,188,132,133,344,239
NWE,Opp_Penalties-Yards,4-35,9-68,6-40,4-38,2-20,6-65,5-30,4-32,8-64,5-35,6-50,5-30,5-35,7-40,3-27,3-30
NWE,Opp_Rush-Yds-TDs,27-87-1,30-154-0,22-126-0,25-94-0,37-135-0,37-197-4,38-190-3,18-65-0,28-115-0,19-55-1,34-138-2,15-70-0,36-186-1,42-250-3,31-130-1,25-111-1
NWE,Opp_Sacked-Yards,1-9,2-13,2-12,1-7,2-25,1-7,1-5,1-5,2-7,0-0,2-10,3-21,1-5,2-12,0-0,3-27
NWE,Opp_Third Down Conv.,4-11,3-7,3-9,4-11,4-14,5-9,5-11,6-10,6-13,5-11,6-14,7-18,3-14,7-12,5-12,3-10
NWE,Opp_Time of Possession,25:11,31:19,25:21,28:26,32:31,38:23,29:14,23:02,32:34,27:42,34:08,26:19,31:46,37:26,39:41,33:32
NWE,Opp_Total Yards,269,429,375,323,299,467,339,322,357,399,298,258,318,383,474,350
NWE,Opp_Turnovers,3,1,3,1,2,2,1,1,1,0,1,2,1,1,0,2
NWE,Penalties-Yards,3-47,2-12,2-33,4-43,1-4,3-30,5-35,6-81,3-18,7-55,6-42,3-15,5-27,2-20,4-25,6-47
NWE,Rush-Yds-TDs,42-217-3,25-67-2,38-250-2,35-185-0,25-117-1,22-94-0,34-188-2,41-159-3,39-173-1,24-86-1,30-110-2,43-165-2,29-107-0,22-117-0,24-145-1,29-166-0
NWE,Sacked-Yards,2-15,1-0,2-6,2-18,4-24,2-15,2-13,0-0,1-7,2-16,3-15,1-4,6-33,3-23,3-22,3-23
NWE,Third Down Conv.,5-10,7-12,3-11,6-15,4-13,1-6,5-10,8-14,5-11,7-13,4-11,6-14,3-13,2-9,4-12,6-12
NWE,Time of Possession,34:49,28:41,34:39,31:34,27:29,21:37,30:46,36:58,27:26,32:18,25:52,33:41,28:14,22:34,20:19,26:28
NWE,Total Yards,357,464,406,357,288,241,349,433,308,435,179,291,220,303,201,404
NWE,Turnovers,1,1,1,4,3,4,1,0,0,0,2,0,1,1,0,0
