,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
NWE,Cmp-Att-Yd-TD-INT,29-39-281-1-0,22-30-186-0-0,30-51-270-1-3,33-42-320-2-1,23-30-231-1-1,15-21-229-2-1,28-41-411-3-0,18-35-217-0-0,12-18-139-1-1,22-26-283-4-0,22-26-207-1-1,23-32-310-2-0,2-3-19-0-0,26-45-299-2-2,14-32-145-0-2,25-34-290-3-0,20-30-261-1-1,24-38-232-2-2
NWE,First Downs,24,17,16,20,21,17,32,21,17,30,20,23,11,20,20,32,21,20
NWE,Fourth Down Conv.,0-0,0-0,2-3,0-0,0-0,0-0,1-1,0-1,1-1,0-0,0-0,0-0,1-2,1-3,5-6,0-0,0-0,4-4
NWE,Fumbles-Lost,4-2,1-0,0-0,1-1,1-1,1-1,0-0,1-1,3-1,0-0,0-0,0-0,2-1,2-0,1-0,1-0,2-2,0-0
NWE,HomeTeam,True,False,True,True,False,True,True,False,False,True,False,True,False,False,True,True,False,False
NWE,NWE Score,16,25,13,17,25,29,54,27,24,45,25,36,14,17,21,50,24,17
NWE,Net Pass Yards,268,159,251,295,226,215,403,210,122,268,174,289,19,284,139,290,245,216
NWE,Opp Score,17,6,28,19,22,35,13,24,6,7,0,13,10,27,33,10,33,47
NWE,Opp_Cmp-Att-Yd-TD-INT,16-27-202-1-1,19-33-210-0-4,13-21-128-2-0,22-43-269-0-0,21-29-312-3-0,36-51-445-3-1,26-42-253-1-2,18-35-223-2-2,16-33-172-0-3,19-33-154-1-1,20-32-158-0-4,11-21-93-1-1,15-30-145-1-0,5-12-57-1-1,30-47-314-3-0,17-27-193-1-3,15-22-109-1-0,21-25-308-5-0
NWE,Opp_First Downs,16,18,19,22,14,32,18,17,13,17,11,18,16,15,28,11,23,29
NWE,Opp_Fourth Down Conv.,0-0,1-3,0-0,0-0,3-3,2-4,0-2,1-1,0-1,2-4,1-2,1-3,0-1,3-3,3-4,0-0,0-1,0-0
NWE,Opp_Fumbles-Lost,0-0,0-0,0-0,0-0,1-1,2-1,1-1,0-0,2-0,2-0,0-0,5-3,1-1,0-0,0-0,0-0,0-0,0-0
NWE,Opp_Net Pass Yards,185,184,110,261,293,445,237,206,162,118,125,85,131,49,314,173,103,308
NWE,Opp_Penalties-Yards,5-28,8-77,2-15,7-74,8-70,12-115,5-29,5-40,10-83,6-42,9-72,5-50,3-20,2-13,5-45,3-25,5-33,3-47
NWE,Opp_Rush-Yds-TDs,23-74-1,31-152-0,38-142-1,30-120-1,24-67-0,31-122-0,17-62-1,20-163-1,23-78-0,20-99-0,16-40-0,39-270-1,25-99-0,39-226-1,28-114-1,17-80-0,43-195-1,29-174-2
NWE,Opp_Sacked-Yards,2-17,4-26,3-18,1-8,3-19,0-0,2-16,3-17,1-10,5-36,4-33,2-8,2-14,1-8,0-0,2-20,1-6,0-0
NWE,Opp_Third Down Conv.,4-11,5-13,6-13,9-19,6-14,3-13,7-13,4-12,3-11,1-11,2-11,5-11,4-13,2-10,6-12,3-9,7-15,6-7
NWE,Opp_Time of Possession,23:17,32:08,32:48,33:55,29:16,39:17,27:48,24:36,27:31,25:58,27:17,31:02,27:59,30:22,35:09,23:14,33:36,31:25
NWE,Opp_Total Yards,259,336,252,381,360,567,299,369,240,217,165,355,230,275,428,253,298,482
NWE,Opp_Turnovers,1,4,0,0,1,2,3,2,3,1,4,4,1,1,0,3,0,0
NWE,Penalties-Yards,8-84,6-54,4-30,8-77,5-27,5-47,6-95,4-30,6-35,6-46,5-59,4-35,6-47,8-50,3-30,3-30,8-78,5-34
NWE,Rush-Yds-TDs,30-125-0,24-101-2,17-49-0,8--1-0,30-126-1,27-120-2,32-148-4,39-142-1,39-151-1,34-184-2,30-134-0,24-105-1,46-222-1,19-81-0,27-149-3,36-181-4,27-134-2,20-89-0
NWE,Sacked-Yards,1-13,3-27,2-19,4-25,1-5,2-14,1-8,1-7,2-17,2-15,3-33,2-21,0-0,1-15,1-6,0-0,2-16,3-16
NWE,Third Down Conv.,11-16,3-12,7-19,2-9,6-11,3-9,7-12,9-19,6-14,7-9,4-12,4-10,2-12,6-15,1-10,8-10,5-10,7-14
NWE,Time of Possession,36:43,27:52,27:12,26:05,30:44,26:51,32:12,35:24,32:29,34:02,32:43,28:58,32:01,29:38,24:51,36:46,26:24,28:35
NWE,Total Yards,393,260,300,294,352,335,551,352,273,452,308,394,241,365,288,471,379,305
NWE,Turnovers,2,0,3,2,2,2,0,1,2,0,1,0,1,2,2,0,3,2
