,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
NWE,Cmp-Att-Yd-TD-INT,21-30-213-1-1,21-35-252-1-1,22-32-321-0-3,15-21-136-1-0,17-21-188-1-1,24-34-309-2-0,17-28-198-1-3,24-35-194-1-1,20-30-147-1-0,23-27-246-0-0,28-39-382-2-0,22-36-195-1-0,24-35-235-0-1,13-31-112-0-0,21-33-240-2-0,20-33-204-2-0,26-40-243-3-3
NWE,First Downs,17,18,22,17,22,20,12,19,11,13,17,14,18,19,15,14,20
NWE,Fourth Down Conv.,0-1,0-0,1-2,0-0,0-0,0-0,0-1,1-2,0-0,0-1,0-1,1-1,0-0,0-0,0-1,0-1,2-2
NWE,Fumbles-Lost,2-2,0-0,3-1,1-1,1-0,1-1,1-1,1-0,2-1,1-0,1-0,2-0,1-0,1-1,4-1,0-0,1-0
NWE,HomeTeam,False,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False
NWE,NWE Score,7,17,26,24,29,38,14,22,26,10,26,10,27,24,18,23,23
NWE,Net Pass Yards,193,252,302,104,188,301,190,161,133,198,364,182,225,112,224,173,234
NWE,Opp Score,20,14,37,27,0,15,33,17,3,3,33,24,13,30,22,21,35
NWE,Opp_Cmp-Att-Yd-TD-INT,23-33-270-1-0,21-33-168-1-1,18-29-218-4-1,21-35-251-2-1,19-35-229-0-1,21-45-266-1-2,13-21-179-1-1,20-41-355-2-3,15-29-103-0-1,9-22-77-0-0,31-38-310-3-1,22-33-223-2-0,28-41-255-0-1,20-38-231-3-1,40-52-375-3-2,24-40-265-2-2,19-31-254-3-1
NWE,Opp_First Downs,18,16,19,24,17,16,24,17,8,6,23,22,19,18,28,21,18
NWE,Opp_Fourth Down Conv.,1-1,0-0,0-0,1-1,0-6,3-5,0-1,0-1,0-2,0-0,0-0,0-0,1-5,1-1,1-1,2-3,0-0
NWE,Opp_Fumbles-Lost,2-0,1-1,1-1,2-1,1-1,3-2,5-0,0-0,0-0,1-0,0-0,1-1,2-1,2-0,1-1,0-0,2-2
NWE,Opp_Net Pass Yards,242,152,206,244,211,258,147,336,43,44,301,223,210,211,369,247,237
NWE,Opp_Penalties-Yards,4-20,3-20,2-10,4-40,7-82,7-63,4-35,4-41,2-15,3-15,3-20,6-47,8-48,13-90,8-62,9-71,2-20
NWE,Opp_Rush-Yds-TDs,23-65-0,22-91-0,26-188-1,35-199-1,27-101-0,18-70-0,45-243-2,15-51-0,22-78-0,23-59-0,27-57-0,37-132-1,22-113-1,23-97-0,24-73-0,27-86-1,25-90-0
NWE,Opp_Sacked-Yards,3-28,3-16,4-12,1-7,2-18,4-8,4-32,2-19,9-60,4-33,1-9,2-0,6-45,3-20,2-6,2-18,2-17
NWE,Opp_Third Down Conv.,6-14,8-15,5-11,6-14,4-12,4-15,11-18,5-14,0-14,3-14,8-15,9-15,4-14,5-14,8-16,4-14,7-12
NWE,Opp_Time of Possession,32:30,26:24,30:36,36:49,28:31,24:55,37:14,24:26,28:54,24:30,36:17,38:08,33:31,33:16,36:48,33:48,27:23
NWE,Opp_Total Yards,307,243,394,443,312,328,390,387,121,103,358,355,323,308,442,333,327
NWE,Opp_Turnovers,0,2,2,2,2,4,1,3,1,0,1,1,2,1,3,2,3
NWE,Penalties-Yards,3-15,7-55,3-16,7-75,6-46,12-92,4-30,6-54,4-35,8-55,6-55,6-62,8-80,6-30,10-82,6-39,2-20
NWE,Rush-Yds-TDs,22-78-0,31-124-1,28-145-3,33-167-1,35-176-0,29-98-3,19-70-1,34-127-0,28-70-0,26-99-0,13-45-0,14-60-0,21-103-2,32-206-1,16-61-0,21-76-0,23-107-0
NWE,Sacked-Yards,2-20,0-0,3-19,4-32,0-0,2-8,1-8,6-33,4-14,6-48,3-18,1-13,1-10,0-0,4-16,3-31,1-9
NWE,Third Down Conv.,4-9,9-17,2-9,3-11,3-9,7-14,5-10,6-19,6-17,4-15,3-10,3-12,3-11,2-13,6-13,5-13,4-13
NWE,Time of Possession,27:30,33:36,29:24,33:11,31:29,35:05,22:46,35:34,31:06,35:30,23:43,21:52,26:29,26:44,23:12,26:12,32:37
NWE,Total Yards,271,376,447,271,364,399,260,288,203,297,409,242,328,318,285,249,341
NWE,Turnovers,3,1,4,1,1,1,4,1,1,0,0,0,1,1,1,0,3
