,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
nwe,Cmp-Att-Yd-TD-INT,28-35-368-4-0,30-39-447-3-0,22-33-301-2-2,22-29-316-3-1,30-40-303-1-1,20-38-257-2-1,23-33-233-1-0,17-30-212-1-1,28-37-303-3-0,30-37-340-3-0,23-34-215-1-2,21-30-258-0-1,24-43-233-1-2,22-35-298-1-1,21-38-281-0-0,19-36-232-0-0,22-37-254-2-0,23-36-293-1-0,29-44-374-4-1
nwe,First Downs,26,29,23,28,23,23,21,16,28,25,15,23,14,21,17,14,15,22,25
nwe,Fourth Down Conv.,0-0,0-0,0-0,0-0,0-0,0-0,1-3,1-1,1-3,0-0,2-3,0-0,0-0,1-1,0-2,1-1,2-3,0-1,2-2
nwe,Fumbles-Lost,2-1,0-0,2-0,1-1,1-1,1-1,0-0,2-0,0-0,1-0,2-1,0-0,0-0,0-0,1-0,1-0,0-0,1-0,0-0
nwe,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
nwe,Net Pass Yards,352,436,292,304,289,257,223,192,297,332,154,244,223,283,242,207,202,273,374
nwe,Opp Score,27,20,36,30,14,17,23,21,16,8,35,3,27,24,37,26,35,24,33
nwe,Opp_Cmp-Att-Yd-TD-INT,16-36-267-0-0,27-45-356-2-0,25-35-378-5-0,32-45-307-2-0,26-46-334-1-0,31-47-354-2-2,21-29-249-2-0,32-47-333-1-0,18-33-221-1-1,28-49-237-1-1,18-28-227-4-1,15-34-115-0-1,25-38-263-3-0,22-30-281-2-1,21-28-224-2-1,19-40-195-2-0,35-53-337-3-0,27-39-310-2-0,28-49-505-3-0
nwe,Opp_First Downs,25,20,21,24,26,23,25,27,17,21,25,16,21,21,28,28,31,22,29
nwe,Opp_Fourth Down Conv.,0-2,1-2,0-0,2-2,0-0,1-3,0-0,1-1,0-0,2-4,1-2,0-3,1-1,0-0,1-1,1-1,0-0,1-1,1-2
nwe,Opp_Fumbles-Lost,1-0,1-0,4-1,0-0,2-0,1-1,1-0,0-0,1-1,1-1,4-1,0-0,1-0,1-0,0-0,0-0,0-0,1-1,1-1
nwe,Opp_Net Pass Yards,247,348,337,293,319,334,241,317,221,235,221,85,242,270,218,183,337,298,500
nwe,Opp_Penalties-Yards,6-55,5-35,5-69,7-55,9-70,6-69,8-65,6-80,5-28,8-66,7-70,3-34,8-102,6-63,2-10,4-49,4-37,1-10,1-5
nwe,Opp_Rush-Yds-TDs,35-124-3,17-81-0,20-59-0,19-80-1,20-90-1,24-74-0,36-162-0,32-97-0,28-118-0,21-109-0,38-196-1,26-183-0,30-120-0,31-143-1,38-193-2,38-147-1,27-101-2,19-46-1,22-113-1
nwe,Opp_Sacked-Yards,3-20,1-8,5-41,3-14,2-15,4-20,2-8,3-16,0-0,1-2,1-6,4-30,2-21,2-11,2-6,2-12,0-0,3-12,1-5
nwe,Opp_Third Down Conv.,5-15,4-12,6-13,7-14,4-13,9-17,7-13,9-19,8-15,7-15,5-12,5-13,4-14,10-16,5-11,4-15,11-17,3-12,5-10
nwe,Opp_Time of Possession,29:46,24:54,26:22,31:07,29:10,33:40,34:05,36:59,30:17,32:23,32:41,25:59,36:09,35:07,31:44,34:49,32:56,24:52,25:56
nwe,Opp_Total Yards,371,429,396,373,409,408,403,414,339,344,417,268,362,413,411,330,438,344,613
nwe,Opp_Turnovers,0,0,1,0,0,3,0,0,2,2,2,1,0,1,1,0,0,1,1
nwe,Penalties-Yards,15-139,9-66,10-60,1-33,12-108,6-45,6-40,10-77,1-5,2-10,6-52,9-66,9-78,2-4,4-83,9-84,10-62,6-98,6-35
nwe,Rush-Yds-TDs,27-185-2,31-119-1,32-125-0,29-140-1,23-113-0,25-118-1,22-120-0,21-157-1,29-99-1,20-89-0,19-67-0,35-191-2,10-25-1,19-77-2,24-84-0,19-40-0,16-65-0,32-101-1,27-164-1
nwe,Sacked-Yards,3-16,2-11,2-9,2-12,3-14,0-0,1-10,1-20,1-6,1-8,7-61,3-14,2-10,2-15,6-39,4-25,8-52,3-20,0-0
nwe,Third Down Conv.,4-11,6-12,6-14,6-9,4-12,7-13,2-9,3-10,4-11,5-10,2-11,5-12,0-11,3-9,8-17,0-12,5-15,6-15,10-16
nwe,Time of Possession,30:14,35:06,33:38,28:53,30:50,26:20,25:55,23:01,29:43,27:37,27:19,34:01,23:51,24:53,28:16,25:11,27:04,35:08,34:04
nwe,Total Yards,537,555,417,444,402,375,343,349,396,421,221,435,248,360,326,247,267,374,538
nwe,Turnovers,1,0,2,2,2,2,0,1,0,0,3,1,2,1,0,0,0,0,1
nwe,nwe Score,42,36,33,33,19,24,7,13,41,33,17,23,20,27,16,6,14,20,41
