,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
nwe,Cmp-Att-Yd-TD-INT,15-24-121-0-0,33-44-327-1-0,16-26-120-0-0,19-32-168-1-1,18-31-194-0-1,20-32-192-3-1,26-37-276-2-0,17-28-233-2-0,29-41-206-1-2,15-25-184-1-1,18-27-295-4-0,22-38-222-1-1,12-24-109-2-2,19-23-202-1-1,22-36-261-2-1,26-40-281-3-0,18-32-129-1-0
nwe,First Downs,17,18,11,12,24,20,17,22,20,16,19,14,20,17,28,29,16
nwe,Fourth Down Conv.,0-0,1-2,3-3,1-3,0-1,0-0,0-1,0-0,1-1,1-1,1-1,1-3,3-3,1-2,2-2,2-2,1-4
nwe,Fumbles-Lost,1-0,0-0,1-1,4-2,3-1,1-0,0-0,2-0,2-1,2-0,0-0,1-1,1-0,3-0,4-2,0-0,1-0
nwe,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
nwe,Net Pass Yards,120,312,61,143,179,176,257,224,185,184,295,183,109,195,253,281,129
nwe,Opp Score,10,20,24,30,10,21,32,25,20,3,22,34,24,30,24,7,23
nwe,Opp_Cmp-Att-Yd-TD-INT,21-29-164-0-0,15-27-149-1-0,27-35-281-2-0,15-27-288-1-1,18-34-160-0-0,20-33-243-3-2,15-20-193-1-0,18-30-155-0-0,20-33-240-2-1,16-30-120-0-0,29-39-282-2-1,29-40-317-4-0,24-30-238-1-1,25-32-232-0-0,16-29-154-1-1,13-24-115-1-0,22-30-241-1-0
nwe,Opp_First Downs,13,19,27,19,15,17,23,19,24,11,26,23,23,21,19,11,19
nwe,Opp_Fourth Down Conv.,0-1,0-0,0-0,0-0,0-1,2-2,0-1,1-1,0-1,2-4,0-0,0-0,0-0,0-0,1-1,0-3,1-1
nwe,Opp_Fumbles-Lost,3-2,1-0,1-0,3-1,0-0,3-2,0-0,2-0,3-0,0-0,2-1,1-1,2-0,2-0,2-0,1-1,1-1
nwe,Opp_Net Pass Yards,154,125,267,283,148,209,193,136,233,69,257,308,222,232,152,85,232
nwe,Opp_Penalties-Yards,2-10,3-42,8-106,6-43,12-105,9-50,4-24,5-50,10-67,5-25,7-45,3-17,7-88,4-35,13-78,7-60,7-59
nwe,Opp_Rush-Yds-TDs,16-70-1,36-185-1,33-133-1,32-148-1,19-151-1,26-82-0,39-171-2,31-112-3,39-167-0,20-73-0,30-125-0,24-65-0,31-200-1,32-163-2,28-172-1,20-96-0,30-77-1
nwe,Opp_Sacked-Yards,3-10,3-24,2-14,1-5,2-12,4-34,0-0,2-19,1-7,9-51,3-25,2-9,4-16,0-0,1-2,4-30,1-9
nwe,Opp_Third Down Conv.,4-11,6-16,10-15,7-13,4-13,3-13,6-10,7-15,7-16,1-14,6-14,4-12,6-11,10-15,4-11,2-10,4-12
nwe,Opp_Time of Possession,25:57,35:42,40:04,31:35,25:40,29:13,33:15,30:26,38:44,27:32,37:20,32:04,34:12,34:08,29:03,19:26,31:14
nwe,Opp_Total Yards,224,310,400,431,299,291,364,248,400,142,382,373,422,395,324,181,309
nwe,Opp_Turnovers,2,0,0,2,0,4,0,0,1,0,2,1,1,0,1,1,1
nwe,Penalties-Yards,5-40,6-50,5-70,3-20,6-54,4-38,7-35,8-55,8-58,7-40,7-66,10-75,2-15,4-45,5-34,6-54,6-35
nwe,Rush-Yds-TDs,39-170-1,19-46-1,15-78-0,24-73-0,41-193-1,28-192-2,15-38-0,28-112-1,20-110-1,35-144-0,24-107-0,21-86-0,34-144-1,24-116-1,30-126-1,37-147-1,33-130-1
nwe,Sacked-Yards,1-1,3-15,7-59,6-25,3-15,2-16,2-19,1-9,4-21,1-0,0-0,4-39,0-0,2-7,2-8,0-0,0-0
nwe,Third Down Conv.,6-15,7-15,2-11,5-16,2-11,4-11,6-12,4-10,3-11,5-14,2-8,3-14,5-11,0-6,7-12,10-17,6-15
nwe,Time of Possession,34:03,29:41,19:56,28:25,34:20,30:47,26:45,29:34,29:09,32:28,22:40,27:56,25:48,25:52,30:57,40:34,28:46
nwe,Total Yards,290,358,139,216,372,368,295,336,295,328,402,269,253,311,379,428,259
nwe,Turnovers,0,0,1,3,2,1,0,0,3,1,0,2,2,1,3,0,0
nwe,nwe Score,16,23,3,13,15,41,16,22,17,19,28,15,25,17,21,40,16
