,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
rai,Cmp-Att-Yd-TD-INT,22-32-262-2-0,16-24-166-2-0,19-31-118-1-2,21-35-249-1-1,19-26-222-0-0,25-36-268-1-0,25-36-342-3-0,31-49-313-1-2,21-30-300-1-1,30-37-340-3-0,20-35-190-2-1,21-34-212-1-0,24-41-211-1-2,18-27-212-0-2,15-29-140-1-2,19-28-243-1-1
rai,First Downs,22,17,7,11,19,20,19,23,20,25,12,15,15,21,13,14
rai,Fourth Down Conv.,1-1,0-0,1-2,0-3,0-0,1-2,0-0,1-2,0-0,0-0,1-1,0-0,1-1,2-2,0-2,0-3
rai,Fumbles-Lost,3-0,2-2,1-1,0-0,1-0,1-1,1-0,4-2,3-1,1-0,1-0,2-2,1-1,0-0,4-3,2-1
rai,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rai,Net Pass Yards,250,145,96,230,222,263,331,313,295,332,160,200,198,204,137,231
rai,Opp Score,16,45,27,16,17,16,31,34,24,8,21,24,26,17,19,30
rai,Opp_Cmp-Att-Yd-TD-INT,25-41-256-0-0,23-28-230-3-0,25-30-365-3-0,16-26-179-1-0,13-26-159-1-0,21-30-171-1-2,29-52-417-3-0,20-27-165-1-0,34-42-311-3-0,28-49-237-1-1,18-24-253-2-0,22-36-287-1-0,20-34-268-0-1,21-38-171-2-0,19-38-163-1-1,28-37-387-3-0
rai,Opp_First Downs,21,21,18,16,15,15,32,17,23,21,21,18,23,19,12,26
rai,Opp_Fourth Down Conv.,0-0,0-0,0-0,0-0,0-1,0-1,1-1,1-1,0-1,2-4,0-0,1-3,0-0,0-0,2-2,0-1
rai,Opp_Fumbles-Lost,0-0,1-0,2-2,2-0,1-1,3-0,0-0,0-0,2-1,1-1,1-1,4-1,0-0,4-1,3-1,2-0
rai,Opp_Net Pass Yards,255,230,356,155,137,165,417,165,309,235,244,282,243,171,138,380
rai,Opp_Penalties-Yards,5-49,9-79,10-77,6-40,3-24,5-40,10-97,11-95,11-107,8-66,7-68,6-42,7-69,14-105,8-60,7-65
rai,Opp_Rush-Yds-TDs,21-95-1,27-180-3,34-116-0,32-143-0,25-108-1,22-109-1,21-88-1,37-166-2,18-86-0,21-109-0,37-104-1,29-119-2,33-165-2,23-122-0,21-78-0,30-115-0
rai,Opp_Sacked-Yards,1-1,0-0,1-9,4-24,3-22,1-6,0-0,0-0,1-2,1-2,2-9,1-5,4-25,0-0,2-25,1-7
rai,Opp_Third Down Conv.,7-14,8-12,7-15,5-16,6-12,6-12,6-13,6-15,5-12,7-15,5-13,6-15,5-13,8-15,1-14,7-13
rai,Opp_Time of Possession,28:21,31:02,38:06,32:57,26:17,27:57,29:24,35:37,29:04,32:23,35:54,31:19,36:40,27:40,25:39,33:20
rai,Opp_Total Yards,350,410,472,298,245,274,505,331,395,344,348,401,408,293,216,495
rai,Opp_Turnovers,0,0,2,0,1,2,0,0,1,2,1,1,1,1,2,0
rai,Penalties-Yards,5-49,5-47,4-35,7-75,1-5,4-32,8-108,6-50,10-105,2-10,9-75,1-5,7-39,7-100,7-50,6-85
rai,Rush-Yds-TDs,29-109-0,25-126-0,13-32-0,15-24-0,39-143-2,28-80-1,23-94-0,14-54-1,27-84-2,20-89-0,17-56-0,24-65-1,11-70-1,31-126-2,33-137-0,23-105-0
rai,Sacked-Yards,2-12,4-21,4-22,3-19,0-0,1-5,1-11,0-0,1-5,1-8,5-30,3-12,3-13,2-8,1-3,2-12
rai,Third Down Conv.,5-12,7-12,0-11,2-12,7-14,6-14,8-15,3-10,8-15,5-10,5-14,5-14,5-13,2-10,3-13,4-11
rai,Time of Possession,31:39,28:58,21:54,27:03,33:43,32:03,30:36,24:23,30:56,27:37,24:06,28:41,23:20,32:20,34:21,26:40
rai,Total Yards,359,271,128,254,365,343,425,367,379,421,216,265,268,330,274,336
rai,Turnovers,0,2,3,1,0,1,0,4,2,0,1,2,3,2,5,2
rai,rai Score,26,20,10,10,30,17,30,14,27,33,14,17,15,20,10,10
