,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
rai,Cmp-Att-Yd-TD-INT,19-30-235-1-0,28-37-382-2-0,32-49-215-0-0,21-34-196-2-1,13-21-119-1-0,18-27-341-2-0,18-34-236-2-0,30-46-296-1-2,36-51-422-5-0,20-29-148-1-0,24-39-373-1-0,23-30-196-2-1,33-45-263-1-1,25-38-236-1-1,15-22-153-0-0,24-32-255-1-2,34-64-383-3-1,29-54-310-1-1
rai,First Downs,20,22,22,13,19,16,22,24,29,23,28,23,19,20,8,18,27,23
rai,Fourth Down Conv.,1-2,1-1,3-4,1-3,0-0,0-0,2-3,1-1,3-3,0-0,0-0,0-0,1-1,1-1,1-1,2-2,6-7,1-2
rai,Fumbles-Lost,4-2,2-0,2-0,2-0,1-0,1-0,3-2,2-1,2-1,3-1,1-0,0-0,4-4,5-1,0-0,2-0,1-1,2-1
rai,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rai,Net Pass Yards,217,373,197,165,109,340,223,286,422,129,366,186,246,230,140,241,355,282
rai,Opp Score,33,17,31,28,9,24,33,23,14,13,33,15,48,14,17,20,35,26
rai,Opp_Cmp-Att-Yd-TD-INT,34-56-435-2-1,27-40-295-1-1,26-43-386-2-1,25-39-222-3-0,22-35-206-0-1,35-49-334-3-3,31-34-323-2-1,15-20-110-1-0,25-35-261-2-1,19-27-215-1-1,32-47-375-2-0,28-38-249-0-0,20-24-258-2-0,20-30-147-1-0,20-25-201-1-1,16-27-148-1-0,21-37-190-2-0,24-34-244-2-0
rai,Opp_First Downs,26,17,28,25,16,25,23,16,15,13,23,22,21,13,22,16,24,18
rai,Opp_Fourth Down Conv.,0-1,0-1,0-1,2-3,1-3,1-3,1-1,0-0,1-2,0-0,0-0,0-0,0-0,1-1,1-1,1-1,1-1,1-1
rai,Opp_Fumbles-Lost,1-0,1-0,2-0,0-0,0-0,1-1,0-0,1-1,1-1,2-1,0-0,0-0,1-0,0-0,2-2,1-0,2-0,0-0
rai,Opp_Net Pass Yards,409,292,357,212,188,309,323,98,249,206,373,234,240,147,182,140,172,225
rai,Opp_Penalties-Yards,10-62,5-43,8-104,7-105,10-82,6-53,7-65,4-35,9-68,7-77,14-166,6-54,8-63,3-61,3-37,3-25,4-38,7-56
rai,Opp_Rush-Yds-TDs,21-82-2,14-39-1,35-140-1,34-168-1,22-71-1,23-112-0,29-119-2,31-149-0,14-50-0,18-72-0,20-64-1,16-76-1,30-132-3,24-89-1,40-160-1,26-122-1,34-174-1,25-83-0
rai,Opp_Sacked-Yards,3-26,2-3,3-29,2-10,3-18,5-25,0-0,3-12,2-12,2-9,1-2,2-15,3-18,0-0,2-19,1-8,3-18,2-19
rai,Opp_Third Down Conv.,7-15,5-12,8-15,4-13,5-14,5-14,3-9,6-12,1-9,1-7,3-13,2-8,9-13,6-14,6-12,3-11,8-17,5-12
rai,Opp_Time of Possession,34:08,25:38,38:47,34:42,27:58,34:33,32:31,30:11,24:34,22:40,26:30,26:17,33:35,26:36,36:37,28:57,38:41,31:51
rai,Opp_Total Yards,491,331,497,380,259,421,442,247,299,278,437,310,372,236,342,262,346,308
rai,Opp_Turnovers,1,1,1,0,1,4,1,1,2,2,0,0,0,0,3,0,0,0
rai,Penalties-Yards,5-71,5-40,8-68,7-58,8-70,6-54,4-37,6-65,4-34,1-5,14-110,6-47,9-85,7-64,3-30,6-41,10-108,7-46
rai,Rush-Yds-TDs,34-189-2,25-52-0,27-133-2,18-48-0,37-143-1,23-86-2,32-135-1,20-117-0,25-94-0,38-159-2,35-143-2,30-112-0,12-44-0,25-98-0,16-18-1,27-85-1,21-85-1,14-103-0
rai,Sacked-Yards,3-18,2-9,2-18,4-31,2-10,2-1,2-13,1-10,0-0,3-19,3-7,1-10,4-17,2-6,2-13,2-14,3-28,3-28
rai,Third Down Conv.,3-12,5-13,6-18,4-13,6-13,4-11,6-13,4-12,9-15,8-16,3-13,7-13,4-11,6-13,1-10,6-14,4-18,8-18
rai,Time of Possession,32:14,34:22,31:13,25:18,32:02,25:27,27:29,29:49,35:26,37:20,39:02,33:43,26:25,33:24,23:23,31:03,31:19,28:09
rai,Total Yards,406,425,330,213,252,426,358,403,516,288,509,298,290,328,158,326,440,385
rai,Turnovers,2,0,0,1,0,0,2,3,1,1,0,1,5,2,0,2,2,2
rai,rai Score,27,26,28,14,20,34,22,16,41,32,36,17,9,16,13,23,32,19
