,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
rai,Cmp-Att-Yd-TD-INT,22-37-295-2-3,31-49-277-1-1,27-45-307-2-1,17-25-237-2-0,19-30-241-2-0,28-41-302-2-1,23-39-173-0-1,21-36-259-2-0,21-28-222-1-0,23-37-307-2-0,25-36-295-3-2,28-47-335-1-0,11-20-137-0-2,13-31-112-0-0,16-30-174-1-3,22-35-284-2-1,18-26-202-1-0
rai,First Downs,18,28,24,12,18,21,13,16,20,20,27,22,17,19,13,27,21
rai,Fourth Down Conv.,1-2,3-5,3-3,1-2,1-2,1-2,2-3,1-3,0-0,0-0,1-2,3-5,1-1,0-0,0-0,0-0,0-0
rai,Fumbles-Lost,3-0,0-0,1-0,1-1,1-0,0-0,0-0,1-1,2-1,0-0,1-0,3-1,0-0,1-1,0-0,0-0,0-0
rai,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rai,Net Pass Yards,256,270,300,214,223,296,145,248,208,298,293,314,137,112,143,284,181
rai,Opp Score,24,23,24,32,30,38,24,27,20,16,34,27,17,30,13,34,13
rai,Opp_Cmp-Att-Yd-TD-INT,26-34-279-3-0,25-39-252-2-0,19-27-264-1-1,21-34-188-0-0,29-43-292-4-0,21-27-241-1-0,23-31-231-2-0,25-31-235-1-0,24-38-248-2-0,24-31-247-0-0,27-37-328-2-1,16-30-250-2-1,22-35-230-1-0,20-38-231-3-1,26-39-244-1-1,23-34-365-3-2,22-36-219-1-1
rai,Opp_First Downs,18,20,19,25,29,25,22,22,18,19,22,21,20,18,19,29,21
rai,Opp_Fourth Down Conv.,0-1,0-0,0-1,0-0,0-0,1-1,0-1,0-0,1-3,0-0,0-0,0-0,1-1,1-1,2-2,0-1,0-2
rai,Opp_Fumbles-Lost,1-0,2-1,1-0,0-0,0-0,2-0,0-0,1-1,0-0,2-0,1-1,1-1,1-1,2-0,0-0,1-0,2-1
rai,Opp_Net Pass Yards,279,244,252,173,265,236,231,235,232,226,307,250,211,211,244,365,180
rai,Opp_Penalties-Yards,5-21,10-68,7-85,4-25,5-72,5-44,5-27,4-30,10-74,5-45,2-10,3-15,7-60,13-90,3-35,6-49,6-47
rai,Opp_Rush-Yds-TDs,31-76-0,21-80-0,27-109-2,38-212-2,23-103-0,27-164-3,32-136-1,37-168-2,24-77-1,28-94-1,23-65-2,29-154-1,22-71-1,23-97-0,27-106-0,32-135-1,25-99-0
rai,Opp_Sacked-Yards,0-0,1-8,1-12,2-15,3-27,1-5,0-0,0-0,2-16,3-21,3-21,0-0,4-19,3-20,0-0,0-0,6-39
rai,Opp_Third Down Conv.,6-14,6-11,5-10,7-14,7-12,4-9,7-12,9-15,5-13,3-12,3-9,3-10,4-12,5-14,5-14,4-10,8-16
rai,Opp_Time of Possession,32:32,29:47,29:15,34:52,31:07,30:43,34:51,32:25,30:59,28:57,28:05,29:16,29:39,33:16,32:39,32:00,34:13
rai,Opp_Total Yards,355,324,361,385,368,400,367,403,309,320,372,404,282,308,350,500,279
rai,Opp_Turnovers,0,1,1,0,0,0,0,1,0,0,2,2,1,1,1,2,2
rai,Penalties-Yards,3-11,12-120,6-44,7-50,11-99,3-14,6-59,5-45,4-25,9-98,7-50,4-20,7-94,6-30,2-20,9-71,5-43
rai,Rush-Yds-TDs,13-64-0,28-143-2,19-96-0,20-85-1,24-155-1,23-108-0,13-38-0,19-73-0,30-207-2,24-109-0,40-283-2,22-72-0,38-165-1,32-206-1,19-58-0,27-170-2,28-168-3
rai,Sacked-Yards,6-39,1-7,1-7,3-23,2-18,1-6,4-28,2-11,1-14,1-9,1-2,5-21,0-0,0-0,3-31,0-0,2-21
rai,Third Down Conv.,5-11,3-13,1-12,3-11,5-12,9-15,5-14,3-12,6-11,3-11,8-14,5-16,5-13,2-13,6-12,4-8,5-9
rai,Time of Possession,27:28,36:22,30:45,25:08,28:53,29:17,25:09,27:35,29:01,32:39,37:35,30:44,30:21,26:44,27:21,31:07,25:47
rai,Total Yards,320,413,396,299,378,404,183,321,415,407,576,386,302,318,201,454,349
rai,Turnovers,3,1,1,1,0,1,1,1,1,0,2,1,2,1,3,1,0
rai,rai Score,19,29,22,23,29,20,0,20,25,22,40,20,16,24,10,37,31
