,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
0,Attendance,"53,857","66,515","68,947","72,027","68,893","76,109","66,597","75,822","73,086","72,755","77,002","60,974","61,695","74,210","61,759","72,161","77,187","73,028","70,081"
0,Duration,3:10,2:45,2:57,3:07,3:12,3:16,3:01,3:19,3:11,3:09,3:42,3:14,3:12,3:15,2:57,3:15,3:01,3:18,3:32
0,Over/Under,47.5 (under),43.5 (under),49.0 (over),48.5 (over),50.5 (over),50.0 (under),52.0 (under),57.0 (under),57.0 (over),51.0 (over),63.5 (over),54.0 (under),51.0 (under),52.5 (over),43.0 (under),49.5 (over),48.0 (over),55.5 (under),55.5 (under)
0,Roof,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,outdoors,dome,outdoors,outdoors,dome,outdoors,outdoors,retractable roof (closed),outdoors,outdoors,dome,retractable roof (closed)
0,Super Bowl MVP,,,,,,,,,,,,,,,,,,,Julian Edelman
0,Surface,grass,grass,grass,grass,fieldturf,grass,grass,grass,sportturf,grass,grass,fieldturf,grass,grass,grass,grass,grass,sportturf,fieldturf
0,Vegas Line,Los Angeles Rams -6.5,Los Angeles Rams -13.5,Los Angeles Rams -7.5,Los Angeles Rams -7.5,Los Angeles Rams -7.5,Los Angeles Rams -7.0,Los Angeles Rams -8.0,Los Angeles Rams -7.5,Los Angeles Rams -1.5,Los Angeles Rams -10.0,Los Angeles Rams -3.0,Los Angeles Rams -10.5,Los Angeles Rams -3.0,Los Angeles Rams -13.5,Los Angeles Rams -14.5,Los Angeles Rams -10.5,Los Angeles Rams -7.5,New Orleans Saints -3.0,New England Patriots -2.0
0,Weather,"69 degrees, wind 10 mph","86 degrees, wind 2 mph","80 degrees, wind 5 mph","75 degrees, wind 3 mph","53 degrees, wind 5 mph","25 degrees, wind 6 mph","62 degrees, wind 5 mph","82 degrees, wind 1 mph",,"75 degrees, wind 1 mph","65 degrees, no wind",,"29 degrees, wind 4 mph","60 degrees, wind 5 mph",,"65 degrees, wind 3 mph","57 degrees, wind 1 mph",,
0,Won OT Toss,,,,,,,,,,,,,,,,,,Saints,
0,Won Toss,Rams (deferred),Cardinals (deferred),Chargers (deferred),Rams (deferred),Seahawks (deferred),Rams (deferred),49ers (deferred),Rams (deferred),Rams (deferred),Rams (deferred),Chiefs (deferred),Lions (deferred),Rams (deferred),Eagles (deferred),Cardinals (deferred),Rams (deferred),Cowboys (deferred),Rams (deferred),Rams (deferred)
