,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19,Game20
0,Attendance,"70,445","63,076","73,205","70,003","68,747","73,920","70,540","66,013","71,785","64,256","77,948","70,801","63,999","71,565","66,708","70,328","74,447","70,625","65,597","73,202","70,048"
0,Duration,2:48,2:58,3:06,3:05,3:05,3:02,3:08,2:55,3:08,2:50,3:19,2:53,3:01,2:53,3:01,2:53,3:12,3:06,3:21,2:57,3:26
0,Over/Under,46.5 (over),48.0 (over),55.5 (over),49.5 (over),54.5 (under),48.5 (over),50.5 (under),46.5 (over),52.5 (under),49.5 (under),46.5 (over),48.0 (under),51.5 (over),46.0 (under),49.0 (over),46.5 (under),44.5 (over),49.5 (under),48.0 (over),46.0 (under),48.5 (under)
0,Roof,dome,retractable roof (closed),dome,dome,outdoors,outdoors,dome,retractable roof (closed),dome,outdoors,outdoors,dome,retractable roof (open),dome,dome,outdoors,dome,dome,outdoors,dome,dome
0,Super Bowl MVP,,,,,,,,,,,,,,,,,,,,,Cooper Kupp
0,Surface,matrixturf,fieldturf,matrixturf,matrixturf,fieldturf,fieldturf,matrixturf,astroturf,matrixturf,grass,grass,matrixturf,grass,matrixturf,sportturf,grass,matrixturf,matrixturf,grass,matrixturf,matrixturf
0,Vegas Line,Los Angeles Rams -8.0,Los Angeles Rams -3.5,Tampa Bay Buccaneers -1.5,Los Angeles Rams -4.0,Los Angeles Rams -2.5,Los Angeles Rams -9.0,Los Angeles Rams -16.5,Los Angeles Rams -16.0,Los Angeles Rams -7.5,Los Angeles Rams -4.0,Los Angeles Rams -2.0,Los Angeles Rams -13.0,Arizona Cardinals -2.5,Los Angeles Rams -7.0,Los Angeles Rams -3.5,Los Angeles Rams -6.0,Los Angeles Rams -3.5,Los Angeles Rams -3.5,Tampa Bay Buccaneers -3.0,Los Angeles Rams -3.5,Los Angeles Rams -4.0
0,Weather,,,,,"56 degrees, relative humidity 53%, wind 8 mph","61 degrees, relative humidity 56%, wind 13 mph",,,,"59 degrees, relative humidity 88%, no wind","37 degrees, relative humidity 46%, wind 14 mph",,,,,"59 degrees, relative humidity 92%, wind 6 mph",,,"50 degrees, relative humidity 69%, wind 11 mph",,
0,Won OT Toss,,,,,,,,,,,,,,,,,49ers,,,,
0,Won Toss,Rams (deferred),Rams (deferred),Rams (deferred),Cardinals (deferred),Seahawks (deferred),Rams (deferred),Rams (deferred),Texans (deferred),Titans (deferred),49ers (deferred),Packers (deferred),Jaguars (deferred),Rams (deferred),Seahawks (deferred),Rams (deferred),Rams (deferred),49ers (deferred),Rams (deferred),Rams (deferred),49ers (deferred),Bengals (deferred)
