,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
ram,Cmp-Att-Yd-TD-INT,11-21-179-0-2,18-27-179-1-0,22-28-292-3-0,21-36-255-2-0,24-38-198-1-2,11-21-124-1-0,15-32-188-0-2,14-22-311-4-0,18-36-221-1-2,23-37-225-0-0,22-32-246-1-0,21-31-220-2-1,29-51-333-4-1,15-23-124-2-1,22-39-301-4-0,20-33-292-2-2,21-30-218-1-0
ram,First Downs,10,21,26,24,15,12,10,20,17,15,14,18,29,19,20,25,20
ram,Fourth Down Conv.,0-1,0-0,0-0,0-0,0-0,0-0,1-2,0-1,0-1,0-1,1-1,1-1,2-2,1-3,1-2,0-0,1-1
ram,Fumbles-Lost,3-1,3-0,3-2,1-0,0-0,2-1,1-0,1-0,2-2,1-1,1-0,1-0,1-0,2-0,2-1,1-1,0-0
ram,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ram,Net Pass Yards,150,156,292,244,179,107,171,311,194,209,223,213,316,108,286,292,198
ram,Opp Score,46,20,39,30,10,17,33,17,33,24,26,16,35,7,23,13,13
ram,Opp_Cmp-Att-Yd-TD-INT,22-30-318-1-0,15-25-247-1-1,23-37-332-2-1,20-36-252-3-1,22-47-288-0-2,23-35-241-1-1,22-37-235-1-1,20-38-220-2-1,26-38-361-3-0,27-38-280-1-0,28-44-354-2-1,18-32-221-1-2,16-26-199-2-0,14-30-142-1-0,22-39-275-0-1,20-34-169-0-0,24-45-259-1-0
ram,Opp_First Downs,19,14,25,22,21,19,28,17,19,27,24,19,17,11,19,15,19
ram,Opp_Fourth Down Conv.,0-0,1-1,2-3,1-2,0-1,1-1,0-0,0-0,0-1,1-1,0-0,0-0,0-0,0-0,0-1,1-1,1-3
ram,Opp_Fumbles-Lost,2-1,3-1,1-1,1-1,4-3,2-0,0-0,2-2,0-0,0-0,1-0,1-0,2-2,3-2,1-0,4-2,2-2
ram,Opp_Net Pass Yards,310,235,308,251,275,220,228,208,339,280,327,187,198,71,269,149,246
ram,Opp_Penalties-Yards,7-50,7-75,10-55,4-45,5-45,5-40,6-45,4-52,10-86,7-65,9-90,4-25,7-102,9-60,5-54,6-46,5-45
ram,Opp_Rush-Yds-TDs,33-63-2,22-97-1,33-113-3,27-189-1,22-100-1,26-169-1,40-197-2,26-111-0,25-104-0,35-171-2,25-88-0,24-118-1,17-109-2,17-78-0,26-97-1,26-102-1,16-115-0
ram,Opp_Sacked-Yards,1-8,2-12,4-24,2-1,2-13,5-21,1-7,2-12,3-22,0-0,4-27,7-34,2-1,7-71,1-6,3-20,3-13
ram,Opp_Third Down Conv.,5-14,5-12,9-18,7-14,8-15,4-15,13-19,8-16,6-16,7-14,3-14,7-15,2-7,4-14,3-12,5-15,5-14
ram,Opp_Time of Possession,34:25,23:41,30:17,29:28,28:44,31:59,39:01,29:30,31:31,37:22,35:26,31:02,20:48,23:14,29:56,30:51,22:25
ram,Opp_Total Yards,373,332,421,440,375,389,425,319,443,451,415,305,307,149,366,251,361
ram,Opp_Turnovers,1,2,2,2,5,1,1,3,0,0,1,2,2,2,1,2,2
ram,Penalties-Yards,4-20,4-25,7-52,7-41,7-40,7-70,10-65,6-55,8-60,8-60,7-112,7-36,10-67,3-25,5-44,4-23,4-51
ram,Rush-Yds-TDs,24-75-1,39-229-2,32-126-2,31-168-0,25-62-0,32-142-0,12-25-0,39-162-2,25-89-0,17-45-1,17-123-1,24-90-0,32-139-0,43-244-3,26-116-0,30-169-2,39-124-1
ram,Sacked-Yards,4-29,2-23,0-0,1-11,3-19,3-17,3-17,0-0,3-27,2-16,3-23,1-7,2-17,2-16,1-15,0-0,3-20
ram,Third Down Conv.,0-10,5-13,8-12,5-13,8-17,4-13,3-12,6-12,4-12,3-11,3-13,3-11,8-20,6-16,6-14,6-12,5-15
ram,Time of Possession,25:35,36:19,29:43,30:32,31:16,28:01,20:59,30:30,28:29,22:38,24:34,28:58,39:12,36:46,30:04,29:09,37:35
ram,Total Yards,225,385,418,412,241,249,196,473,283,254,346,303,455,352,402,461,322
ram,Turnovers,3,0,2,0,2,1,2,0,4,1,0,1,1,1,1,3,0
ram,ram Score,9,27,41,35,16,27,0,51,7,7,20,32,43,42,27,34,26
