,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
ram,Cmp-Att-Yd-TD-INT,23-39-186-1-1,20-35-203-0-1,24-38-268-2-2,28-41-385-4-1,29-49-395-1-1,24-33-243-0-1,23-38-291-2-0,32-52-329-1-0,22-42-243-0-3,25-47-199-1-1,16-23-208-5-0,33-45-427-2-0,22-36-245-0-1,34-52-289-2-1,27-46-323-2-1,27-43-325-2-2
ram,First Downs,22,15,20,27,24,22,23,24,16,17,31,27,16,23,24,22
ram,Fourth Down Conv.,0-0,0-1,0-0,0-0,0-0,1-1,1-1,4-6,0-2,0-2,3-3,0-1,1-2,1-2,0-0,0-0
ram,Fumbles-Lost,1-0,1-0,1-1,0-0,1-1,1-1,0-0,0-0,4-1,0-0,1-0,0-0,2-0,0-0,2-0,3-3
ram,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ram,Net Pass Yards,183,187,254,376,395,232,291,297,218,193,195,417,202,267,323,322
ram,Opp Score,27,27,13,40,30,7,10,24,17,17,6,7,28,44,34,31
ram,Opp_Cmp-Att-Yd-TD-INT,25-38-239-0-1,19-28-283-1-0,18-36-195-1-1,45-68-517-2-3,17-23-268-4-0,13-24-78-0-0,22-33-224-1-1,17-31-372-2-0,22-38-242-1-0,11-18-173-0-1,26-37-212-0-2,19-34-163-0-1,22-32-293-2-2,15-23-212-2-0,16-27-248-1-2,29-45-319-3-0
ram,Opp_First Downs,21,20,18,36,25,10,14,19,15,13,14,13,26,25,19,25
ram,Opp_Fourth Down Conv.,0-0,0-0,0-2,0-1,1-1,0-4,0-0,0-0,1-1,0-0,1-1,2-4,0-0,1-1,0-0,0-1
ram,Opp_Fumbles-Lost,2-2,1-1,1-0,1-1,1-1,2-1,4-2,0-0,4-2,3-1,1-0,0-0,0-0,1-0,2-0,0-0
ram,Opp_Net Pass Yards,216,265,175,490,262,48,186,372,231,173,199,124,293,212,215,311
ram,Opp_Penalties-Yards,6-46,8-65,8-60,13-106,5-45,8-59,5-48,9-59,13-107,6-34,8-56,2-7,3-20,4-16,3-26,10-91
ram,Opp_Rush-Yds-TDs,23-127-3,30-115-2,24-95-0,11-28-2,43-167-0,22-109-1,15-38-0,26-98-1,27-42-0,34-110-2,9-22-0,21-74-1,35-162-2,45-263-3,23-119-2,33-113-1
ram,Opp_Sacked-Yards,3-23,3-18,3-20,2-27,1-6,4-30,5-38,0-0,3-11,0-0,2-13,6-39,0-0,0-0,6-33,1-8
ram,Opp_Third Down Conv.,5-11,5-13,6-16,4-11,3-10,0-9,3-12,7-13,5-16,3-10,2-9,2-13,7-13,7-13,4-10,11-18
ram,Opp_Time of Possession,26:44,30:21,31:37,27:24,35:18,21:08,22:51,27:17,31:40,27:16,20:04,25:23,31:04,36:06,27:39,36:58
ram,Opp_Total Yards,343,380,270,518,429,157,224,470,273,283,221,198,455,475,334,424
ram,Opp_Turnovers,3,1,1,4,1,1,3,0,2,2,2,1,2,0,2,0
ram,Penalties-Yards,5-43,11-87,7-49,12-99,6-45,4-30,5-24,6-40,10-95,2-25,8-66,8-81,8-64,5-29,7-43,8-63
ram,Rush-Yds-TDs,32-166-2,20-57-0,24-90-0,30-88-2,18-82-2,41-99-2,36-90-1,22-104-0,23-88-0,24-74-0,48-285-1,30-132-1,21-106-0,14-22-1,24-72-2,17-71-1
ram,Sacked-Yards,1-3,2-16,2-14,2-9,0-0,2-11,0-0,5-32,4-25,3-6,3-13,1-10,5-43,2-22,0-0,1-3
ram,Third Down Conv.,9-17,4-13,6-14,8-13,3-11,8-17,8-16,6-18,1-14,6-17,9-15,8-15,5-14,4-12,5-13,5-10
ram,Time of Possession,33:16,29:39,28:23,32:36,24:42,38:52,37:09,32:43,28:20,32:44,39:56,34:37,28:56,23:54,32:21,23:02
ram,Total Yards,349,244,344,464,477,331,381,401,306,267,480,549,308,289,395,393
ram,Turnovers,1,1,3,1,2,2,0,0,4,1,0,0,1,1,1,5
ram,ram Score,30,9,20,55,29,20,37,10,12,7,45,34,12,21,31,24
