,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
ram,Cmp-Att-Yd-TD-INT,25-39-266-1-0,20-27-267-3-0,23-32-321-2-1,23-36-190-0-1,21-30-309-2-1,19-38-198-2-1,28-40-261-0-2,35-61-355-1-2,22-37-248-0-2,39-51-376-3-2,24-35-252-0-1,37-47-351-1-0,14-23-146-0-1,22-31-207-1-0,24-43-234-0-1,19-27-192-1-1,12-25-184-1-0,21-27-174-1-0
ram,First Downs,24,30,28,19,20,17,14,31,20,22,18,30,10,17,20,15,16,17
ram,Fourth Down Conv.,1-3,1-1,0-1,1-2,0-1,0-1,1-4,0-1,0-0,0-0,1-1,1-3,0-3,1-1,0-2,0-0,0-2,0-1
ram,Fumbles-Lost,0-0,1-1,3-1,1-0,1-0,0-0,0-0,3-2,1-1,1-0,3-2,1-1,1-0,1-0,1-0,1-0,0-0,0-0
ram,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ram,Net Pass Yards,244,258,311,159,300,198,230,340,220,376,233,344,113,196,216,166,169,148
ram,Opp Score,20,19,35,17,10,24,24,28,23,24,20,28,24,20,20,18,20,32
ram,Opp_Cmp-Att-Yd-TD-INT,20-31-275-0-1,26-43-242-0-2,24-33-311-4-1,25-32-200-1-0,18-30-111-0-0,23-33-268-3-0,23-33-220-2-0,12-22-93-1-0,27-37-302-0-0,26-48-216-2-2,19-31-198-0-2,21-39-173-3-1,16-25-137-1-1,22-34-209-2-1,20-32-225-1-0,22-38-231-0-1,11-27-174-2-1,23-36-296-2-0
ram,Opp_First Downs,23,25,23,15,10,24,24,8,24,20,14,18,17,16,15,21,11,28
ram,Opp_Fourth Down Conv.,1-1,0-1,1-1,1-1,0-1,1-1,0-0,0-0,1-1,0-1,0-0,2-2,2-2,0-1,0-0,1-1,1-2,0-0
ram,Opp_Fumbles-Lost,0-0,1-1,1-1,2-1,2-0,0-0,2-1,2-2,1-1,0-0,2-2,2-1,0-0,0-0,0-0,1-1,1-1,1-0
ram,Opp_Net Pass Yards,269,242,274,182,70,268,211,90,283,209,182,140,132,189,197,223,142,296
ram,Opp_Penalties-Yards,5-34,5-30,5-55,1-5,3-40,7-63,4-46,3-30,4-49,2-7,3-27,5-21,5-35,5-43,5-31,5-38,9-60,3-22
ram,Opp_Rush-Yds-TDs,40-153-2,26-121-2,21-101-1,23-58-1,14-38-1,37-122-0,34-160-1,25-55-1,29-106-3,18-42-1,28-126-1,21-92-1,36-186-1,19-114-0,24-95-1,30-110-0,25-136-0,36-188-2
ram,Opp_Sacked-Yards,1-6,0-0,4-37,2-18,8-41,0-0,1-9,1-3,3-19,1-7,2-16,2-33,1-5,3-20,5-28,2-8,5-32,0-0
ram,Opp_Third Down Conv.,9-17,7-12,5-10,5-13,2-13,5-13,4-13,3-12,9-15,7-14,4-13,4-12,3-14,2-11,8-17,6-15,2-14,8-12
ram,Opp_Time of Possession,35:38,28:47,27:48,26:42,24:25,37:55,32:35,23:30,33:36,26:47,25:57,21:07,31:46,25:45,27:10,37:51,26:21,36:12
ram,Opp_Total Yards,422,363,375,240,108,390,371,145,389,251,308,232,318,303,292,333,278,484
ram,Opp_Turnovers,1,3,2,1,0,0,1,2,1,2,4,2,1,1,0,2,2,0
ram,Penalties-Yards,7-50,4-24,3-30,4-20,5-60,6-34,6-46,5-45,4-23,5-65,5-40,6-75,5-27,6-61,5-45,6-38,2-15,3-35
ram,Rush-Yds-TDs,27-136-1,39-191-2,32-167-2,25-136-0,35-129-2,19-113-0,17-49-0,29-131-1,22-113-1,20-37-0,33-112-1,31-119-3,29-107-0,31-93-1,29-118-0,18-48-0,43-164-1,19-96-1
ram,Sacked-Yards,3-22,1-9,2-10,5-31,1-9,0-0,4-31,2-15,6-28,0-0,2-19,1-7,6-33,2-11,3-18,4-26,3-15,4-26
ram,Third Down Conv.,3-12,7-12,6-10,4-13,6-15,4-12,4-14,7-17,7-14,8-15,3-14,9-15,3-13,7-17,9-19,2-9,3-15,2-8
ram,Time of Possession,24:22,31:13,32:12,33:18,35:35,22:05,27:25,36:30,26:24,33:13,34:03,38:53,28:14,34:15,32:50,22:09,33:39,23:48
ram,Total Yards,380,449,478,295,429,311,279,471,333,413,345,463,220,289,334,214,333,244
ram,Turnovers,0,1,2,1,1,1,2,4,3,2,3,1,1,0,1,1,0,0
ram,ram Score,17,37,32,9,30,16,10,17,16,27,23,38,3,23,9,7,30,18
