,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19,Game20
ram,Cmp-Att-Yd-TD-INT,29-40-216-0-1,19-30-278-2-1,41-55-432-1-0,24-32-268-2-0,25-37-365-1-1,22-30-251-4-2,23-37-285-1-2,22-34-310-3-0,19-27-143-1-1,27-42-245-1-2,21-39-302-3-1,16-28-145-0-0,23-30-287-3-0,17-31-156-0-1,21-37-197-1-3,26-35-309-2-2,24-33-340-2-2,19-34-137-0-2,28-38-366-2-0,16-30-232-2-1,26-41-283-3-2
ram,First Downs,24,21,27,27,24,22,19,26,16,16,15,14,18,13,22,20,23,14,24,16,17
ram,Fourth Down Conv.,0-4,0-1,1-2,0-0,1-1,2-2,2-3,0-1,2-2,0-2,0-1,1-2,0-0,0-1,1-1,1-1,0-0,1-2,0-0,0-0,1-1
ram,Fumbles-Lost,1-1,2-1,2-0,1-0,1-0,1-0,0-0,0-0,0-0,0-0,2-2,3-2,1-0,0-0,1-0,1-1,1-0,1-0,4-4,0-0,0-0
ram,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ram,Net Pass Yards,188,270,411,249,358,234,278,302,125,226,285,136,267,134,197,300,314,122,355,232,270
ram,Opp Score,34,24,34,20,17,11,28,22,16,31,36,37,23,20,23,19,24,34,27,20,20
ram,Opp_Cmp-Att-Yd-TD-INT,20-26-321-3-0,22-36-272-1-2,27-38-343-4-0,26-41-280-2-1,21-33-283-2-2,29-51-242-0-3,28-41-334-3-0,29-39-310-2-1,31-48-294-1-2,15-19-182-2-0,28-45-307-2-0,26-38-295-3-0,32-49-383-0-2,21-29-244-2-1,27-38-315-1-1,20-32-197-0-1,21-32-238-3-2,14-18-242-2-0,30-54-329-1-1,31-45-337-2-1,23-34-269-2-0
ram,Opp_First Downs,18,22,22,24,22,21,22,18,22,20,21,24,22,20,19,19,19,16,20,25,15
ram,Opp_Fourth Down Conv.,1-1,0-1,0-0,0-1,0-1,2-4,0-1,0-0,2-3,1-2,2-2,1-1,2-4,0-1,1-1,3-3,1-1,0-0,2-4,0-1,1-3
ram,Opp_Fumbles-Lost,0-0,0-0,1-0,1-1,0-0,2-1,0-0,2-0,0-0,0-0,3-1,1-0,1-0,0-0,3-0,1-1,0-0,0-0,1-1,0-0,0-0
ram,Opp_Net Pass Yards,312,245,331,280,262,201,327,279,253,179,307,290,344,209,295,162,201,235,308,326,226
ram,Opp_Penalties-Yards,4-36,3-25,1-4,5-36,3-20,5-27,4-35,6-38,12-115,9-53,3-32,7-47,7-54,4-34,2-20,4-24,3-15,6-48,4-61,2-10,4-31
ram,Opp_Rush-Yds-TDs,23-74-1,26-109-0,24-76-0,23-121-0,25-92-0,18-60-1,19-47-0,14-44-1,21-94-0,44-156-1,32-92-1,27-128-1,22-103-2,29-123-0,22-66-1,32-165-0,27-64-0,38-140-1,14-51-2,29-70-0,20-79-0
ram,Opp_Sacked-Yards,1-9,3-27,1-12,0-0,2-21,4-41,1-7,5-31,5-41,1-3,1-0,1-5,4-39,4-35,3-20,5-35,5-37,1-7,3-21,2-11,7-43
ram,Opp_Third Down Conv.,6-11,5-11,10-15,6-11,4-10,4-15,9-13,4-12,4-15,8-14,7-19,5-12,8-15,6-12,2-12,4-14,10-17,6-13,3-14,11-18,3-14
ram,Opp_Time of Possession,24:46,31:32,30:10,24:50,26:57,27:38,27:20,26:25,32:21,39:03,39:40,33:45,30:56,35:06,30:00,33:39,31:24,35:46,25:52,35:39,29:13
ram,Opp_Total Yards,386,354,407,401,354,261,374,323,347,335,399,418,447,332,361,327,265,375,359,396,305
ram,Opp_Turnovers,0,2,0,2,2,4,0,1,2,0,1,0,2,1,1,2,2,0,2,1,0
ram,Penalties-Yards,3-35,2-15,7-41,7-63,5-85,7-50,8-77,3-20,4-19,5-35,4-30,3-39,5-40,8-65,1-5,4-35,6-56,7-50,4-45,6-54,2-10
ram,Rush-Yds-TDs,26-134-2,29-101-1,13-35-2,40-216-2,29-118-2,34-131-1,28-137-0,31-165-2,26-69-2,10-52-0,20-68-0,25-61-1,21-89-0,19-80-1,33-159-1,20-73-1,31-135-1,18-61-1,30-73-1,20-50-0,23-43-0
ram,Sacked-Yards,3-28,1-8,3-21,3-19,1-7,2-17,2-7,1-8,3-18,2-19,2-17,2-9,3-20,3-22,0-0,1-9,3-26,2-15,2-11,0-0,2-13
ram,Third Down Conv.,5-11,3-9,6-13,8-13,2-10,2-11,6-15,4-11,4-12,3-10,4-13,5-12,6-12,3-11,7-14,3-9,9-14,0-9,4-11,3-9,6-15
ram,Time of Possession,35:14,28:28,29:50,35:10,33:03,32:22,32:40,33:35,27:39,20:57,20:20,26:15,29:04,24:54,30:00,26:21,36:44,24:14,34:08,24:21,30:47
ram,Total Yards,322,371,446,465,476,365,415,467,194,278,353,197,356,214,356,373,449,183,428,282,313
ram,Turnovers,2,2,0,0,1,2,2,0,1,2,3,2,0,1,3,3,2,2,4,1,2
ram,ram Score,14,27,24,37,26,38,19,38,28,10,28,7,30,10,30,20,27,11,30,17,23
