,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
Rav,Cmp-Att-Yd-TD-INT,23-26-379-6-0,25-40-349-0-0,22-43-267-0-0,20-31-342-1-1,19-28-161-1-3,21-39-235-0-1,9-20-143-0-0,30-46-285-1-1,18-22-243-3-1,18-30-169-0-1,16-23-208-5-0,15-21-165-1-0,16-25-145-3-1,18-32-218-2-1,20-31-238-3-0,9-25-95-0-0,8-15-91-3-0
Rav,First Downs,31,15,29,22,22,18,14,22,20,16,31,15,18,13,31,10,15
Rav,Fourth Down Conv.,2-2,1-1,3-4,1-1,1-1,0-0,1-1,0-0,1-1,1-4,3-3,1-2,0-0,0-2,0-1,0-1,0-0
Rav,Fumbles-Lost,0-0,1-0,0-0,0-0,1-0,0-0,2-0,2-1,0-0,1-1,1-0,1-1,0-0,1-1,3-1,3-2,0-0
Rav,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rav,Net Pass Yards,378,329,249,337,139,217,141,268,243,110,195,157,139,207,238,77,83
Rav,Opp Score,10,23,33,25,23,23,16,37,13,41,6,20,17,42,15,28,12
Rav,Opp_Cmp-Att-Yd-TD-INT,15-32-190-1-2,24-37-272-2-0,27-37-374-3-0,24-34-247-3-2,21-31-203-1-1,21-33-236-0-0,20-41-241-1-1,17-23-163-1-0,16-30-167-1-1,20-27-235-4-0,26-37-212-0-2,14-23-105-1-0,17-39-146-1-0,15-24-212-5-0,20-33-192-2-1,11-21-96-0-1,31-59-365-1-2
Rav,Opp_First Downs,12,26,27,24,18,26,20,26,21,25,14,21,16,23,17,19,29
Rav,Opp_Fourth Down Conv.,0-0,0-1,0-1,1-2,0-0,0-0,0-0,1-1,1-4,0-1,1-1,2-3,0-1,1-1,0-0,1-2,0-4
Rav,Opp_Fumbles-Lost,1-1,2-0,3-0,2-1,2-1,1-1,1-1,2-2,3-2,1-0,1-0,1-1,2-1,1-0,0-0,1-1,1-1
Rav,Opp_Net Pass Yards,179,258,363,222,192,228,241,162,150,235,199,105,105,212,184,81,345
Rav,Opp_Penalties-Yards,9-64,10-62,4-31,3-15,11-76,10-81,2-18,4-34,1-5,8-65,8-56,3-23,5-49,6-35,7-62,6-35,7-56
Rav,Opp_Rush-Yds-TDs,12-21-0,33-182-0,25-140-1,29-173-0,19-77-1,43-269-2,26-106-0,41-210-3,40-157-0,37-256-1,9-22-0,38-178-1,23-104-0,34-218-1,19-57-0,44-223-1,29-185-0
Rav,Opp_Sacked-Yards,3-11,2-14,1-11,4-25,1-11,1-8,1-0,1-1,2-17,0-0,2-13,1-0,6-41,1-0,1-8,3-15,4-20
Rav,Opp_Third Down Conv.,3-10,7-14,5-9,4-10,3-9,9-15,10-17,5-10,7-15,5-9,2-9,3-10,4-17,2-8,3-12,7-16,11-18
Rav,Opp_Time of Possession,19:53,37:38,27:16,29:43,25:34,39:42,30:06,37:01,36:11,36:19,20:04,32:26,27:11,31:38,25:41,39:27,32:06
Rav,Opp_Total Yards,200,440,503,395,269,497,347,372,307,491,221,283,209,430,241,304,530
Rav,Opp_Turnovers,3,0,0,3,2,1,2,2,3,0,2,1,1,0,1,2,3
Rav,Penalties-Yards,4-40,8-70,7-60,6-41,11-92,4-20,8-75,7-48,5-35,5-60,8-66,6-54,9-99,8-94,7-50,6-47,5-20
Rav,Rav Score,59,17,28,40,26,17,30,20,49,7,45,17,24,21,31,10,28
Rav,Rush-Yds-TDs,46-265-2,11-20-1,32-203-4,29-193-4,40-138-1,14-33-1,35-199-1,17-74-1,23-136-2,20-122-1,48-285-1,29-174-1,33-118-0,24-103-0,40-243-1,23-91-1,37-217-1
Rav,Sacked-Yards,1-1,3-20,3-18,1-5,5-22,2-18,1-2,2-17,1-0,7-59,3-13,2-8,1-6,1-11,0-0,2-18,1-8
Rav,Third Down Conv.,7-11,2-11,5-13,6-13,6-15,5-11,5-13,5-13,4-6,2-10,9-15,4-12,3-11,6-14,7-11,5-12,7-13
Rav,Time of Possession,40:07,22:22,32:44,30:17,39:00,20:18,29:54,22:59,23:49,23:41,39:56,27:34,32:49,28:22,34:19,20:33,27:54
Rav,Total Yards,643,349,452,530,277,250,340,342,379,232,480,331,257,310,481,168,300
Rav,Turnovers,0,0,0,1,3,1,0,2,1,2,0,1,1,2,1,2,0
