,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
Rav,Cmp-Att-Yd-TD-INT,21-39-189-1-1,18-24-204-1-0,31-42-385-4-0,15-23-208-2-2,19-30-183-0-1,16-27-186-1-0,21-32-182-2-0,19-23-170-0-0,24-34-249-2-1,23-32-266-2-1,9-18-110-1-1,31-48-285-2-1,12-21-176-1-0,22-29-226-2-0,24-41-252-1-0,11-19-121-3-1,17-24-179-0-1,20-37-222-0-1
Rav,First Downs,20,23,29,18,12,17,19,19,19,26,10,29,25,17,24,24,22,19
Rav,Fourth Down Conv.,0-3,2-2,0-2,2-2,2-3,0-0,0-0,1-1,1-3,1-1,1-1,3-4,1-1,1-3,1-3,1-2,0-0,0-2
Rav,Fumbles-Lost,3-2,0-0,1-1,0-0,3-2,2-0,3-1,3-1,3-0,3-0,1-1,0-0,1-0,2-1,0-0,0-0,0-0,5-0
Rav,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rav,Net Pass Yards,168,177,385,206,135,173,173,156,242,250,90,277,154,205,215,121,165,190
Rav,Opp Score,38,16,20,17,27,28,24,10,23,24,19,34,42,40,27,3,13,17
Rav,Opp_Cmp-Att-Yd-TD-INT,21-26-284-3-0,25-36-275-1-1,15-28-97-1-0,32-45-314-0-0,19-37-180-2-1,21-40-213-2-0,13-28-208-2-2,25-44-227-0-1,14-18-142-2-0,17-29-186-1-1,36-51-266-1-1,12-17-107-2-1,29-48-355-2-1,19-26-250-3-1,17-26-183-2-0,6-21-48-0-2,18-26-165-1-1,23-37-206-1-0
Rav,Opp_First Downs,23,18,16,24,17,19,25,20,25,21,22,19,33,26,25,10,12,17
Rav,Opp_Fourth Down Conv.,0-0,0-1,0-1,2-3,0-1,1-3,1-2,2-4,1-1,0-0,0-2,1-1,2-2,1-2,0-0,0-0,1-1,0-0
Rav,Opp_Fumbles-Lost,2-1,1-1,3-1,1-1,0-0,4-1,4-2,2-1,0-0,0-0,3-1,1-0,7-0,4-0,1-1,0-0,0-0,1-0
Rav,Opp_Net Pass Yards,270,253,70,274,171,170,192,227,135,177,266,107,355,250,183,48,158,188
Rav,Opp_Penalties-Yards,7-66,4-22,6-45,2-20,4-25,3-20,9-110,4-30,3-18,6-81,5-40,4-23,8-75,4-40,10-65,3-29,2-10,2-11
Rav,Opp_Rush-Yds-TDs,30-111-2,17-51-0,21-158-0,22-69-2,24-161-0,18-194-1,47-265-1,21-112-1,39-173-1,33-129-1,20-68-0,37-294-2,28-138-4,37-159-2,40-249-1,19-147-0,22-51-0,16-32-0
Rav,Opp_Sacked-Yards,2-14,4-22,4-27,3-40,1-9,6-43,4-16,0-0,1-7,1-9,0-0,0-0,0-0,1-0,0-0,0-0,1-7,2-18
Rav,Opp_Third Down Conv.,6-11,3-9,3-9,4-13,7-15,3-12,8-15,2-12,5-11,9-15,6-14,5-11,5-12,8-12,8-11,1-9,4-12,4-13
Rav,Opp_Time of Possession,29:58,25:09,26:04,30:38,25:21,23:30,35:22,26:34,27:26,31:06,33:39,27:34,31:57,31:48,35:09,19:29,26:22,24:27
Rav,Opp_Total Yards,381,304,228,343,332,364,457,339,308,306,334,401,493,409,432,195,209,220
Rav,Opp_Turnovers,1,2,1,1,1,1,4,2,0,1,2,1,1,1,1,2,1,0
Rav,Penalties-Yards,8-80,3-21,6-38,5-30,5-40,12-132,3-30,5-55,8-64,4-44,7-86,7-58,8-69,7-67,5-35,6-49,5-60,8-59
Rav,Rav Score,6,33,34,31,3,30,28,24,17,30,14,17,47,14,13,38,20,3
Rav,Rush-Yds-TDs,27-138-0,37-230-1,31-132-1,32-144-2,28-70-0,37-182-2,16-48-1,38-110-2,28-115-0,34-173-1,28-129-1,28-111-0,32-231-5,22-62-0,12-54-0,54-404-2,35-236-2,32-150-0
Rav,Sacked-Yards,2-21,4-27,0-0,1-2,7-48,3-13,2-9,2-14,2-7,2-16,3-20,1-8,4-22,5-21,6-37,0-0,5-14,4-32
Rav,Third Down Conv.,3-12,5-14,10-13,5-11,3-16,6-16,3-9,5-13,6-13,5-12,3-13,6-15,6-11,5-12,1-10,11-17,7-13,7-17
Rav,Time of Possession,30:02,34:51,33:56,29:22,34:39,36:30,24:38,33:26,32:34,33:33,26:21,32:26,28:03,28:12,24:51,40:31,33:38,35:33
Rav,Total Yards,306,407,517,350,205,355,221,266,357,423,219,388,385,267,269,525,401,340
Rav,Turnovers,3,0,1,2,3,0,1,1,1,1,2,1,0,1,0,1,1,1
