,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
Rav,Cmp-Att-Yd-TD-INT,28-44-242-0-0,24-33-237-2-0,27-44-227-1-0,15-19-186-2-0,22-38-236-0-1,21-30-223-1-1,33-53-284-0-1,18-27-157-1-0,13-28-157-0-1,20-35-213-1-1,19-31-169-2-0,18-32-177-1-0,23-41-294-3-0,14-24-171-1-1,23-35-252-2-0,22-38-237-2-2,18-20-152-1-0,19-33-175-0-0,30-39-241-1-0
Rav,First Downs,18,26,19,16,19,20,18,21,6,24,20,20,24,25,23,20,16,10,22
Rav,Fourth Down Conv.,1-4,0-0,0-1,1-1,0-2,0-0,2-6,0-0,0-1,1-2,1-1,1-3,0-0,1-1,1-1,2-4,0-0,0-1,1-2
Rav,Fumbles-Lost,1-1,0-0,1-0,2-1,4-2,0-0,2-0,1-0,1-1,2-1,0-0,1-0,2-0,0-0,0-0,1-1,6-2,1-0,2-0
Rav,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rav,Net Pass Yards,196,237,188,165,210,221,253,138,123,195,136,164,282,145,241,221,134,175,230
Rav,Opp Score,25,24,19,3,17,16,38,24,37,31,34,10,37,7,19,56,10,34,10
Rav,Opp_Cmp-Att-Yd-TD-INT,17-22-169-0-1,27-41-222-2-1,22-31-202-0-0,19-36-121-0-3,18-32-224-1-0,12-21-150-0-1,21-28-357-3-0,25-37-208-2-2,26-33-225-1-0,13-23-223-1-2,16-26-264-2-0,29-44-217-1-1,24-43-316-3-1,25-43-264-1-0,26-46-336-1-5,19-22-340-6-0,15-28-146-1-0,16-22-152-2-0,20-37-272-1-1
Rav,Opp_First Downs,18,19,20,13,17,17,23,22,29,18,22,16,23,16,21,24,13,22,16
Rav,Opp_Fourth Down Conv.,0-0,1-1,0-1,1-1,0-0,0-0,1-1,0-2,1-2,0-0,0-0,1-3,0-0,2-3,1-3,1-1,1-1,2-2,2-2
Rav,Opp_Fumbles-Lost,2-1,0-0,4-2,1-0,1-1,1-1,1-1,1-0,3-2,0-0,1-0,3-3,1-0,2-2,0-0,1-1,2-2,0-0,2-2
Rav,Opp_Net Pass Yards,155,216,178,73,202,104,357,181,217,200,248,193,310,258,308,331,118,123,255
Rav,Opp_Penalties-Yards,13-106,5-30,1-5,7-42,3-30,6-45,4-45,6-70,3-11,7-64,9-110,5-41,7-79,6-47,10-102,7-45,3-26,3-15,8-95
Rav,Opp_Rush-Yds-TDs,32-110-3,15-66-0,37-186-2,25-93-0,30-87-0,19-129-1,27-146-2,32-129-1,41-298-3,24-106-2,31-157-2,19-86-0,26-139-0,17-75-0,18-121-1,32-160-2,25-106-0,42-229-2,16-81-0
Rav,Opp_Sacked-Yards,4-14,1-6,4-24,4-48,3-22,6-46,0-0,2-27,1-8,3-23,3-16,3-24,2-6,1-6,4-28,1-9,4-28,3-29,4-17
Rav,Opp_Third Down Conv.,8-15,10-15,6-16,4-16,6-15,1-9,4-8,5-12,6-13,2-8,6-12,7-15,4-12,3-13,6-14,4-7,4-13,4-12,3-11
Rav,Opp_Time of Possession,30:55,26:56,32:18,30:10,29:46,24:18,30:22,30:21,40:04,25:45,30:37,26:37,27:43,25:41,28:46,30:23,25:06,37:35,22:30
Rav,Opp_Total Yards,265,282,364,166,289,233,503,310,515,306,405,279,449,333,429,491,224,352,336
Rav,Opp_Turnovers,2,1,2,3,1,2,1,2,2,2,0,4,1,2,5,1,2,0,3
Rav,Penalties-Yards,9-88,6-56,6-31,8-92,2-20,9-88,5-57,6-45,5-29,10-55,9-78,5-42,5-34,6-54,6-67,5-37,4-25,11-70,3-30
Rav,Rav Score,9,27,22,28,10,24,6,31,3,33,20,20,31,23,33,19,17,10,17
Rav,Rush-Yds-TDs,23-72-0,37-178-1,35-139-0,33-131-2,25-125-1,39-139-0,14-84-1,29-130-3,15-28-0,36-178-1,23-136-0,35-197-1,30-128-0,42-251-1,26-102-1,25-154-0,39-155-1,14-38-0,32-89-1
Rav,Sacked-Yards,5-46,0-0,5-39,3-21,4-26,1-2,5-31,4-19,4-34,4-18,5-33,2-13,2-12,3-26,2-11,3-16,3-18,0-0,2-11
Rav,Third Down Conv.,7-18,9-14,8-22,4-12,5-14,8-16,5-16,4-11,1-12,8-16,2-11,4-13,6-16,5-12,4-11,6-15,6-15,4-12,8-18
Rav,Time of Possession,29:05,33:04,36:33,29:50,30:14,35:42,29:38,29:39,19:56,34:15,29:23,33:23,34:35,34:19,31:14,29:37,34:54,22:25,37:30
Rav,Total Yards,268,415,327,296,335,360,337,268,151,373,272,361,410,396,343,375,289,213,319
Rav,Turnovers,1,0,0,1,3,1,1,0,2,2,0,0,0,1,0,3,2,0,0
