,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
Rav,Cmp-Att-Yd-TD-INT,9-17-121-1-1,25-34-217-2-1,14-27-64-1-2,31-49-235-1-2,19-26-222-0-0,24-41-180-0-2,27-39-186-1-0,13-22-121-2-0,35-53-277-2-2,21-36-239-0-3,22-37-252-0-2,23-36-269-2-0,44-66-506-2-0,26-42-288-1-0,16-33-215-1-0,25-47-203-2-1
Rav,First Downs,17,24,12,18,19,16,16,19,24,16,20,24,31,23,17,19
Rav,Fourth Down Conv.,0-0,0-0,0-1,0-2,0-0,1-1,1-1,0-0,3-4,1-4,0-0,0-0,0-0,0-1,1-2,1-2
Rav,Fumbles-Lost,1-0,1-1,1-1,3-1,1-0,1-1,3-0,1-0,1-0,4-2,2-1,1-0,1-0,0-0,0-0,0-0
Rav,HomeTeam,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
Rav,Net Pass Yards,111,201,52,206,222,166,144,121,268,190,237,269,486,279,203,194
Rav,Opp Score,0,10,44,26,17,27,24,0,23,23,23,20,38,10,23,31
Rav,Opp_Cmp-Att-Yd-TD-INT,16-31-170-0-4,20-42-300-1-4,20-33-244-4-0,18-30-216-1-1,13-26-159-1-0,9-17-134-2-0,20-31-188-0-1,25-44-176-0-2,19-28-218-2-1,22-28-183-1-1,21-33-163-0-0,27-34-316-1-2,20-35-269-2-1,20-37-146-0-2,29-38-237-2-0,23-44-222-3-0
Rav,Opp_First Downs,14,20,24,22,15,18,17,13,14,14,17,18,26,15,23,22
Rav,Opp_Fourth Down Conv.,0-1,1-2,2-2,0-0,0-1,0-0,0-0,0-2,0-0,1-1,2-2,0-0,0-0,0-1,1-1,1-1
Rav,Opp_Fumbles-Lost,1-1,2-1,0-0,1-0,1-1,4-2,0-0,0-0,0-0,1-0,0-0,2-1,2-0,2-2,2-0,2-1
Rav,Opp_Net Pass Yards,144,293,244,208,137,111,188,151,186,161,155,294,261,136,220,213
Rav,Opp_Penalties-Yards,9-66,11-65,9-70,8-60,3-24,5-44,4-47,7-43,3-39,3-30,7-89,6-45,5-35,6-35,5-25,6-60
Rav,Opp_Rush-Yds-TDs,22-77-0,21-93-0,35-166-1,42-173-2,25-108-1,54-231-0,33-169-1,19-45-0,21-71-1,26-58-1,31-139-2,24-78-2,26-152-3,19-130-1,32-103-0,30-146-0
Rav,Opp_Sacked-Yards,5-26,3-7,0-0,1-8,3-22,4-23,0-0,3-25,3-32,3-22,1-8,3-22,1-8,2-10,1-17,1-9
Rav,Opp_Third Down Conv.,4-13,2-12,3-12,7-15,6-12,5-17,7-15,4-15,3-11,3-14,3-14,4-13,4-10,5-14,6-14,5-15
Rav,Opp_Time of Possession,26:00,26:36,34:03,35:29,26:17,36:45,32:01,28:46,27:38,30:03,29:44,30:09,26:10,23:12,35:48,28:39
Rav,Opp_Total Yards,221,386,410,381,245,342,357,196,257,219,294,372,413,266,323,359
Rav,Opp_Turnovers,5,5,0,1,1,2,1,2,1,1,0,3,1,4,0,1
Rav,Penalties-Yards,11-85,7-45,10-88,6-55,1-5,8-69,3-15,5-40,6-39,5-53,6-36,2-25,6-101,7-57,2-19,5-47
Rav,Rav Score,20,24,7,9,30,24,16,40,20,0,16,44,39,27,16,27
Rav,Rush-Yds-TDs,42-157-1,32-136-1,25-134-0,15-82-0,39-143-2,26-125-0,20-64-0,40-174-0,22-73-0,25-75-0,25-66-1,27-101-2,16-59-2,31-97-1,24-93-0,26-118-1
Rav,Sacked-Yards,1-10,2-16,2-12,4-29,0-0,3-14,5-42,0-0,2-9,6-49,2-15,0-0,3-20,1-9,2-12,1-9
Rav,Third Down Conv.,6-14,4-11,3-11,5-13,7-14,3-18,6-16,3-13,6-16,4-13,6-14,5-12,12-18,7-16,5-13,5-17
Rav,Time of Possession,34:00,33:24,25:57,24:31,33:43,31:09,27:59,31:14,32:22,29:57,30:16,29:51,33:50,36:48,24:12,31:21
Rav,Total Yards,268,337,186,288,365,291,208,295,341,265,303,370,545,376,296,312
Rav,Turnovers,1,2,3,3,0,3,0,0,2,5,3,0,0,0,0,1
