,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18
rav,Cmp-Att-Yd-TD-INT,26-41-273-1-0,30-38-276-1-1,12-15-182-1-0,17-31-182-0-0,26-42-348-4-0,24-35-269-2-0,17-22-281-5-0,23-38-289-2-0,20-34-225-1-1,34-56-428-4-0,16-33-207-1-1,16-22-177-2-0,11-19-118-1-0,21-25-290-5-0,22-33-217-2-1,11-17-184-2-0,18-34-183-1-2,20-30-270-2-0,18-25-254-2-1
rav,First Downs,25,18,24,12,30,18,22,22,20,27,16,19,17,25,19,25,13,11,23
rav,Fourth Down Conv.,1-2,0-1,0-0,1-1,1-1,1-1,1-1,0-2,1-5,2-4,0-0,3-3,1-1,0-0,0-1,0-0,0-2,0-1,1-1
rav,Fumbles-Lost,1-1,1-0,0-0,2-1,2-1,0-0,2-1,0-0,0-0,3-1,2-2,0-0,2-0,1-1,2-1,0-0,0-0,0-0,3-2
rav,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rav,Net Pass Yards,267,233,182,155,345,253,264,263,197,421,205,177,112,275,198,181,174,251,240
rav,Opp Score,27,23,25,35,38,30,31,29,41,35,18,23,19,14,34,2,35,28,27
rav,Opp_Cmp-Att-Yd-TD-INT,20-28-291-1-1,21-34-247-1-1,28-51-379-2-0,14-19-157-2-0,30-39-392-5-1,20-26-323-1-1,31-45-370-3-2,27-41-334-3-0,16-19-280-3-0,25-33-290-4-0,23-36-205-0-1,21-36-218-0-0,23-36-237-2-0,22-37-191-1-1,15-23-207-3-1,18-32-190-0-1,16-32-217-2-0,16-21-175-2-0,16-22-127-0-0
rav,Opp_First Downs,21,21,26,22,23,28,28,22,25,20,18,19,24,19,25,10,20,29,20
rav,Opp_Fourth Down Conv.,0-0,1-1,0-1,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-1,2-2,1-2,3-5,0-0,0-2,0-3,0-0,1-1
rav,Opp_Fumbles-Lost,0-0,0-0,2-1,2-1,0-0,1-0,1-0,1-1,2-0,0-0,0-0,1-0,3-0,0-0,3-0,1-0,0-0,1-0,0-0
rav,Opp_Net Pass Yards,281,232,361,156,371,308,356,321,269,290,181,202,206,181,198,153,217,165,126
rav,Opp_Penalties-Yards,6-45,11-109,6-44,8-79,4-24,3-33,8-75,7-74,6-53,11-81,7-45,7-62,4-20,6-44,2-10,5-49,10-83,3-14,1-10
rav,Opp_Rush-Yds-TDs,20-72-2,27-151-1,16-51-1,34-271-2,23-71-0,37-176-2,30-125-1,23-80-0,34-127-2,25-99-1,34-122-0,20-83-2,32-166-0,20-55-1,38-220-0,17-58-0,35-220-2,50-299-2,36-147-3
rav,Opp_Sacked-Yards,2-10,2-15,3-18,1-1,3-21,2-15,3-14,2-13,1-11,0-0,4-24,4-16,3-31,3-10,1-9,5-37,0-0,1-10,1-1
rav,Opp_Third Down Conv.,4-9,3-11,7-13,5-9,8-14,6-10,11-17,8-15,3-8,7-12,4-16,5-14,6-15,2-12,4-10,4-15,7-14,10-15,5-11
rav,Opp_Time of Possession,26:17,29:17,25:15,31:03,32:42,36:08,35:05,31:06,31:51,28:25,36:22,29:03,33:51,31:02,32:25,24:39,31:40,39:33,31:44
rav,Opp_Total Yards,353,383,412,427,442,484,481,401,396,389,303,285,372,236,418,211,437,464,273
rav,Opp_Turnovers,1,1,1,1,1,1,2,1,0,0,1,0,0,1,1,1,0,0,0
rav,Penalties-Yards,7-64,3-15,13-105,4-38,5-21,6-46,9-85,7-53,9-71,3-23,12-80,9-102,8-55,12-112,5-29,3-30,3-20,7-41,5-43
rav,Rush-Yds-TDs,32-185-1,17-27-1,45-274-3,23-81-1,34-175-1,18-52-0,30-244-0,21-124-1,30-122-0,16-49-1,19-124-1,37-212-2,33-140-2,31-170-0,24-117-0,43-251-2,19-56-0,11-29-0,30-176-1
rav,Sacked-Yards,1-6,5-43,0-0,3-27,1-3,3-16,2-17,3-26,4-28,3-7,2-2,1-0,2-6,3-15,3-19,1-3,2-9,4-19,2-14
rav,Third Down Conv.,7-14,4-12,4-9,3-13,10-15,4-12,3-8,2-10,6-14,8-16,4-11,8-15,4-12,9-11,4-10,4-9,4-12,5-11,7-10
rav,Time of Possession,33:43,30:43,34:45,28:57,33:45,23:52,24:55,28:54,28:09,31:35,23:38,30:57,26:09,28:58,27:35,35:21,28:20,20:27,28:16
rav,Total Yards,452,260,456,236,520,305,508,387,319,470,329,389,252,445,315,432,230,280,416
rav,Turnovers,1,1,0,1,1,0,1,0,1,1,3,0,0,1,2,0,2,0,3
rav,rav Score,20,26,28,10,41,23,41,24,10,34,16,30,24,35,17,31,10,14,25
