,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
nor,Cmp-Att-Yd-TD-INT,27-37-291-1-0,30-39-447-3-0,22-29-220-3-0,29-41-268-2-0,25-52-312-3-3,27-38-331-1-2,14-32-164-0-1,15-28-135-1-0,18-25-184-0-0,22-32-322-3-0,22-32-246-1-0,17-28-183-2-0,26-35-271-2-1,19-39-179-1-2,22-36-288-1-1,22-30-245-1-0,24-41-349-2-0,25-41-294-3-2
nor,First Downs,19,29,21,22,18,25,17,14,32,24,14,16,18,19,15,18,24,23
nor,Fourth Down Conv.,0-0,0-0,0-0,1-2,0-1,1-1,0-1,0-0,2-2,2-2,1-1,0-2,1-1,0-1,1-2,0-1,1-2,1-1
nor,Fumbles-Lost,0-0,0-0,0-0,2-0,3-2,1-0,0-0,1-1,1-1,1-0,1-0,3-1,0-0,0-0,1-1,1-1,1-0,1-0
nor,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
nor,Net Pass Yards,284,436,213,261,281,324,150,113,184,300,223,167,256,170,264,231,306,278
nor,Opp Score,29,20,13,0,52,17,20,30,10,34,26,31,20,31,23,31,31,29
nor,Opp_Cmp-Att-Yd-TD-INT,27-32-346-3-0,27-45-356-2-0,19-33-184-0-3,20-28-164-0-1,20-30-186-2-2,12-25-87-0-1,23-28-299-0-0,22-27-263-2-0,16-28-135-1-1,29-41-385-2-1,28-44-354-2-1,25-34-269-1-0,15-27-221-1-3,26-36-281-2-1,21-28-239-1-1,28-51-363-1-3,23-33-376-2-1,25-40-318-1-1
nor,Opp_First Downs,23,20,18,11,19,16,19,21,10,27,24,19,26,23,15,28,21,24
nor,Opp_Fourth Down Conv.,0-0,1-2,0-0,0-1,1-1,0-0,0-0,0-0,0-1,1-1,0-0,1-1,0-0,1-1,1-1,1-1,0-1,0-0
nor,Opp_Fumbles-Lost,1-0,1-0,2-0,2-0,2-1,2-0,2-2,4-2,1-0,0-0,1-0,1-1,1-0,2-2,1-0,1-0,1-0,0-0
nor,Opp_Net Pass Yards,341,348,156,128,186,79,286,256,129,375,327,252,211,281,229,345,369,308
nor,Opp_Penalties-Yards,5-50,5-35,1-5,11-90,13-118,8-54,7-51,4-28,8-56,7-54,9-90,7-68,4-35,8-92,3-30,2-15,7-96,4-30
nor,Opp_Rush-Yds-TDs,30-129-0,17-81-0,22-132-1,15-58-0,37-193-2,24-181-2,30-101-2,32-151-1,15-69-0,23-160-1,25-88-0,28-148-3,37-132-1,28-131-2,31-86-1,28-110-2,22-41-2,29-95-2
nor,Opp_Sacked-Yards,1-5,1-8,4-28,4-36,0-0,1-8,2-13,1-7,2-6,2-10,4-27,2-17,1-10,0-0,1-10,2-18,1-7,2-10
nor,Opp_Third Down Conv.,9-14,4-12,7-14,1-8,2-12,4-11,2-9,7-13,2-11,4-12,3-14,6-15,7-12,3-10,3-13,13-18,2-8,10-17
nor,Opp_Time of Possession,31:16,24:54,28:51,25:32,32:11,23:04,31:23,32:18,18:37,30:24,35:26,33:21,34:41,29:10,33:48,31:33,26:11,33:17
nor,Opp_Total Yards,470,429,288,186,379,260,387,407,198,535,415,400,343,412,315,455,410,403
nor,Opp_Turnovers,0,0,3,1,3,1,2,2,1,1,1,1,3,3,1,3,1,1
nor,Penalties-Yards,6-52,9-66,1-10,8-71,7-46,7-80,4-31,7-50,4-41,9-67,7-112,6-54,11-87,8-50,10-91,7-38,2-18,7-97
nor,Rush-Yds-TDs,21-60-0,31-119-1,27-149-1,28-86-0,19-66-0,36-161-2,31-157-1,25-87-0,48-298-6,33-156-1,17-123-1,23-112-1,15-50-0,28-124-1,20-67-0,26-92-1,26-107-0,24-80-0
nor,Sacked-Yards,1-7,2-11,1-7,1-7,5-31,1-7,2-14,4-22,0-0,2-22,3-23,2-16,2-15,1-9,5-24,2-14,4-43,2-16
nor,Third Down Conv.,4-11,6-12,6-12,6-13,9-18,8-15,8-17,4-13,6-12,4-12,3-13,3-10,3-10,5-15,2-13,6-12,8-17,2-9
nor,Time of Possession,28:44,35:06,31:09,34:28,27:49,36:56,28:37,27:42,41:23,32:11,24:34,26:39,25:19,30:50,26:12,28:27,33:49,26:43
nor,Total Yards,344,555,362,347,347,485,307,200,482,456,346,279,306,294,331,323,413,358
nor,Turnovers,0,0,0,0,5,2,1,1,1,0,0,1,1,2,2,1,0,2
nor,nor Score,19,36,34,20,38,26,12,10,47,31,20,21,17,19,13,24,26,24
