,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
nor,Cmp-Att-Yd-TD-INT,23-34-269-2-0,18-34-190-1-0,25-41-353-1-2,26-39-286-1-1,16-25-268-3-0,28-37-300-3-0,32-49-409-4-3,23-39-173-0-1,12-22-133-1-0,17-28-174-1-2,16-28-223-2-0,18-30-204-0-0,21-29-250-1-0,13-26-97-0-0,8-15-92-0-1,20-24-229-0-1,5-15-43-0-2
nor,First Downs,18,13,19,23,15,21,25,13,23,10,17,14,14,21,14,19,14
nor,Fourth Down Conv.,0-0,0-1,0-0,1-1,0-1,0-0,1-1,2-3,0-0,0-1,1-2,0-1,0-0,0-1,0-0,1-1,0-0
nor,Fumbles-Lost,1-1,1-1,3-1,0-0,2-1,1-1,0-0,0-0,1-0,2-0,0-0,2-2,2-0,1-1,2-0,0-0,3-0
nor,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
nor,Net Pass Yards,234,188,342,263,245,273,409,145,131,157,188,197,232,89,92,184,32
nor,Opp Score,26,10,22,25,39,26,42,24,13,20,27,13,17,21,10,10,7
nor,Opp_Cmp-Att-Yd-TD-INT,20-33-215-0-0,25-40-236-1-3,12-25-170-1-0,20-28-236-1-0,17-25-209-2-1,19-36-178-1-0,20-29-204-1-0,23-31-231-2-0,20-30-223-1-1,18-30-199-0-0,22-28-274-3-0,26-37-222-1-0,36-54-281-2-1,13-19-231-3-0,15-31-135-0-1,18-32-274-1-1,15-25-171-1-0
nor,Opp_First Downs,26,18,12,19,26,22,21,22,13,28,19,21,25,17,15,11,16
nor,Opp_Fourth Down Conv.,0-0,0-1,0-1,1-1,0-0,0-1,1-1,0-1,1-1,1-1,0-0,1-2,0-0,0-1,1-3,0-2,0-1
nor,Opp_Fumbles-Lost,3-2,4-2,0-0,2-2,2-1,0-0,2-0,0-0,0-0,1-0,0-0,0-0,1-1,2-1,0-0,2-0,1-1
nor,Opp_Net Pass Yards,215,208,148,227,203,171,189,231,195,162,235,221,274,214,125,246,161
nor,Opp_Penalties-Yards,8-55,9-60,4-40,10-102,6-57,4-34,4-20,5-27,5-40,3-40,2-15,7-64,4-39,6-46,4-45,8-49,2-15
nor,Opp_Rush-Yds-TDs,38-201-2,20-100-0,31-145-0,27-111-2,48-235-3,34-228-1,29-137-2,32-136-1,15-48-0,43-217-2,24-88-0,29-96-0,20-76-0,34-134-0,34-124-1,15-67-0,32-143-0
nor,Opp_Sacked-Yards,0-0,6-28,3-22,2-9,1-6,1-7,2-15,0-0,4-28,6-37,4-39,1-1,1-7,2-17,2-10,6-28,1-10
nor,Opp_Third Down Conv.,5-13,4-13,4-14,4-10,8-14,8-17,3-10,7-12,3-11,9-17,4-11,5-13,8-15,5-11,7-16,3-12,4-13
nor,Opp_Time of Possession,33:44,30:18,30:10,27:47,37:35,32:14,30:58,34:51,22:13,38:56,31:07,34:50,30:05,29:04,30:46,22:56,29:05
nor,Opp_Total Yards,416,308,293,338,438,399,326,367,243,379,323,317,350,348,249,313,304
nor,Opp_Turnovers,2,5,0,2,2,0,0,0,1,0,0,0,2,1,1,1,1
nor,Penalties-Yards,8-99,8-101,7-58,5-35,12-85,3-30,8-49,6-59,5-31,10-74,6-55,6-46,6-84,3-30,2-15,3-20,2-20
nor,Rush-Yds-TDs,19-151-1,30-72-0,22-84-1,25-81-1,21-151-1,14-75-1,22-85-0,13-38-0,40-188-2,15-29-0,30-148-0,22-63-0,25-66-0,39-231-2,39-152-2,35-129-1,41-171-0
nor,Sacked-Yards,4-35,1-2,1-11,3-23,3-23,3-27,0-0,4-28,3-2,2-17,4-35,1-7,2-18,4-8,0-0,7-45,2-11
nor,Third Down Conv.,4-13,5-17,5-13,5-14,1-9,6-10,6-13,5-14,9-15,3-12,5-14,4-11,5-14,9-16,7-15,7-16,8-14
nor,Time of Possession,26:16,29:42,29:50,32:13,22:25,27:46,29:02,25:09,37:47,21:04,28:53,25:10,29:55,30:56,29:14,37:04,30:55
nor,Total Yards,385,260,426,344,396,348,494,183,319,186,336,260,298,320,244,313,203
nor,Turnovers,1,1,3,1,1,1,3,1,0,2,0,2,0,1,1,1,2
nor,nor Score,27,20,14,28,32,30,34,0,27,10,20,0,16,18,17,20,10
