,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17
Sea,Cmp-Att-Yd-TD-INT,35-51-418-2-0,29-35-300-3-0,19-27-177-2-0,22-28-240-1-0,29-49-395-1-1,23-33-295-2-0,9-20-143-0-0,14-20-182-2-0,29-44-335-2-0,24-34-232-1-1,13-25-200-1-1,22-38-276-2-1,22-36-245-0-1,20-27-286-2-1,15-27-167-1-0,18-22-285-0-0,18-30-325-1-0,21-31-277-1-0
Sea,First Downs,22,25,15,21,24,29,14,18,29,19,14,17,16,21,21,18,16,23
Sea,Fourth Down Conv.,0-1,1-1,1-1,0-0,0-0,0-0,1-1,0-0,1-1,0-0,0-0,0-1,1-2,1-1,1-1,0-0,0-0,1-1
Sea,Fumbles-Lost,4-3,2-2,1-1,3-0,1-1,2-1,2-0,0-0,1-1,5-3,2-1,3-2,2-0,0-0,0-0,1-0,2-0,0-0
Sea,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sea,Net Pass Yards,395,274,177,225,395,284,141,171,319,189,174,276,202,274,159,270,318,265
Sea,Opp Score,21,26,27,10,30,28,16,20,40,24,9,37,28,24,13,21,9,28
Sea,Opp_Cmp-Att-Yd-TD-INT,14-20-195-2-0,20-34-187-2-1,32-50-406-2-0,22-32-241-0-1,17-23-268-4-0,22-37-249-1-3,20-41-241-1-1,39-52-460-1-1,29-43-378-5-0,24-46-248-1-1,33-45-256-1-2,21-31-240-2-1,22-32-293-2-2,25-42-277-1-3,16-31-169-1-0,25-40-233-2-0,19-28-177-0-0,16-27-243-2-0
Sea,Opp_First Downs,12,17,26,20,25,21,20,30,31,21,23,24,26,28,13,27,20,22
Sea,Opp_Fourth Down Conv.,0-0,0-0,1-4,0-0,1-1,2-3,0-0,1-1,0-0,0-1,0-1,1-1,0-0,0-0,0-1,1-3,0-2,0-0
Sea,Opp_Fumbles-Lost,1-1,1-0,1-1,0-0,1-1,1-1,1-1,2-2,2-1,2-2,4-3,1-1,0-0,2-0,2-1,1-0,3-0,0-0
Sea,Opp_Net Pass Yards,160,180,406,206,262,249,241,441,347,215,238,226,293,269,133,223,162,235
Sea,Opp_Penalties-Yards,8-55,5-78,7-53,7-44,5-45,9-83,2-18,5-40,4-45,5-40,2-15,1-30,3-20,2-15,7-55,5-29,7-45,4-30
Sea,Opp_Rush-Yds-TDs,25-72-1,16-81-1,26-108-2,23-115-1,43-167-0,24-157-3,26-106-0,17-69-1,22-145-0,27-87-0,23-106-0,43-218-2,35-162-2,29-145-2,20-91-0,30-125-1,26-120-0,30-109-2
Sea,Opp_Sacked-Yards,4-35,1-7,0-0,4-35,1-6,0-0,1-0,2-19,3-31,5-33,3-18,2-14,0-0,1-8,5-36,1-10,7-15,2-8
Sea,Opp_Third Down Conv.,4-12,3-11,5-14,3-9,3-10,3-8,10-17,3-9,2-8,6-15,4-12,7-15,7-13,5-11,1-12,8-14,3-11,9-14
Sea,Opp_Time of Possession,24:10,24:14,31:33,26:36,35:18,26:19,30:06,30:47,28:13,34:41,31:55,39:45,31:04,28:42,25:07,32:56,33:15,29:29
Sea,Opp_Total Yards,232,261,514,321,429,406,347,510,492,302,344,444,455,414,224,348,282,344
Sea,Opp_Turnovers,1,1,1,1,1,4,2,3,1,3,5,2,2,3,1,0,0,0
Sea,Penalties-Yards,7-57,10-93,11-70,7-65,6-45,10-65,8-75,9-60,10-82,9-75,12-90,3-30,8-64,5-40,5-47,8-57,11-114,6-47
Sea,Rush-Yds-TDs,14-34-0,33-151-1,23-88-1,27-115-1,18-82-2,38-170-2,35-199-1,33-151-1,26-99-2,34-147-1,26-174-1,14-78-1,21-106-0,34-154-2,40-253-2,24-128-3,26-64-1,24-110-2
Sea,Sacked-Yards,5-23,4-26,0-0,4-15,0-0,3-11,1-2,2-11,2-16,5-43,6-26,0-0,5-43,2-12,2-8,2-15,1-7,5-12
Sea,Sea Score,20,28,33,27,29,32,30,27,34,27,17,30,12,30,27,26,17,23
Sea,Third Down Conv.,6-15,5-13,3-11,4-10,3-11,6-13,5-13,3-9,6-14,7-15,5-14,5-10,5-14,4-10,5-15,4-8,8-15,3-9
Sea,Time of Possession,35:50,35:46,28:27,33:24,24:42,33:41,29:54,29:13,35:25,35:19,28:05,20:15,28:56,31:18,34:53,27:04,26:45,30:31
Sea,Total Yards,429,425,265,340,477,454,340,322,418,336,348,354,308,428,412,398,382,375
Sea,Turnovers,3,2,1,0,2,1,0,0,1,4,2,3,1,1,0,0,0,0
