,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
Sea,Cmp-Att-Yd-TD-INT,24-38-334-0-0,32-41-328-2-0,34-58-361-2-0,15-26-173-1-0,27-41-326-0-2,20-34-150-0-0,16-32-257-1-2,13-28-157-0-1,29-44-312-3-0,24-40-236-1-1,21-31-209-1-1,23-41-334-3-1,22-31-269-2-2,17-31-143-0-2,25-36-227-2-0,18-24-274-0-0,16-28-189-2-0
Sea,First Downs,27,28,23,13,24,15,23,6,16,16,23,25,17,23,21,25,18
Sea,Fourth Down Conv.,1-1,1-1,0-1,0-2,0-2,0-3,0-1,0-1,1-1,2-2,0-0,0-3,0-1,1-1,0-0,2-3,0-0
Sea,Fumbles-Lost,0-0,0-0,0-0,0-0,0-0,2-0,1-1,1-1,1-1,0-0,1-0,0-0,0-0,0-0,1-0,2-0,0-0
Sea,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sea,Net Pass Yards,334,311,334,160,297,122,230,123,288,223,208,334,254,143,215,266,189
Sea,Opp Score,13,31,37,3,17,20,24,37,29,17,13,41,28,20,17,23,20
Sea,Opp_Cmp-Att-Yd-TD-INT,16-26-112-1-0,28-35-323-3-1,23-36-296-1-1,27-34-203-0-2,24-35-185-2-1,18-24-219-2-1,23-37-254-2-2,26-33-225-1-0,31-47-369-2-0,17-31-190-1-1,18-27-180-0-1,29-41-299-3-0,19-27-368-2-1,22-33-208-1-0,19-27-164-1-0,23-33-290-1-0,22-30-262-1-0
Sea,Opp_First Downs,13,25,27,17,15,18,17,29,27,20,14,33,19,16,23,17,24
Sea,Opp_Fourth Down Conv.,0-0,1-3,1-1,2-4,0-0,0-0,1-1,1-2,1-1,0-1,0-1,1-2,0-0,0-0,1-1,0-0,2-2
Sea,Opp_Fumbles-Lost,0-0,2-2,0-0,3-1,0-0,2-2,1-0,3-2,0-0,0-0,1-1,0-0,1-1,0-0,1-0,2-1,0-0
Sea,Opp_Net Pass Yards,95,316,279,136,168,203,248,217,369,185,132,275,354,197,125,281,260
Sea,Opp_Penalties-Yards,7-55,4-24,8-82,6-45,5-43,5-32,7-43,3-11,8-50,9-92,5-39,9-127,5-30,5-35,10-97,4-25,5-27
Sea,Opp_Rush-Yds-TDs,18-85-0,27-102-1,33-146-2,29-112-0,15-46-0,32-115-0,17-114-1,41-298-3,26-120-0,27-82-1,21-88-0,34-136-1,23-173-2,24-100-1,31-162-1,15-88-1,38-206-1
Sea,Opp_Sacked-Yards,2-17,2-7,2-17,11-67,3-17,2-16,1-6,1-8,1-0,1-5,6-48,4-24,3-14,2-11,6-39,1-9,1-2
Sea,Opp_Third Down Conv.,2-9,6-11,3-13,6-16,3-11,7-13,4-12,6-13,4-14,2-9,3-11,8-14,6-11,6-14,6-12,3-9,5-13
Sea,Opp_Time of Possession,20:37,30:48,30:28,36:00,25:59,30:32,23:20,40:04,30:27,27:54,24:30,36:27,29:15,27:02,33:51,22:27,36:03
Sea,Opp_Total Yards,180,418,425,248,214,318,362,515,489,267,220,411,527,297,287,369,466
Sea,Opp_Turnovers,0,3,1,3,1,3,2,2,0,1,2,0,2,0,0,1,0
Sea,Penalties-Yards,7-53,9-80,13-82,8-74,7-64,7-59,4-25,5-29,6-39,12-130,3-20,10-130,5-39,5-40,6-47,2-10,0-0
Sea,Rush-Yds-TDs,40-92-3,25-82-2,14-44-1,23-121-1,25-87-1,25-127-1,40-155-1,15-28-0,14-68-0,21-68-0,33-169-3,22-72-2,20-70-0,38-178-2,20-58-0,46-202-3,25-138-0
Sea,Sacked-Yards,0-0,1-17,3-27,2-13,4-29,4-28,3-27,4-34,3-24,2-13,1-1,1-0,4-15,0-0,3-12,1-8,0-0
Sea,Sea Score,30,37,27,24,13,10,20,3,26,16,31,35,16,17,20,30,21
Sea,Third Down Conv.,11-17,5-11,10-19,3-12,5-12,5-15,6-15,1-12,7-15,5-15,5-11,9-14,2-11,9-16,7-13,6-13,6-12
Sea,Time of Possession,39:23,33:31,29:32,24:00,34:01,29:28,36:40,19:56,29:33,32:06,35:30,23:33,30:45,32:58,26:09,37:33,23:57
Sea,Total Yards,426,393,378,281,384,249,385,151,356,291,377,406,324,321,273,468,327
Sea,Turnovers,0,0,0,0,2,0,3,2,1,1,1,1,2,2,0,0,0
