,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
Sea,Cmp-Att-Yd-TD-INT,14-27-158-0-0,23-39-198-1-0,29-49-373-4-0,21-26-295-2-2,24-38-198-1-2,19-39-134-1-0,19-30-402-4-3,24-45-297-2-2,24-47-273-1-0,19-27-195-2-0,24-40-219-1-1,29-45-348-1-1,18-27-268-2-0,15-23-124-2-1,21-34-181-0-2,15-34-145-1-1
Sea,First Downs,12,21,24,22,15,14,25,22,24,22,16,25,20,19,21,19
Sea,Fourth Down Conv.,0-0,1-1,1-2,1-1,0-0,0-1,1-1,0-0,1-3,0-0,1-1,2-4,0-0,1-3,1-1,0-0
Sea,Fumbles-Lost,1-1,2-0,3-0,0-0,0-0,1-1,1-0,1-0,1-1,2-1,1-0,2-1,1-1,2-0,1-1,1-0
Sea,HomeTeam,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False
Sea,Net Pass Yards,135,181,364,283,179,131,367,289,256,190,196,327,268,108,154,143
Sea,Opp Score,17,9,33,18,10,24,41,17,22,31,24,24,24,7,21,24
Sea,Opp_Cmp-Att-Yd-TD-INT,28-42-311-1-1,15-27-99-0-1,20-32-225-2-0,16-29-157-1-1,22-47-288-0-2,27-39-334-3-0,26-41-452-4-1,21-31-247-0-0,22-32-238-2-0,27-43-254-2-1,20-34-228-2-1,20-31-227-3-0,17-31-271-3-3,14-30-142-1-0,14-21-93-2-0,18-29-221-2-0
Sea,Opp_First Downs,26,11,21,16,21,26,21,16,14,26,20,20,17,11,15,13
Sea,Opp_Fourth Down Conv.,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,1-2,0-0,0-0,0-1,0-0,0-0,1-1
Sea,Opp_Fumbles-Lost,1-0,0-0,0-0,2-1,4-3,1-1,1-0,2-1,1-0,1-1,1-0,0-0,0-0,3-2,1-0,2-0
Sea,Opp_Net Pass Yards,286,89,225,139,275,321,446,193,212,224,228,209,260,71,60,195
Sea,Opp_Penalties-Yards,8-70,6-66,5-45,5-31,5-45,15-110,10-120,7-62,12-108,9-106,6-35,5-46,6-73,9-60,11-142,8-100
Sea,Opp_Rush-Yds-TDs,28-84-1,19-159-0,35-195-1,25-98-1,22-100-1,31-104-0,21-33-0,23-51-2,23-75-0,23-136-1,30-90-1,25-101-0,24-141-0,17-78-0,30-76-0,22-101-0
Sea,Opp_Sacked-Yards,4-25,2-10,0-0,3-18,2-13,1-13,2-6,6-54,5-26,3-30,0-0,2-18,2-11,7-71,3-33,3-26
Sea,Opp_Third Down Conv.,9-16,2-12,4-14,6-14,8-15,6-13,5-12,4-13,3-13,5-12,5-13,6-12,2-9,4-14,4-11,1-12
Sea,Opp_Time of Possession,39:13,23:02,32:41,27:48,28:44,35:26,29:38,27:41,30:53,29:39,29:31,28:06,26:59,23:14,27:10,27:44
Sea,Opp_Total Yards,370,248,420,237,375,425,479,244,287,360,318,310,401,149,136,296
Sea,Opp_Turnovers,1,1,0,2,5,1,1,1,0,2,1,0,3,2,0,0
Sea,Penalties-Yards,8-50,9-71,11-98,6-45,7-40,7-28,8-93,16-138,9-58,7-69,7-74,7-64,7-48,3-25,7-75,4-25
Sea,Rush-Yds-TDs,18-90-0,37-131-0,22-69-0,33-194-2,25-62-0,17-46-0,34-142-1,28-148-0,24-34-1,30-89-1,24-84-0,26-98-0,39-156-1,43-244-3,30-128-0,33-116-1
Sea,Sacked-Yards,3-23,3-17,1-9,3-12,3-19,1-3,5-35,2-8,2-17,1-5,3-23,3-21,0-0,2-16,4-27,1-2
Sea,Sea Score,9,12,27,46,16,7,38,14,16,34,13,10,30,42,12,26
Sea,Third Down Conv.,3-12,8-19,4-14,10-15,8-17,2-12,2-10,5-14,6-15,9-14,5-16,8-16,4-13,6-16,6-13,4-14
Sea,Time of Possession,20:47,36:58,27:19,32:12,31:16,24:34,30:22,32:19,29:07,30:21,30:29,31:54,33:01,36:46,32:50,32:16
Sea,Total Yards,225,312,433,477,241,177,509,437,290,279,280,425,424,352,282,259
Sea,Turnovers,1,0,0,2,2,1,3,2,1,1,1,2,1,1,3,1
