,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16
Sea,Cmp-Att-Yd-TD-INT,18-25-171-1-1,33-44-327-1-0,26-34-289-1-2,38-56-395-1-1,28-40-284-1-0,30-52-312-1-2,19-29-242-2-0,21-29-212-0-1,21-34-363-3-3,21-28-159-1-1,24-37-285-0-1,21-39-185-2-1,24-30-233-1-0,20-27-229-2-0,31-43-314-3-2,16-28-122-0-1,20-27-223-4-0
Sea,First Downs,19,18,21,38,17,22,20,17,20,21,15,17,18,21,23,11,18
Sea,Fourth Down Conv.,0-0,1-2,0-0,1-2,0-2,2-3,1-1,0-1,2-3,0-0,0-1,1-3,0-0,0-1,1-1,1-2,0-0
Sea,Fumbles-Lost,1-1,0-0,1-0,1-1,1-1,2-1,1-0,3-1,2-0,0-0,0-0,2-1,1-0,2-1,0-0,2-0,0-0
Sea,HomeTeam,True,False,True,False,True,True,False,True,True,True,False,True,False,False,True,True,False
Sea,Net Pass Yards,158,312,270,383,231,306,236,201,317,146,249,169,233,229,302,76,210
Sea,Opp Score,20,20,3,42,29,36,14,31,26,20,16,26,18,13,27,6,25
Sea,Opp_Cmp-Att-Yd-TD-INT,26-42-138-0-2,15-27-149-1-0,20-32-186-0-0,19-19-299-3-0,23-34-257-2-0,18-28-255-3-0,25-36-246-1-2,24-34-283-2-1,25-44-298-2-1,25-32-221-0-1,22-31-254-1-1,20-31-206-1-0,25-38-259-2-2,20-33-173-0-2,22-35-246-3-0,17-23-160-0-0,27-41-334-2-1
Sea,Opp_First Downs,13,19,13,21,24,21,22,29,22,19,17,16,21,14,19,12,20
Sea,Opp_Fourth Down Conv.,1-1,0-0,0-3,0-0,0-1,0-0,2-2,1-1,0-0,1-2,0-0,1-2,1-1,0-0,1-1,0-0,2-3
Sea,Opp_Fumbles-Lost,2-1,1-0,3-0,0-0,2-1,0-0,1-1,1-0,3-0,1-0,1-0,3-2,1-0,0-0,1-0,3-1,0-0
Sea,Opp_Net Pass Yards,132,125,140,273,245,255,214,281,298,195,220,175,235,128,217,143,319
Sea,Opp_Penalties-Yards,8-60,3-42,11-85,12-101,2-20,5-34,9-72,13-85,8-83,4-20,5-51,5-50,6-49,5-108,7-70,3-25,2-10
Sea,Opp_Rush-Yds-TDs,25-99-1,36-185-1,18-65-0,28-116-3,34-175-0,33-228-1,32-155-1,34-164-2,24-68-0,23-94-2,25-65-0,23-84-1,23-121-0,16-80-1,24-81-0,25-122-0,21-84-0
Sea,Opp_Sacked-Yards,2-6,3-24,6-46,3-26,3-12,0-0,3-32,1-2,0-0,4-26,5-34,3-31,2-24,7-45,3-29,3-17,3-15
Sea,Opp_Third Down Conv.,5-18,6-16,1-12,3-6,7-16,5-12,8-15,8-15,3-13,6-13,7-14,4-13,4-12,4-13,3-12,5-13,5-14
Sea,Opp_Time of Possession,31:14,35:42,28:32,25:56,37:22,33:03,31:08,38:03,32:10,26:35,33:13,31:21,26:58,27:02,30:41,29:40,31:10
Sea,Opp_Total Yards,231,310,205,389,420,483,369,445,366,289,285,259,356,208,298,265,403
Sea,Opp_Turnovers,3,0,0,0,1,0,3,1,1,1,1,2,2,2,0,1,1
Sea,Penalties-Yards,6-41,6-50,11-92,8-70,6-30,9-69,5-42,11-82,12-95,9-54,5-60,12-83,9-62,5-27,11-77,4-23,3-23
Sea,Rush-Yds-TDs,33-146-2,19-46-1,23-100-2,19-133-3,11-102-0,20-52-1,26-103-1,17-32-1,33-107-0,27-131-1,14-49-0,21-89-0,31-176-2,34-140-1,15-59-0,23-103-0,24-126-0
Sea,Sacked-Yards,2-13,3-15,3-19,3-12,7-53,1-6,1-6,1-11,7-46,2-13,5-36,2-16,0-0,0-0,2-12,7-46,2-13
Sea,Sea Score,26,23,24,29,20,24,34,10,20,17,6,21,30,30,24,3,30
Sea,Third Down Conv.,4-12,7-15,3-11,5-10,3-11,7-16,4-11,1-7,4-15,7-11,3-12,5-13,7-15,5-12,2-10,5-15,6-11
Sea,Time of Possession,28:46,29:41,31:28,34:04,22:38,26:57,28:52,21:57,32:53,33:25,26:47,28:39,33:02,32:58,29:19,30:20,28:50
Sea,Total Yards,304,358,370,516,333,358,339,233,424,277,298,258,409,369,361,179,336
Sea,Turnovers,2,0,2,2,1,3,0,2,3,1,1,2,0,1,2,1,0
