,,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15
Pit,Cmp-Att-Yd-TD-INT,27-47-276-0-1,29-35-300-3-0,14-27-174-2-1,21-37-171-0-1,19-28-161-1-3,15-20-132-1-1,21-34-190-2-2,21-31-227-3-1,22-42-243-0-3,23-44-221-1-4,13-27-203-1-1,18-34-196-1-1,16-19-152-1-0,13-25-139-1-1,25-37-213-1-2,9-25-95-0-0
Pit,First Downs,15,25,11,16,22,18,16,22,16,18,16,19,20,17,16,10
Pit,Fourth Down Conv.,1-3,1-1,0-1,1-3,1-1,0-0,0-2,2-3,0-2,0-3,0-0,1-2,0-1,1-1,0-1,0-1
Pit,Fumbles-Lost,2-0,2-2,2-1,2-1,1-0,1-0,3-2,4-2,4-1,1-0,0-0,1-1,3-2,2-1,2-0,3-2
Pit,HomeTeam,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pit,Net Pass Yards,276,274,160,102,139,132,170,189,218,178,179,173,135,131,185,77
Pit,Opp Score,33,26,24,27,23,17,27,26,17,21,10,20,17,10,16,28
Pit,Opp_Cmp-Att-Yd-TD-INT,25-37-373-3-0,20-34-187-2-1,23-32-277-1-2,27-31-260-2-0,21-31-203-1-1,26-44-320-2-2,20-36-251-2-1,26-35-191-1-1,22-38-242-1-0,17-32-193-2-0,12-26-192-1-0,14-21-212-1-1,20-30-194-2-3,23-38-202-1-4,16-26-183-1-0,11-21-96-0-1
Pit,Opp_First Downs,24,17,26,20,18,23,21,17,15,17,11,18,17,15,14,19
Pit,Opp_Fourth Down Conv.,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-1,1-1,0-0,0-0,0-0,1-3,0-1,1-1,1-2
Pit,Opp_Fumbles-Lost,0-0,1-0,4-3,1-1,2-1,1-1,1-0,2-1,4-2,0-0,4-2,1-0,1-0,4-1,3-1,1-1
Pit,Opp_Net Pass Yards,366,180,268,260,192,316,236,183,231,189,158,199,165,178,174,81
Pit,Opp_Penalties-Yards,7-55,5-78,5-71,4-37,11-76,8-74,9-70,5-70,13-107,8-121,7-79,10-65,7-75,6-30,3-30,6-35
Pit,Opp_Rush-Yds-TDs,29-99-0,16-81-1,40-168-2,25-66-1,19-77-1,14-32-0,29-158-1,25-90-0,27-42-0,35-104-1,21-86-0,32-124-1,22-71-0,14-51-0,32-85-0,44-223-1
Pit,Opp_Sacked-Yards,1-7,1-7,1-9,0-0,1-11,1-4,2-15,1-8,3-11,1-4,4-34,1-13,5-29,4-24,2-9,3-15
Pit,Opp_Third Down Conv.,7-14,3-11,6-11,3-9,3-9,7-12,6-13,5-13,5-16,6-16,2-12,4-10,4-11,5-13,4-15,7-16
Pit,Opp_Time of Possession,32:33,24:14,36:17,29:46,25:34,25:55,35:18,29:28,31:40,33:58,25:20,27:54,28:06,27:40,28:28,39:27
Pit,Opp_Total Yards,465,261,436,326,269,348,394,273,273,293,244,323,236,229,259,304
Pit,Opp_Turnovers,0,1,5,1,2,3,1,2,2,0,2,1,3,5,1,2
Pit,Penalties-Yards,6-54,10-93,6-42,8-60,11-92,6-45,5-45,7-89,10-95,6-41,10-77,5-34,4-20,8-70,4-34,6-47
Pit,Pit Score,3,28,20,3,26,24,14,24,12,7,16,13,23,17,10,10
Pit,Rush-Yds-TDs,13-32-0,33-151-1,22-79-0,19-73-0,40-138-1,36-124-1,19-60-0,29-139-0,23-88-0,16-58-0,38-159-0,24-106-0,35-140-0,38-130-1,25-75-0,23-91-1
Pit,Sacked-Yards,1-0,4-26,2-14,8-69,5-22,0-0,4-20,5-38,4-25,4-43,3-24,5-23,3-17,1-8,4-28,2-18
Pit,Third Down Conv.,3-12,5-13,3-12,4-14,6-15,8-13,3-8,4-12,1-14,2-11,5-16,4-12,4-11,6-14,3-14,5-12
Pit,Time of Possession,27:27,35:46,23:43,30:14,39:00,34:05,24:42,30:32,28:20,26:02,34:40,32:06,31:54,32:20,31:32,20:33
Pit,Total Yards,308,425,239,175,277,256,230,328,306,236,338,279,275,261,260,168
Pit,Turnovers,1,2,2,2,3,1,4,3,4,4,1,2,2,2,2,2
